,Origin,Predict
0,33.4,29.821295
1,33.6,35.262352
2,35.0,35.754196
3,33.3,35.292923
4,0.0,0.7936297
5,0.0,7.8677807
6,35.0,28.40905
7,30.0,36.01669
8,34.0,33.94941
9,35.0,36.89856
10,44.1,39.24364
11,0.0,3.8265066
12,35.0,30.95025
13,35.0,38.526043
14,34.7,34.304157
15,35.0,32.909718
16,35.0,34.352016
17,35.0,35.543636
18,0.0,1.1418858
19,35.0,34.55243
20,35.0,37.850384
21,35.0,33.589687
22,35.0,34.934147
23,35.0,33.67102
24,35.0,34.060184
25,0.0,0.13255244
26,35.0,36.739727
27,35.0,37.7322
28,35.0,33.997627
29,32.5,29.38159
