,Origin,Predict
0,90.7,89.63121
1,73.4,76.29351
2,100.0,94.980446
3,125.0,114.64858
4,102.7,107.10615
5,76.6,71.60054
6,0.0,0.63732785
7,80.0,82.674774
8,81.5,69.35832
9,91.0,95.139984
10,120.0,113.072
11,109.2,107.0837
12,76.1,74.31395
13,0.0,1.9868414
14,73.7,71.94769
15,69.5,70.04262
16,81.5,76.92468
17,65.1,67.99701
18,77.5,65.665245
19,62.6,65.21386
20,0.0,5.332651
21,81.5,70.84767
22,75.4,74.725624
23,84.5,92.26818
24,79.9,69.81177
25,77.0,61.322296
26,81.4,95.000946
27,68.9,50.89659
28,0.0,28.59653
29,0.0,11.823645
