,Origin,Predict
0,57.7,55.74531
1,60.4,63.83838
2,55.1,54.32836
3,50.1,44.486786
4,50.1,65.2018
5,50.0,29.127892
6,0.0,9.137938
7,0.0,0.4925066
8,55.1,46.556316
9,51.2,62.23383
10,51.4,48.84744
11,58.1,46.085587
12,0.0,14.35975
13,62.6,48.393997
14,51.7,53.159492
15,52.7,54.36009
16,51.9,49.12172
17,54.9,58.53757
18,52.7,49.629375
19,0.0,0.68715763
20,54.4,55.69174
21,52.6,53.28659
22,50.5,46.735588
23,57.5,51.434685
24,51.5,57.466103
25,51.2,43.62354
26,0.0,0.5743666
27,54.2,57.118332
28,51.1,43.64052
29,51.5,54.952568
