,Origin,Predict
0,0.0,1.4001998
1,12.0,12.783768
2,14.1,12.470046
3,12.1,12.934673
4,0.0,0.56577516
5,0.0,1.4934776
6,0.0,0.21804713
7,12.6,11.521313
8,12.8,13.376425
9,12.4,12.863942
10,12.2,12.620301
11,13.4,12.802736
12,0.0,0.29156277
13,13.2,0.06443096
14,12.0,12.466146
15,15.2,12.9396
16,12.3,11.936618
17,12.4,12.411358
18,12.1,12.713997
19,0.0,0.6400654
20,0.0,0.63591176
21,13.1,12.451825
22,0.0,0.27931157
23,13.0,12.567444
24,12.2,12.374719
25,13.4,13.35832
26,13.0,2.0844567
27,14.0,13.574658
28,12.8,13.028082
29,12.2,12.528238
30,15.4,14.743623
31,0.0,0.15408316
32,12.7,5.7311435
33,12.1,13.271399
34,13.4,3.0239866
35,12.0,12.434026
36,14.0,12.828839
37,12.1,13.257173
38,12.1,11.946894
39,14.1,13.058245
40,12.9,13.09691
41,0.0,0.25664842
42,12.0,5.236477
43,12.2,11.344609
44,13.0,13.009766
45,17.2,14.583532
46,28.4,12.963018
47,13.1,13.170254
48,12.2,14.841882
49,12.0,10.692847
50,13.0,12.236567
51,12.4,12.064852
52,12.5,12.782073
53,0.0,1.6309786
54,12.1,3.3128152
55,12.9,12.596797
56,0.0,2.0175161
57,12.2,12.230565
58,12.5,12.5736265
59,12.0,5.857127
60,12.0,12.178061
61,12.7,11.9776125
62,12.4,12.555364
63,16.3,13.335366
64,0.0,1.4261818
65,13.0,13.720758
66,13.1,12.790336
67,0.0,0.100914985
68,13.6,12.707663
69,12.2,12.798346
70,12.2,13.095717
71,12.0,12.072267
72,12.3,7.63986
73,13.1,13.5068245
74,12.6,12.670741
75,0.0,0.24741918
76,0.0,0.37868986
77,12.2,14.095965
78,12.2,11.904119
79,12.9,12.820439
80,13.4,12.777058
81,13.1,13.088753
82,15.7,15.222815
83,12.2,13.024306
84,12.1,11.00597
85,12.6,13.310795
86,12.4,12.274709
87,0.0,0.5379251
88,12.2,12.189642
89,13.1,12.748314
90,12.0,12.503997
91,12.2,11.507917
92,12.1,11.899225
93,12.1,12.366769
94,12.6,9.361856
95,0.0,0.00034764217
96,0.0,0.14478502
97,12.4,11.955847
98,13.5,12.487757
99,12.8,5.1946926
100,0.0,0.021190666
101,12.9,12.98421
102,12.2,14.242832
103,12.8,11.870275
104,13.2,12.819182
105,12.5,13.044506
106,13.0,12.58807
107,12.1,11.559951
108,12.3,12.924937
109,0.0,0.78281146
110,0.0,0.6570424
111,12.3,11.939879
112,13.2,12.881633
113,12.0,12.579247
114,13.4,12.094279
115,12.2,12.758279
116,13.3,12.833869
117,13.1,12.987142
118,12.1,13.217648
119,0.0,3.9953384
120,13.1,12.933085
121,13.0,12.971253
122,13.0,12.107795
123,12.3,12.785389
124,0.0,1.1648284
125,12.3,12.531618
126,0.0,1.5171156
127,12.2,12.503325
128,0.0,2.5702002
129,13.3,10.871352
130,0.0,1.1268963
131,0.0,4.477332
132,13.6,13.999832
133,0.0,0.22229011
134,12.9,12.458879
135,12.3,11.996804
136,12.1,13.086422
137,0.0,0.8203113
138,12.2,12.192202
139,12.4,16.675785
140,12.2,12.400712
141,13.5,12.944317
142,12.0,12.142034
143,0.0,1.0434043
144,12.9,11.737812
145,0.0,0.36767563
146,12.3,12.401047
147,12.1,11.849902
148,13.4,12.049859
149,12.8,12.119598
150,12.1,12.54003
151,13.3,13.490435
152,0.0,0.1784666
153,12.9,12.939456
154,12.8,12.655923
155,12.0,13.492359
156,12.9,13.024287
157,12.2,12.3894615
158,13.4,13.738491
159,13.7,12.771779
160,12.8,13.598326
161,17.1,13.946109
162,12.1,12.214517
163,12.1,11.611962
164,12.1,11.119481
165,12.8,13.167302
166,13.1,11.729951
167,13.2,13.073026
168,12.2,12.090972
169,12.4,12.70453
170,12.1,12.345354
171,0.0,1.0636253
172,13.3,1.9857408
173,12.1,12.303933
174,12.1,11.441151
175,13.0,12.594279
176,0.0,0.24090655
177,0.0,0.27495426
178,0.0,0.54509276
179,12.1,12.360958
180,12.1,12.809743
181,12.2,12.542503
182,12.2,12.554262
183,12.1,12.488784
184,12.1,12.666541
185,12.2,12.31107
186,12.2,12.432173
187,13.1,11.87903
188,0.0,0.105166726
189,12.1,12.522953
190,12.1,12.089012
191,12.8,12.83363
192,0.0,0.4634912
193,12.2,12.457153
194,12.1,12.826197
195,12.3,12.603552
196,0.0,0.9855026
197,15.8,12.909875
198,13.4,14.83392
199,12.2,12.780462
200,13.1,6.1829033
201,12.3,13.232959
202,12.1,13.030351
203,13.2,12.425299
204,12.1,12.534227
205,12.7,12.696474
206,13.7,12.422929
207,12.2,13.210267
208,0.0,13.419149
209,13.1,13.192849
210,12.3,12.566672
211,12.1,0.13652767
212,12.3,12.895916
213,13.1,11.661709
214,13.8,12.868663
215,14.0,12.800279
216,12.2,12.533385
217,13.6,12.416686
218,12.3,12.512028
219,12.3,13.145715
220,0.0,0.099475935
221,12.1,13.143542
222,0.0,0.80403143
223,0.0,0.8030117
224,0.0,0.5669487
225,0.0,1.3519673
226,0.0,0.02759812
227,12.1,14.082282
228,12.1,12.348054
229,12.2,12.172269
230,12.1,12.229788
231,12.0,12.562161
232,15.0,13.275746
233,13.1,13.136617
234,13.3,13.2204275
235,12.4,12.640786
236,13.1,11.938271
237,0.0,1.086658
238,13.3,11.6410675
239,12.8,13.795154
240,12.3,13.15758
241,13.2,13.358451
242,12.6,12.493091
243,0.0,12.709413
244,12.8,12.547804
245,12.1,13.158295
246,13.2,13.229867
247,13.0,13.069258
248,12.2,12.221816
249,12.3,12.961649
250,13.8,12.294577
251,13.7,13.155198
252,12.5,0.30125687
253,12.0,13.536589
254,12.1,12.115686
255,12.2,12.40853
256,0.0,0.34497103
257,12.7,10.694435
258,13.3,11.93254
259,13.4,13.156811
260,13.0,12.477276
261,13.7,15.227002
262,12.1,12.549325
263,12.4,12.648516
264,13.5,12.92558
265,12.2,12.489167
266,12.7,5.787783
