,Origin,Predict
0,50.0,49.004524
1,50.0,50.116615
2,55.0,50.046585
3,50.0,48.796696
4,50.0,49.274822
5,0.0,12.3647995
6,50.0,50.583878
7,50.0,49.037304
8,50.0,45.870102
9,50.0,55.39675
10,50.0,51.06138
11,50.0,50.260506
12,0.0,1.9783267
13,50.0,50.6448
14,50.0,49.344868
15,0.0,5.446131
16,50.0,50.06447
17,50.0,49.459934
18,48.4,50.313877
19,50.0,48.74266
20,50.0,49.005665
21,50.0,51.032852
22,50.0,49.71248
23,50.0,16.128489
24,50.0,48.15271
25,50.0,49.09288
26,0.0,1.9260154
27,50.0,49.71664
28,50.0,50.743717
29,50.0,50.597565
30,50.0,48.053658
31,50.0,48.1566
32,50.0,52.17818
33,45.4,48.749077
34,50.0,48.222824
35,50.0,49.737015
36,50.0,50.609833
37,0.0,0.9159691
38,50.0,48.69444
39,50.0,48.928963
40,0.0,0.18100046
41,50.0,49.484383
42,50.0,48.04862
43,50.0,49.183258
44,50.0,44.26714
45,50.0,47.7633
46,50.0,41.5662
47,50.0,49.48294
48,50.0,48.951073
49,50.0,49.33178
50,50.0,49.296387
51,0.0,37.15938
52,50.0,49.983086
53,0.0,24.211323
54,50.0,49.899086
55,0.0,1.2028215
56,50.0,49.68574
57,50.0,48.496956
58,50.0,49.640438
59,0.0,2.3300056
60,50.0,50.40298
61,50.0,49.222878
62,0.0,9.219323
63,77.8,50.321423
64,50.0,50.538395
65,50.0,49.801323
66,0.0,0.890549
67,50.0,48.224964
68,50.0,51.39417
69,50.0,50.716984
70,50.0,49.022217
71,50.0,49.822834
72,50.0,49.26121
73,50.0,48.03825
74,0.0,0.31846452
75,50.0,47.556416
76,50.0,50.576035
77,50.0,50.484924
78,50.0,49.4551
79,50.0,48.642548
80,50.0,49.32511
81,50.0,49.420887
82,0.0,0.8350398
83,0.0,10.437937
84,50.0,50.206593
85,50.0,50.343822
86,50.0,49.564957
87,0.0,0.13443053
88,55.0,51.660713
89,55.0,50.108654
90,50.0,49.405106
91,50.0,49.822895
92,50.0,49.537113
93,50.0,49.267773
94,50.0,49.952442
95,50.0,46.193466
96,0.0,0.106277324
97,50.0,3.195894
98,50.0,51.95157
99,50.0,50.154507
100,0.0,33.678257
101,50.0,48.89329
102,0.0,0.47138575
103,50.0,49.732327
104,50.0,50.50345
105,50.0,50.16834
106,50.0,53.90447
107,50.0,45.569675
108,50.0,51.347153
109,50.0,49.67361
110,50.0,49.595474
111,50.0,49.781975
112,50.0,50.417416
113,50.0,51.298206
114,50.0,49.34513
115,50.0,48.972126
116,0.0,1.6374398
117,50.0,47.753014
118,50.0,30.474005
119,50.0,48.129204
120,50.0,50.324043
121,50.0,14.879836
122,0.0,0.37559086
123,50.0,50.47025
124,55.7,51.823776
125,50.0,49.647793
126,50.0,59.890064
127,55.0,52.987606
