,Origin,Predict
0,40.0,31.153952
1,0.0,0.0057287496
2,40.0,41.614197
3,40.0,22.472977
4,0.0,14.906762
5,0.0,15.287174
6,0.0,1.7091231
7,40.0,34.76473
8,40.0,28.786171
9,40.0,41.235786
10,0.0,3.0942848
11,40.0,29.640747
12,55.0,52.40798
13,40.0,41.648136
14,40.0,24.641565
15,0.0,7.22482
16,40.0,33.54396
17,0.0,8.948707
18,40.0,33.537918
19,40.0,40.606438
20,40.0,34.152317
21,40.0,42.088932
22,40.0,40.600056
23,40.0,43.596725
24,0.0,1.5868738
25,40.0,36.805237
26,40.0,47.450443
27,40.0,26.795008
28,0.0,11.306449
29,40.0,18.319313
