,Origin,Predict
0,50.0,43.941715
1,50.0,45.1378
2,50.0,38.21605
3,50.0,49.08296
4,50.0,60.995754
5,60.0,58.519936
6,60.0,60.38028
7,50.0,51.94441
8,50.0,45.812263
9,50.0,47.332325
10,38.0,69.18327
11,50.0,57.102917
12,50.0,43.43937
13,0.0,25.40414
14,50.0,51.97831
15,0.0,21.400467
16,0.0,6.655471
17,50.0,44.123665
18,70.0,68.18363
19,0.0,13.658737
20,50.0,48.67101
21,50.0,50.916157
22,0.0,13.812566
23,0.0,6.225725
24,0.0,1.2224705
25,50.0,49.891415
26,60.0,66.43668
27,50.0,57.39011
28,50.0,50.269062
29,50.0,55.99929
30,50.0,51.41093
31,50.0,55.419785
32,0.0,0.40081725
33,0.0,23.94563
34,0.0,2.0327964
35,50.0,52.330692
36,50.0,60.59138
37,40.0,26.537373
38,50.0,50.00592
39,0.0,6.3532066
40,0.0,33.84114
41,50.0,35.96897
42,50.0,39.40791
43,60.0,58.84171
44,0.0,0.46323106
45,50.0,39.40075
46,50.0,47.659622
47,50.0,50.9811
48,0.0,11.29591
49,50.0,48.491188
50,50.0,54.503098
51,50.0,59.173187
52,55.0,55.72817
53,50.0,57.815086
54,50.0,52.053444
55,50.0,39.506775
56,50.0,48.33027
57,0.0,1.2365417
58,50.0,36.662975
59,50.0,50.37607
60,0.0,20.194931
61,50.0,57.21539
62,45.0,43.776646
63,0.0,2.8233533
64,0.0,12.94171
65,50.0,45.04799
66,0.0,0.4187521
67,60.0,58.48276
68,45.0,46.879486
69,50.0,39.753475
70,50.0,47.059227
71,60.0,57.08281
72,50.0,51.988873
73,50.0,47.315094
74,0.0,7.10227
75,50.0,51.976032
76,45.0,40.99476
77,0.0,3.7983887
78,50.0,51.28243
79,0.0,6.3099203
80,0.0,31.839684
81,0.0,2.007962
82,0.0,17.334846
83,0.0,21.397038
84,50.0,48.931812
85,50.0,49.197254
86,45.0,41.83657
87,0.0,29.544613
88,50.0,46.62361
89,50.0,51.269665
90,0.0,42.169277
91,50.0,45.82869
92,0.0,9.85011
93,0.0,1.8971756
94,50.0,40.64829
95,50.0,46.59658
96,50.0,50.343624
97,45.0,49.585686
98,50.0,48.115242
99,50.0,40.464634
100,50.0,59.55496
101,50.0,58.7826
102,0.0,24.29271
103,50.0,53.61234
104,50.0,49.981995
105,50.0,43.448837
106,60.0,61.384285
107,50.0,32.555458
108,56.4,50.6373
109,50.0,44.904736
110,50.0,48.577663
111,45.0,31.900837
112,50.0,48.94322
113,0.0,1.8797663
114,60.0,61.91298
115,50.0,38.243076
116,0.0,18.194952
117,0.0,3.7514203
118,0.0,2.4057643
119,0.0,1.4044964
120,60.0,59.506016
121,50.0,28.97264
122,50.0,54.02451
123,50.0,53.414883
124,0.0,4.795661
125,50.0,53.348003
126,50.0,63.07475
127,50.0,45.155247
128,50.0,55.37298
129,50.0,51.027966
130,0.0,24.232681
131,50.0,51.5706
132,0.0,22.393738
133,45.0,29.398598
134,0.0,6.956119
135,50.0,51.472244
136,50.0,48.61525
137,50.0,52.032894
138,0.0,9.108351
