,Origin,Predict
0,23.4,21.903404
1,0.0,19.34482
2,50.0,62.018276
3,73.0,84.39478
4,0.0,16.75852
5,0.0,3.5538318
6,0.0,22.328993
7,75.0,73.277
8,22.0,27.033346
9,14.9,18.019484
10,35.0,35.4867
11,0.0,0.17838487
12,0.0,10.040246
13,0.0,26.640743
14,0.0,5.8031936
15,0.0,3.511202
16,70.0,63.06115
17,0.0,1.1132936
18,86.1,84.26076
19,20.0,25.096043
20,96.7,105.502495
21,30.0,32.908924
22,82.6,74.667114
23,0.0,0.6938863
24,0.0,17.564703
25,0.0,1.222567
26,59.0,49.362507
27,20.0,15.73125
28,80.0,112.55332
29,63.3,57.66099
30,48.5,45.63859
31,37.0,38.189938
32,0.0,2.0993092
33,0.0,3.8186743
34,100.0,90.03707
35,30.0,23.282806
36,56.0,57.763092
37,0.0,6.283201
38,50.0,37.79099
39,0.0,5.0011597
40,0.0,3.506537
41,0.0,0.62234205
42,0.0,8.849494
43,0.0,0.37451783
44,33.0,35.488396
45,55.3,60.471478
46,0.0,3.627922
47,60.0,59.30079
48,61.9,67.494125
49,40.0,38.35819
50,0.0,0.28514928
51,0.0,5.511588
52,52.0,51.23282
53,0.0,0.16964497
54,54.3,62.78078
55,0.0,8.225662
56,85.0,65.963554
57,0.0,13.886166
58,45.0,33.042313
59,0.0,0.42022967
60,43.0,36.085136
61,0.0,2.1857784
62,0.0,3.966452
63,70.0,67.0482
64,41.0,42.813374
65,37.5,36.77419
66,60.0,56.607082
67,56.4,57.174656
68,0.0,2.9422007
69,24.0,30.963432
70,25.6,27.378115
71,77.1,59.844418
72,0.0,6.4258785
73,47.4,48.77977
74,0.0,11.151263
75,0.0,10.911436
76,65.0,58.358875
77,57.1,59.28169
78,0.0,8.358422
79,46.6,45.89315
80,0.0,0.34359217
81,78.0,60.2883
82,32.0,38.215572
83,78.0,71.613686
84,58.9,55.635483
85,0.0,13.50235
86,65.4,62.399315
87,0.0,7.458791
88,35.0,23.125648
89,0.0,14.902073
90,49.2,52.668507
91,0.0,3.0299666
92,0.0,3.8722806
93,0.0,1.5339977
94,64.3,65.637405
95,0.0,5.6025114
96,0.0,11.823628
97,38.0,15.002738
98,0.0,10.527688
99,0.0,2.8733356
100,47.6,39.36459
101,0.0,8.601408
102,46.0,44.404533
103,76.2,57.50982
104,27.4,31.590473
105,0.0,7.75043
106,0.0,11.50921
107,0.0,4.9718256
108,36.2,43.567856
109,65.0,67.40481
110,0.0,13.294895
111,0.0,8.955092
112,48.1,50.538944
113,40.0,57.521393
114,44.5,37.000774
115,70.2,47.020916
116,0.0,3.272529
117,75.0,85.43189
118,0.0,11.27044
119,49.0,47.2416
120,46.2,48.392754
121,45.0,36.241364
122,25.0,24.16174
123,50.0,63.975742
124,0.0,4.226095
125,0.0,12.208994
126,0.0,7.060199
127,0.0,41.170444
128,0.0,2.6992242
129,46.0,47.80081
130,33.5,39.737995
131,0.0,0.8332389
132,0.0,3.4435081
133,72.5,77.289276
134,0.0,12.046537
135,0.0,6.58627
136,50.0,57.831196
137,42.0,31.271189
138,35.0,37.40649
139,0.0,14.5616665
140,0.0,3.7388859
141,25.8,28.589666
142,0.0,6.023406
143,35.0,40.85814
144,50.0,41.917133
145,0.0,6.276082
146,26.1,27.58847
147,43.0,40.724003
148,70.0,68.65942
149,0.0,0.7753308
150,28.5,25.417828
151,0.0,9.65708
152,0.0,4.5179515
153,0.0,12.395904
154,0.0,6.629304
155,41.5,30.202105
156,0.0,3.0531788
157,0.0,3.3511863
158,35.0,18.67088
159,75.0,59.931957
160,70.1,79.02315
161,36.8,34.45892
162,0.0,0.49404156
163,44.9,44.67592
164,0.0,3.1273997
