,Origin,Predict
0,798.0,947.2652
1,1233.0,2502.1414
2,1297.0,2412.7837
3,2804.0,1367.2677
4,2170.0,707.5906
5,468.0,2295.1223
6,1168.0,1461.5045
7,1355.0,2003.7037
8,0.0,0.85021377
9,828.0,1314.9718
10,3002.0,2862.161
11,2816.0,148.32195
12,2020.0,2771.058
13,0.0,96.54145
14,0.0,346.40363
15,0.0,17.103
16,0.0,692.9293
17,0.0,192.09781
18,2294.0,3393.5188
19,3716.0,216.39505
20,3077.0,3246.2358
21,1195.0,664.97003
22,0.0,899.44324
23,2278.0,1056.8016
24,1520.0,2351.304
25,1475.0,1483.1726
26,2108.0,3132.3267
27,0.0,23.654144
28,0.0,15.848776
29,0.0,55.839634
30,0.0,31.551064
31,1667.0,707.5019
32,0.0,16.790918
33,1446.0,163.72906
34,5635.0,772.42456
35,1080.0,94.83632
36,1823.0,1215.6099
37,0.0,250.54907
38,5216.0,802.62274
39,0.0,400.7356
40,0.0,253.70737
41,3376.0,2857.1702
42,0.0,515.1926
43,0.0,418.94022
44,868.0,1086.447
45,1694.0,2207.2668
46,736.0,2662.4705
47,2744.0,403.32382
48,429.0,355.7816
49,1916.0,1762.3052
50,1280.0,2270.7532
51,0.0,259.04218
52,532.0,840.4216
53,0.0,17.037598
54,0.0,496.41953
55,0.0,126.93832
56,990.0,2964.1418
57,0.0,1304.4846
58,990.0,3576.8596
59,0.0,8.914389
60,1732.0,1758.0514
61,0.0,54.70427
62,0.0,49.062714
63,1100.0,1752.9358
64,0.0,33.17015
65,0.0,122.61752
66,2584.0,2966.655
67,0.0,15.170199
68,1254.0,921.32806
69,0.0,16.626837
70,276.0,247.01877
71,1950.0,1357.3542
72,0.0,33.01844
73,1072.0,357.90012
74,1160.0,2513.1294
75,2446.0,683.2751
76,1166.0,941.1075
77,0.0,95.97711
78,0.0,160.86526
79,895.0,1913.0294
80,755.0,466.75092
81,96.0,1.1611385
82,0.0,117.78041
83,0.0,2.5007846
84,0.0,78.055954
85,3078.0,2065.984
86,4850.0,431.45395
87,0.0,25.123978
88,0.0,403.71017
89,209.0,338.7497
90,660.0,2009.1152
91,0.0,711.6104
92,660.0,596.59454
93,0.0,469.99142
94,0.0,3.575302
95,2682.0,754.3795
96,970.0,906.122
97,0.0,210.93678
98,0.0,0.6575006
99,1363.0,755.1273
100,4270.0,552.51575
101,2900.0,3088.1711
102,0.0,63.52528
103,0.0,148.57442
104,0.0,419.66257
105,2352.0,2839.4294
106,2774.0,2055.8105
107,0.0,63.064575
108,1418.0,1316.5195
109,4431.0,1131.8737
110,176.0,341.8163
111,0.0,12.536513
112,0.0,221.45752
113,1993.0,2485.0117
114,900.0,461.0842
115,1677.0,874.9592
116,0.0,379.08887
117,1462.0,1226.0038
118,1858.0,2190.632
119,726.0,3214.535
120,264.0,1056.7866
121,2212.0,1089.9745
122,0.0,271.34412
123,976.0,154.0769
124,989.0,1349.7257
125,0.0,169.99947
126,2554.0,1904.3348
127,0.0,35.349842
128,0.0,6.411731
129,1162.0,2687.362
130,1260.0,803.8488
131,0.0,426.42618
132,4178.0,2487.1475
133,0.0,86.64184
134,2181.0,3018.671
135,500.0,538.64355
136,0.0,50.139385
137,0.0,52.641235
138,1785.0,2022.4968
139,0.0,1471.3241
140,0.0,4.9261
141,0.0,3569.9321
142,870.0,1356.1124
143,0.0,693.4505
144,0.0,199.15797
145,948.0,774.1185
146,0.0,31.225044
147,0.0,2243.1646
148,0.0,0.79614675
149,1992.0,3382.1755
150,2440.0,1946.8916
151,0.0,377.30884
152,0.0,135.29294
153,0.0,37.97652
154,1258.0,193.22437
155,2010.0,2501.659
156,728.0,1225.8115
157,3396.0,3240.0632
158,4181.0,2076.7102
159,1815.0,1831.4286
160,924.0,2402.761
161,0.0,183.02957
162,120.0,16.28675
163,0.0,23.124592
164,1078.0,1379.4991
165,0.0,171.35597
166,0.0,263.06818
167,1386.0,3029.1704
168,740.0,1900.9803
169,1099.0,846.266
170,1040.0,1720.7971
171,810.0,2541.5469
172,0.0,23.905544
173,0.0,246.29066
174,0.0,78.844444
175,72.0,70.867096
176,72.0,74.11929
177,2858.0,885.98114
178,1053.0,1649.8698
179,0.0,123.57222
180,2797.0,664.23676
181,0.0,143.66454
182,970.0,561.28314
183,0.0,71.54851
184,965.0,711.5012
185,353.0,196.24947
186,1941.0,955.05383
187,2614.0,1801.6775
188,1851.0,1240.858
189,632.0,2418.3005
190,3256.0,2034.2101
191,0.0,2.2247753
192,0.0,32.442116
193,1189.0,1392.7909
194,0.0,354.46725
195,2464.0,2413.3232
196,447.0,2593.9666
197,1920.0,5.0408564
198,2031.0,1717.7728
199,1168.0,41.16157
200,784.0,1627.5671
201,0.0,228.9306
202,1219.0,1731.7677
203,300.0,46.39285
204,1050.0,1273.809
205,0.0,38.93409
206,2853.0,2490.0813
207,2684.0,1711.0896
208,1478.0,455.33218
209,1245.0,1418.6082
210,2565.0,2766.6448
211,0.0,18.927494
212,0.0,9.436962
213,752.0,1201.1096
214,764.0,1646.2264
215,4408.0,2432.691
216,0.0,53.438274
217,900.0,3068.5554
218,2394.0,504.4391
219,550.0,2673.3604
220,2308.0,3381.6287
221,2730.0,3276.0247
222,396.0,1182.9235
223,0.0,278.3253
224,0.0,2320.2405
225,0.0,73.561325
226,0.0,30.322683
227,1673.0,2735.9202
228,780.0,882.3219
229,2051.0,750.16296
230,1844.0,1823.9152
231,0.0,28.83835
232,0.0,499.37698
233,896.0,701.59174
234,1174.0,1365.9424
235,0.0,482.19357
236,3629.0,1699.9867
237,756.0,687.846
238,5314.0,2203.3713
239,0.0,6.4477324
240,1859.0,1569.3192
241,0.0,6.245284
242,473.0,695.2405
243,2580.0,2695.1875
244,650.0,2350.6443
245,1440.0,1450.0548
246,2317.0,921.0833
247,0.0,10.401456
248,0.0,8.504569
249,1575.0,1150.9124
250,240.0,129.44722
251,1594.0,586.2123
252,0.0,150.60765
253,300.0,466.6174
254,3823.0,868.5874
255,770.0,3321.1343
256,581.0,2123.6765
257,4278.0,3977.813
258,1221.0,2306.05
259,0.0,11.418738
260,2014.0,3034.962
261,3160.0,4047.138
262,510.0,797.65717
263,0.0,115.9112
264,3232.0,997.92834
265,0.0,171.12875
266,1190.0,1470.814
