,Origin,Predict
0,0.0,0.2519699
1,25.0,26.428795
2,0.0,0.53337336
3,15.0,9.223252
4,15.0,2.06564
5,3.0,7.557641
6,0.0,0.76948744
7,20.0,16.87182
8,0.0,15.245705
9,0.0,0.26172972
10,0.0,2.3351893
11,25.0,0.4610333
12,10.0,27.465195
13,0.0,0.08649262
14,0.0,0.7755602
15,0.0,0.07696633
16,20.0,0.7549011
17,0.0,13.598416
18,0.0,0.8916539
19,21.6,16.11455
20,12.0,6.1091905
21,25.0,0.09014085
22,0.0,8.429821
23,0.0,0.2755884
24,15.0,1.0322533
25,0.0,0.4795394
26,22.2,10.396009
27,25.0,11.995411
28,0.0,0.5531421
29,20.0,13.091681
30,24.3,10.10827
31,25.0,20.171686
32,0.0,1.7538007
33,0.0,0.039176747
34,20.0,11.381342
35,0.0,0.26568267
36,0.0,0.6225473
37,20.0,2.020276
38,20.0,0.62556356
39,0.0,2.5980394
40,20.0,19.102455
41,0.0,0.033343684
42,0.0,2.495986
43,0.0,0.17602709
44,0.0,0.6067989
45,22.4,25.317614
46,20.0,24.800716
47,20.0,2.5483668
48,0.0,0.16849634
49,35.0,24.56427
50,0.0,0.22765802
51,20.0,14.6972065
52,0.0,5.3694997
53,35.0,21.117699
54,0.0,3.7711177
55,0.0,0.37182164
56,20.0,21.61025
57,0.0,15.324884
58,0.0,6.929405
59,20.2,23.604174
60,0.0,1.7512265
61,18.0,19.992296
62,0.0,15.406907
63,15.0,8.604041
64,15.0,0.23852147
65,0.0,15.113291
66,0.0,14.679204
67,18.0,22.102283
68,20.0,0.29903662
69,0.0,9.508126
70,20.0,0.49700543
71,0.0,0.68446165
72,0.0,10.819184
73,0.0,0.5015476
74,20.0,1.4344178
75,0.0,0.09932283
76,0.0,0.99253976
77,0.0,0.21171768
78,0.0,0.023110729
79,0.0,1.6278942
80,30.0,2.016111
81,0.0,12.003277
82,0.0,0.20677891
83,18.5,14.040588
84,0.0,1.7567945
85,20.0,20.442024
86,27.7,17.644531
87,25.0,15.024189
88,10.0,11.882997
89,0.0,1.4181112
90,0.0,1.3827698
91,0.0,0.49042302
92,0.0,0.3422572
93,0.0,1.8662109
94,0.0,9.662997
95,0.0,3.8960145
96,0.0,1.953583
97,0.0,0.49178502
98,15.0,6.742075
99,29.6,32.7097
100,0.0,0.40780997
101,10.0,0.5734031
102,13.0,3.1942499
103,0.0,0.4320709
104,25.0,16.37225
105,12.0,5.696227
106,10.0,16.613543
107,0.0,7.6534033
108,22.0,22.191076
109,0.0,0.86714125
110,0.0,12.534413
111,0.0,4.1820254
112,0.0,17.693321
113,26.5,22.520754
114,0.0,0.6325737
115,24.9,10.138653
116,22.2,16.08939
117,0.0,1.8052835
118,25.0,0.05121251
119,10.0,0.32430854
120,0.0,0.24668987
121,0.0,0.6175644
122,10.0,5.5263715
123,0.0,1.0006744
124,20.0,18.311737
125,22.7,28.507196
126,0.0,0.21519905
127,5.0,16.359072
128,5.0,0.6911265
129,0.0,0.023200957
130,0.0,0.7710779
131,0.0,0.12417414
132,15.0,0.58218443
133,0.0,0.8430041
134,0.0,2.1108909
135,0.0,2.422767
136,0.0,0.3397586
137,21.0,12.106395
138,20.0,3.722778
139,0.0,1.0632747
