,Origin,Predict
0,0.0,0.040662713
1,0.0,1.2859497
2,0.0,0.40918332
3,0.0,3.9314263
4,0.0,0.22810793
5,0.0,2.375056
6,0.0,0.27717674
7,0.0,2.021517
8,33.4,39.319515
9,20.0,9.226377
10,0.0,1.9235753
11,15.0,11.305307
12,0.0,5.3801184
13,22.4,17.979355
14,0.0,10.596171
15,0.0,3.387075
16,0.0,0.100193925
17,0.0,0.51861
18,0.0,0.049751274
19,0.0,0.1640249
20,0.0,0.32149267
21,27.0,20.341635
22,0.0,0.50734097
23,15.0,37.10336
24,0.0,1.9096036
25,20.0,31.935614
26,10.0,28.486979
27,0.0,0.11267944
28,0.0,1.559022
29,0.0,0.38355088
30,0.0,0.60076636
31,0.0,3.7920551
32,0.0,0.9016792
33,0.0,1.445537
34,0.0,4.27372
35,29.8,37.7496
36,0.0,5.840935
37,7.0,1.5435522
38,0.0,1.4374645
39,5.0,8.666501
40,0.0,0.49251848
41,0.0,0.77104896
42,0.0,10.767254
43,0.0,0.48396805
44,27.4,26.29846
45,0.0,4.553453
46,0.0,1.2101605
47,0.0,0.40776578
48,10.0,0.9214308
49,0.0,1.8551507
50,5.0,0.06909737
51,0.0,0.57999283
52,0.0,1.0011888
53,29.0,21.265875
54,0.0,0.22474945
55,3.0,4.631243
56,23.9,40.07342
57,0.0,0.10632718
58,0.0,1.2714365
59,29.2,31.2985
60,0.0,3.1553452
61,0.0,1.6819626
62,0.0,0.27907515
63,0.0,0.49758136
64,13.0,0.60853785
65,0.0,7.397474
66,0.0,6.414008
67,0.0,0.48182413
68,0.0,0.16537711
69,0.0,2.6688316
70,0.0,0.874487
71,20.0,12.799472
72,5.0,0.13603751
73,34.5,30.135815
74,18.0,1.010302
75,21.0,27.80452
76,0.0,1.4792639
77,0.0,0.022199536
78,0.0,1.3720838
79,0.0,0.8673295
80,0.0,0.3050412
81,0.0,4.61784
82,35.0,13.5313225
83,0.0,0.39089814
84,0.0,0.25963008
85,0.0,41.188873
86,0.0,0.08725381
87,0.0,0.15756133
88,0.0,0.4284175
89,0.0,1.2292451
90,0.0,0.9774868
91,0.0,0.15119265
92,0.0,0.54243714
93,51.7,64.18916
94,17.0,62.142548
95,0.0,0.9563942
96,0.0,2.4888406
97,15.0,0.59804606
98,0.0,0.24383307
99,0.0,0.11671731
100,28.0,20.585247
101,29.7,36.41256
102,0.0,8.8030615
103,0.0,0.17180532
104,0.0,0.83089197
105,0.0,0.4576831
106,28.0,33.92679
107,0.0,0.24706708
108,0.0,0.41439074
109,0.0,3.8559175
110,0.0,1.5999284
111,5.0,6.383883
112,0.0,1.8230841
113,0.0,0.3598358
114,0.0,67.069336
115,0.0,2.2346058
116,0.0,3.640099
117,0.0,0.2864516
118,0.0,0.21373715
119,0.0,0.10626688
120,0.0,1.6711315
121,31.5,38.361427
122,25.0,26.153797
123,0.0,0.10265442
124,0.0,0.7799193
125,0.0,0.5869025
126,0.0,0.20787622
127,0.0,1.5284126
128,12.0,3.821109
129,0.0,0.3123326
130,37.6,29.010439
131,0.0,28.695654
132,25.0,5.555075
133,0.0,0.6688913
134,0.0,0.8454591
135,45.0,41.54703
136,34.5,32.432724
137,0.0,0.4359913
138,42.0,39.571697
139,0.0,0.774991
140,0.0,1.212091
141,26.0,1.712806
142,0.0,0.7128234
143,0.0,8.607191
144,32.2,31.75651
145,0.0,0.009685032
146,0.0,0.4350651
147,0.0,0.15617858
148,0.0,4.101375
149,0.0,0.026534297
150,14.9,13.300518
151,60.0,7.2392826
152,7.0,0.020526476
153,0.0,0.45692965
154,0.0,2.354467
155,0.0,0.5118573
156,150.0,38.990833
157,0.0,0.028334148
158,0.0,1.0315623
159,36.9,31.513357
160,35.8,36.949017
161,0.0,1.3900628
162,0.0,0.62581503
163,0.0,1.0453123
164,0.0,0.86375743
165,0.0,0.84120286
166,0.0,1.4208468
167,0.0,0.64650506
168,0.0,0.72585726
169,0.0,0.1711182
170,0.0,1.1521919
171,0.0,0.77403116
172,0.0,1.6211208
173,0.0,0.051246706
174,0.0,0.14841266
175,0.0,0.15310363
176,0.0,1.0705111
177,0.0,1.0135894
178,15.0,10.707216
179,0.0,0.16674924
180,0.0,13.973248
181,0.0,0.03303093
182,0.0,1.079482
183,6.0,29.770597
184,0.0,0.04324768
185,30.0,1.3126838
186,0.0,1.6493102
187,0.0,0.34007975
188,41.2,45.399277
189,0.0,6.975203
190,0.0,1.0025861
191,0.0,0.12183603
192,0.0,0.12066879
193,15.3,24.503712
194,0.0,0.24274294
195,0.0,0.23957427
196,0.0,0.014758907
197,0.0,1.5753735
198,0.0,2.5910938
199,0.0,0.09377035
200,0.0,0.26355025
201,0.0,6.8789206
202,20.0,4.4096575
203,0.0,0.35741088
204,0.0,0.11692277
205,75.0,81.658325
206,0.0,0.57373685
207,0.0,0.39565176
208,0.0,0.23866273
209,0.0,0.45997193
210,0.0,0.9808708
211,85.0,29.024908
212,0.0,3.826107
213,159.4,115.17298
214,0.0,1.4335735
215,25.2,23.176044
216,20.0,27.554386
217,0.0,0.75399965
218,0.0,2.1288302
219,0.0,0.7731749
220,41.3,41.596584
221,16.0,25.145945
222,160.0,150.50977
223,27.0,42.1007
224,21.2,27.208054
225,0.0,6.1149635
226,0.0,2.9873495
227,38.6,11.201398
228,0.0,0.58328116
229,0.0,0.63149256
230,0.0,1.0356172
231,30.0,24.20105
232,0.0,0.31303424
233,0.0,0.21696246
234,17.4,14.442517
235,0.0,0.7658955
236,12.0,2.3536563
237,0.0,0.88943547
238,0.0,0.55294347
239,15.0,0.5820724
240,0.0,0.2299851
241,0.0,0.01092301
242,0.0,0.08174988
243,0.0,1.1725976
244,0.0,1.1801163
245,0.0,0.5422676
