,Origin,Predict
0,0.0,2.2818372
1,30.0,30.170685
2,30.0,28.01323
3,30.0,29.54637
4,30.0,33.37676
5,30.0,30.840115
6,30.0,28.884432
7,30.0,30.029173
8,30.0,26.614403
9,0.0,10.557607
10,30.0,25.930168
11,30.0,38.1048
12,30.0,26.83517
13,25.0,21.437328
14,30.0,33.499897
15,0.0,6.167384
16,30.0,30.932915
17,25.0,27.3089
18,20.0,23.975103
19,0.0,5.198083
20,25.0,29.839424
21,20.0,19.190306
22,20.0,19.117243
23,20.0,16.668104
24,30.0,27.878862
25,30.0,26.107437
26,30.0,29.757746
27,25.0,22.312094
28,30.0,24.946869
29,30.0,23.62512
30,25.0,26.798822
31,30.0,28.882355
32,25.0,24.435858
33,0.0,10.304149
34,30.0,28.988018
35,30.0,32.411686
36,30.0,32.260563
37,0.0,6.7205114
38,0.0,7.4656043
39,0.0,17.115782
40,0.0,4.0703635
41,0.0,0.9777646
42,25.0,27.748775
43,25.0,24.4693
44,30.0,31.574715
45,20.0,22.724476
46,25.0,25.073439
47,30.0,17.682114
48,30.0,32.54492
49,25.0,24.434053
50,35.0,39.225483
51,25.0,23.66027
52,30.0,30.700949
53,25.0,19.953806
54,30.0,29.59955
55,20.0,15.748799
56,0.0,6.589042
57,30.0,34.211674
58,0.0,4.803911
59,25.0,24.1791
60,25.0,23.804638
61,30.0,32.392124
62,20.0,17.432123
63,0.0,10.208866
64,20.0,20.02367
65,20.0,21.663563
66,30.0,32.97347
67,25.0,23.29294
68,30.0,33.59822
69,0.0,2.0398123
70,30.0,27.383549
71,30.0,28.808187
72,0.0,0.44571897
73,25.0,23.22936
74,30.0,30.195845
75,30.0,26.534039
76,25.0,26.265135
77,20.0,18.201242
78,0.0,3.4010744
79,30.0,34.45285
80,25.0,26.553099
81,20.0,18.676727
82,30.0,28.587212
83,0.0,3.559978
84,25.0,26.643845
85,30.0,34.594337
86,20.0,19.066069
87,0.0,1.3450049
88,0.0,6.3949575
89,35.0,32.18999
90,0.0,12.384536
91,30.0,34.517567
92,20.0,20.82366
93,20.0,18.929823
94,30.0,33.37131
95,30.0,32.677086
96,30.0,23.123318
97,25.0,24.105068
98,25.0,21.475872
99,30.0,30.708689
100,25.0,22.203062
101,20.0,21.937647
102,0.0,6.8642178
103,0.0,22.241638
104,0.0,4.1387916
105,25.0,21.887344
106,0.0,4.9767237
107,20.0,23.284689
108,20.0,21.651669
109,0.0,9.304867
110,25.0,28.225971
111,20.0,17.342981
112,30.0,20.135675
113,0.0,15.3634405
114,30.0,29.627254
115,20.0,16.12591
116,0.0,1.2517731
117,30.0,24.4553
118,0.0,6.9654527
119,30.0,34.957867
120,20.0,19.186855
121,25.0,28.598904
122,25.0,25.615326
123,30.0,31.200092
124,25.0,29.596739
125,20.0,16.240297
126,32.0,31.258423
127,30.0,26.695559
128,30.0,35.46551
129,25.0,22.410936
130,20.0,19.449205
131,30.0,37.019688
132,20.0,19.918653
133,0.0,0.83591807
134,20.0,20.761835
135,30.0,21.380774
136,0.0,3.7065203
137,30.0,31.529892
138,30.0,25.201088
139,30.0,28.719912
140,30.0,26.277718
141,0.0,11.315984
142,0.0,9.328802
143,20.0,19.874613
144,30.0,33.332726
145,40.0,32.361347
146,30.0,33.03563
147,0.0,6.4536095
148,30.0,28.771898
149,40.0,25.233883
150,25.0,26.87424
151,20.0,17.437098
152,0.0,9.876675
153,30.0,23.89764
154,0.0,0.40036914
155,30.0,34.12665
156,20.0,22.33928
157,30.0,20.51452
158,30.0,30.85115
159,0.0,4.911157
160,0.0,3.3983533
161,0.0,2.0357757
162,20.0,19.74739
163,30.0,30.660376
164,0.0,16.045874
165,30.0,29.33662
166,30.0,25.890581
167,0.0,9.413781
168,25.0,26.008373
169,30.0,27.656193
170,20.0,20.404034
171,0.0,2.3806653
172,30.0,29.792652
173,20.0,25.35057
174,0.0,3.851374
175,0.0,2.7619982
176,25.0,25.166395
177,30.0,30.779972
178,0.0,0.35598966
179,0.0,6.9014945
180,30.0,29.24582
181,30.0,30.917511
182,0.0,0.3210015
183,30.0,22.011457
184,20.0,20.142342
185,20.0,24.380955
186,25.0,23.477144
187,0.0,3.9053745
188,25.0,24.859007
189,25.0,26.012577
190,25.0,23.68544
191,30.0,35.991642
192,0.0,8.976952
193,30.0,35.186394
194,30.0,27.379948
195,0.0,0.34470484
196,30.0,29.08927
197,25.0,20.359077
198,0.0,2.2598143
199,30.0,32.51793
200,30.0,28.528002
201,25.0,32.405018
202,25.0,20.720455
203,30.0,33.042915
204,20.0,24.845121
205,30.0,33.49114
206,35.0,31.777029
207,30.0,33.666504
208,20.0,19.768833
209,40.0,39.258163
210,30.0,31.612263
211,0.0,3.8934438
212,30.0,31.539309
213,0.0,0.39798594
214,25.0,21.60375
215,0.0,11.02022
216,25.0,24.603287
217,30.0,34.473698
218,30.0,24.437693
219,25.0,20.592821
220,0.0,5.1803493
221,0.0,5.9517198
222,30.0,25.976631
223,20.0,21.150879
224,30.0,28.313498
225,20.0,16.74143
226,25.0,19.660957
227,30.0,31.007708
228,25.0,24.720287
229,30.0,31.094528
230,20.0,22.464937
231,30.0,26.637537
232,25.0,23.860554
233,20.0,22.376913
234,25.0,24.02308
235,20.0,7.8269186
236,20.0,19.864225
237,20.0,19.808153
238,30.0,29.499483
239,30.0,28.261196
240,30.0,29.722874
241,20.0,17.479
242,30.0,30.863869
243,30.0,19.645168
244,0.0,4.934024
245,30.0,27.97772
246,0.0,1.9372787
247,30.0,32.697933
248,0.0,1.1104683
249,30.0,26.54274
250,0.0,4.6255255
251,25.0,32.04961
252,30.0,30.478888
253,20.0,22.231394
254,30.0,29.189518
255,0.0,4.060576
256,30.0,26.697323
257,25.0,25.640682
258,30.0,36.157898
259,20.0,20.027403
260,30.0,27.592596
