,Origin,Predict
0,0.0,1.1655579
1,25.0,27.220825
2,28.0,28.406443
3,27.4,29.581032
4,0.0,25.327843
5,25.0,26.780699
6,25.0,25.468414
7,25.0,27.52274
8,0.0,16.571732
9,25.0,25.804523
10,25.0,27.089115
11,28.0,27.079283
12,25.0,25.721832
13,25.0,22.463451
14,25.0,25.748758
15,0.0,22.394493
16,25.0,26.663015
17,25.0,25.036465
18,25.0,22.82089
19,25.0,23.15489
20,25.0,26.573402
21,25.0,25.45845
22,0.0,0.9388164
23,28.0,28.513502
24,25.0,25.903254
25,23.8,26.333569
26,0.0,1.079983
27,25.0,25.68204
28,25.0,25.546726
29,26.8,26.388426
30,0.0,5.228749
31,25.0,25.704487
32,25.0,25.604246
33,0.0,18.802904
34,30.0,30.795631
35,25.0,22.556479
36,25.0,26.670975
37,25.0,25.900269
38,25.0,22.899645
39,25.0,26.13238
40,0.0,0.98198754
41,28.0,26.902441
42,25.0,28.751886
43,25.0,26.155191
44,25.0,27.38521
45,25.0,25.67676
46,25.0,26.249773
47,0.0,1.2002074
48,23.4,25.005266
49,25.0,25.407137
50,30.0,0.3710871
51,0.0,1.9609252
52,25.0,24.227673
53,39.6,35.446274
54,30.0,29.839031
55,25.0,26.440979
56,25.0,25.52636
57,25.0,24.783709
58,25.0,27.07951
59,25.0,27.702753
60,25.0,24.752071
61,0.0,17.690058
62,25.0,23.930029
63,25.0,21.842096
64,0.0,0.85301524
65,25.0,24.531826
66,25.0,27.723215
67,0.0,17.52087
68,0.0,21.970554
69,28.0,28.195162
70,0.0,14.149748
71,25.0,25.00197
72,26.5,26.359003
73,30.0,24.608538
74,25.0,25.116728
75,22.0,16.95185
76,25.0,1.1125352
77,22.0,0.1647864
78,25.0,24.791573
79,25.0,26.4865
80,25.0,26.33894
81,25.0,25.966244
82,0.0,10.724146
83,25.0,23.943213
84,25.0,22.014122
85,0.0,4.0229044
86,30.0,29.862978
87,25.0,26.197884
88,0.0,0.4805333
89,25.0,0.30554745
90,25.0,25.500345
91,25.0,24.627333
92,30.0,28.751694
93,0.0,3.175181
94,26.8,23.605648
95,25.0,26.816519
96,0.0,6.500697
97,25.0,24.84218
98,35.0,35.729492
99,28.0,27.080284
100,30.0,25.673021
101,0.0,12.817363
102,24.9,25.936504
103,27.0,26.371105
104,0.0,0.26108328
105,0.0,1.3858868
106,25.0,26.06177
107,0.0,0.09397839
108,25.0,25.000093
109,24.0,24.672354
110,28.0,26.00551
111,34.7,32.722458
112,30.0,29.509197
113,27.0,24.23026
114,30.0,29.407936
115,0.0,24.768747
116,0.0,0.89012104
117,25.0,24.897463
118,25.0,26.649345
119,22.0,20.682981
120,0.0,0.8995326
121,25.0,24.526495
122,25.0,8.357803
123,25.0,28.262806
124,25.0,26.54464
125,25.0,24.598331
126,30.0,31.028105
127,22.9,26.165768
128,25.0,25.055227
129,0.0,0.062105875
130,25.0,24.363049
131,0.0,0.24118516
132,25.0,23.099134
133,0.0,0.4210548
134,25.0,25.270327
135,25.0,26.052217
136,33.1,28.182364
137,26.8,27.967638
138,0.0,1.4061615
139,25.0,25.040932
140,25.0,25.147024
141,28.0,28.469236
142,25.0,25.637356
143,30.0,28.823069
144,0.0,0.6253213
145,28.0,28.483887
146,25.0,23.550058
147,25.0,25.481552
148,25.0,25.827396
149,28.0,28.001661
150,25.0,25.072983
151,25.0,4.668673
152,25.0,26.540846
153,25.0,25.260931
154,0.0,2.9434433
155,25.0,25.344374
156,28.0,28.768564
157,0.0,0.35946614
158,0.0,0.9990541
159,25.0,25.843515
160,0.0,0.41728655
161,25.0,23.925138
162,25.0,26.758476
163,22.0,20.068619
164,25.0,25.518555
165,0.0,0.4588691
166,0.0,0.9550624
167,25.0,24.715773
168,25.0,23.624939
169,0.0,2.4736764
170,0.0,0.14336576
171,25.0,24.840815
172,25.0,22.871721
173,25.0,23.048916
174,25.0,24.756447
175,25.0,23.203346
176,25.0,26.12384
177,27.8,27.58141
178,0.0,3.9487932
179,25.0,0.8298328
180,25.0,25.89884
181,28.0,27.591732
182,0.0,1.106917
183,25.0,25.009485
184,25.0,27.196661
185,25.0,24.297314
186,25.0,3.5921159
187,0.0,0.7134566
188,25.0,24.486073
189,0.0,0.98404306
190,25.0,24.738752
191,25.7,27.933165
192,0.0,0.5593241
193,0.0,1.3356378
194,0.0,4.2450137
195,0.0,14.61665
196,30.0,30.037497
197,30.0,29.863033
198,0.0,25.887526
199,26.1,25.265692
200,25.0,25.317974
201,28.0,28.046652
202,0.0,0.17065309
203,26.2,28.098267
204,0.0,25.154205
205,0.0,11.14119
206,25.0,24.021202
207,25.0,26.342512
208,25.0,24.936445
209,25.0,24.20599
210,0.0,0.4102109
211,28.0,30.661663
212,30.0,24.817728
213,25.0,24.833841
214,35.1,34.39566
215,25.0,27.300114
216,25.0,26.275478
217,27.0,26.345085
218,28.0,29.382668
219,25.0,24.672539
220,25.0,28.938913
221,25.0,16.287462
222,22.0,27.319212
223,0.0,28.301746
224,25.0,24.87622
225,25.0,25.75574
226,28.0,23.482435
227,22.0,2.6859643
228,30.0,27.888008
229,25.0,25.2062
230,25.0,27.319313
231,25.0,26.2263
232,24.0,25.71013
233,0.0,0.9011742
234,22.2,25.907846
235,25.0,26.415142
236,25.0,25.204927
237,25.0,13.876481
238,25.0,26.260984
239,22.0,16.350515
240,30.0,28.395607
241,0.0,26.511105
242,30.0,27.98593
243,0.0,0.7700602
244,25.0,25.69562
245,25.0,25.815529
246,0.0,2.1455603
247,25.0,24.639484
248,0.0,10.651742
249,35.3,41.690956
250,25.0,25.75257
251,25.0,12.619331
252,25.0,26.700823
253,0.0,3.0783813
254,23.0,25.926601
255,25.0,3.4525928
256,25.0,24.487574
257,25.0,3.4494264
258,30.0,1.2870209
259,28.0,25.899784
260,25.0,25.106197
261,25.0,24.545073
262,25.0,27.208147
263,25.0,24.536953
264,21.1,25.337465
265,25.0,24.938946
266,0.0,0.17360048
