,Origin,Predict
0,18.8,17.837719
1,15.9,21.593391
2,31.4,34.95091
3,0.0,3.7033296
4,20.0,19.972769
5,12.0,9.833422
6,21.3,13.538358
7,27.9,25.208883
8,0.0,0.5089171
9,14.2,7.682841
10,28.0,24.097696
11,20.7,22.92844
12,21.5,20.431181
13,18.0,18.161425
14,15.0,18.349993
15,19.0,15.7624235
16,14.4,14.405164
17,9.9,7.1504455
18,53.6,55.22242
19,30.0,33.496136
20,12.0,11.173146
21,0.0,1.7902883
22,0.0,2.4009073
23,21.9,24.304955
24,0.0,6.820844
25,19.9,23.816557
26,21.2,25.937439
27,48.0,55.44648
28,22.0,19.958254
29,30.0,27.41858
30,16.7,15.88891
31,35.0,34.849262
32,18.1,19.922245
33,48.0,49.68275
34,30.0,40.295452
35,13.5,15.683705
36,23.0,20.38411
37,0.0,0.941801
38,19.1,18.829138
39,11.7,12.597602
40,0.0,3.544625
41,18.0,24.840431
42,0.0,2.6174443
43,29.7,31.814362
44,22.8,24.732447
45,0.0,0.81050926
46,30.0,28.623192
47,11.8,14.1640625
48,22.0,18.927822
49,17.1,15.16599
50,12.0,9.541863
51,25.7,24.049725
52,11.7,9.01764
53,19.9,17.766512
54,12.5,4.7670207
55,18.4,13.685185
56,27.6,31.978178
57,19.0,13.924812
58,10.1,6.2054634
59,18.2,16.673397
60,12.9,12.102372
61,16.0,9.945458
62,18.4,19.442558
63,11.0,10.3062525
64,18.0,14.889442
65,20.0,19.84299
66,10.5,12.840988
67,37.5,36.710316
68,21.8,23.671955
69,15.9,21.297056
70,16.3,15.610416
71,24.0,20.09192
72,15.0,18.311987
73,12.0,6.3891697
74,0.0,0.20703998
75,26.0,21.066423
76,14.5,17.733706
77,0.0,4.4381895
78,14.0,13.828966
79,16.0,10.954904
80,42.9,46.26104
81,0.0,3.825817
82,20.0,15.494914
83,0.0,3.6416528
84,24.5,20.410688
85,13.8,12.020721
86,18.3,17.619621
87,23.4,24.276003
88,18.8,16.856644
89,13.5,12.974293
90,30.0,22.270933
91,9.0,10.037237
92,15.0,19.849854
93,16.1,19.02315
94,0.0,9.31708
95,0.0,5.5174947
96,11.8,12.067459
97,25.4,21.962114
98,17.3,15.597805
99,15.1,13.557959
100,20.7,17.933239
101,31.3,27.27557
102,31.4,32.759624
103,15.4,16.22243
104,0.0,0.9379572
105,30.3,29.667437
106,0.0,6.4877877
107,0.0,7.798288
108,17.4,17.06823
109,30.0,24.72417
110,10.4,13.916448
111,26.0,24.890228
112,15.2,20.14318
113,18.7,19.589436
114,20.1,20.608286
115,15.0,11.558055
116,14.2,19.464201
117,30.0,29.071835
118,29.2,29.118427
119,18.0,19.47047
120,19.4,14.620552
121,0.0,4.15971
122,13.8,17.670855
123,26.6,19.58811
124,18.0,14.770971
125,26.4,31.720276
126,18.7,16.551702
127,14.3,13.53374
128,13.9,13.971989
129,15.5,14.931318
130,0.0,4.3385096
131,14.0,16.497911
132,25.8,25.241413
133,12.4,15.145939
134,22.5,18.18544
135,36.0,30.631306
136,12.1,13.8367
137,8.0,10.926738
138,11.2,12.2800255
139,12.0,12.212903
140,12.4,13.373839
141,15.0,14.347242
142,0.0,0.3119322
143,16.6,18.092943
144,16.1,18.46413
145,14.1,18.031515
146,12.0,12.040691
147,15.5,17.003815
148,0.0,1.2531928
149,24.0,24.249687
150,20.4,21.047663
151,30.0,20.455975
152,15.8,17.206078
153,31.0,24.540169
154,21.0,25.177118
155,36.0,31.825935
156,12.9,16.775768
157,0.0,7.6319985
158,24.4,19.948582
159,12.0,10.553504
160,0.0,4.3546057
161,13.1,13.238881
162,16.9,16.849436
163,30.0,30.825764
164,13.5,14.680195
165,12.2,15.288273
166,0.0,2.2028975
167,19.7,15.9063015
168,9.9,12.620751
169,19.6,14.066775
170,18.0,18.09998
171,26.0,17.920763
172,15.2,16.159552
173,12.1,12.747487
174,0.0,10.565033
175,17.0,16.798347
176,12.0,13.439048
177,7.1,8.437576
178,22.0,29.384995
179,11.5,13.187703
180,0.0,23.582382
181,71.0,60.838318
182,22.5,25.6033
183,29.1,37.086678
184,20.2,24.651152
185,9.8,5.9665165
186,16.9,17.438213
187,30.8,31.65122
188,20.6,20.221645
189,24.5,25.072422
190,0.0,4.091875
191,20.6,20.012613
192,28.8,30.749743
193,38.2,23.922688
194,13.1,17.24102
195,0.0,1.9247866
196,8.0,10.090095
197,20.0,17.84438
198,8.0,6.9552665
199,9.7,8.74385
200,21.0,18.984722
201,10.9,8.630409
202,15.5,16.743227
203,10.4,11.78355
204,0.0,0.12530132
205,20.0,16.515217
206,23.8,22.411375
207,21.2,22.91306
208,0.0,7.9995666
209,18.0,14.14568
210,15.6,15.983322
211,15.6,19.302422
212,21.2,21.927412
213,12.0,12.963253
214,23.3,26.366795
215,0.0,3.8610082
216,0.0,1.7088356
217,11.9,14.379988
218,21.6,19.943394
219,14.5,14.864613
220,17.0,18.16662
221,16.2,15.5209255
222,15.7,14.663582
223,14.0,8.300416
224,20.0,19.76116
225,18.8,19.19511
226,24.8,32.362305
227,0.0,7.382077
228,0.0,0.79306483
229,48.0,39.51868
230,25.4,31.967522
231,17.1,16.05314
232,11.0,12.38496
233,0.0,3.2464175
234,15.9,16.104446
235,16.9,18.721365
236,13.6,14.188604
237,12.3,9.189782
238,21.8,30.89709
239,20.1,19.585234
240,12.9,16.741554
241,16.0,18.99229
242,26.1,25.312902
243,23.0,23.96317
244,21.7,18.465378
245,20.2,20.600756
246,10.8,9.022735
247,23.3,22.456564
248,32.0,30.669449
249,0.0,9.371373
250,25.9,21.959757
251,18.4,21.57432
252,12.7,8.803407
253,0.0,8.567083
254,0.0,0.30349678
255,13.0,18.991852
256,29.4,27.490862
257,13.9,12.318518
258,21.2,22.051624
259,14.9,16.700344
260,31.7,34.123714
