,Origin,Predict
0,10.0,9.693814
1,0.0,3.608561
2,18.8,18.746511
3,15.0,16.510115
4,12.0,13.459232
5,0.0,1.7332988
6,0.0,0.25780433
7,13.3,16.87955
8,10.0,10.479651
9,14.8,16.820236
10,11.0,8.732965
11,30.0,26.293331
12,0.0,3.3149421
13,30.0,29.184872
14,0.0,2.48802
15,15.8,16.697117
16,16.0,16.57132
17,13.6,16.762127
18,0.0,2.766391
19,13.3,12.651491
20,18.9,17.978235
21,14.9,15.034908
22,15.0,15.45338
23,0.0,0.8400409
24,18.0,20.500427
25,13.6,14.651751
26,30.0,24.182827
27,0.0,2.006114
28,8.0,10.833088
29,8.0,8.107506
30,9.2,5.8906627
31,19.2,15.741933
32,15.0,15.133248
33,15.0,20.794935
34,8.0,8.372391
35,13.1,13.277614
36,0.0,3.5570388
37,17.7,18.66915
38,17.6,19.298315
39,16.7,15.5319195
40,10.2,12.612173
41,9.0,9.375679
42,14.4,13.272545
43,18.0,18.965494
44,8.0,8.177676
45,18.8,17.670698
46,12.0,16.31972
47,16.3,18.699379
48,14.8,15.998342
49,17.6,17.32005
50,13.9,15.665235
51,21.0,19.621847
52,0.0,2.2753572
53,16.3,15.576705
54,17.4,18.230436
55,17.3,19.03139
56,0.0,2.77245
57,30.0,28.90209
58,0.0,0.73993194
59,17.7,18.301197
60,0.0,2.9134874
61,13.5,17.99553
62,14.0,12.836287
63,0.0,3.0334144
64,12.0,10.058998
65,18.8,17.596796
66,18.0,22.786469
67,12.0,12.498594
68,0.0,0.34255102
69,20.2,19.241175
70,9.0,9.71985
71,14.3,12.884293
72,16.1,14.7281275
73,18.9,22.092505
74,27.0,24.71394
75,19.4,20.261663
76,15.0,18.276001
77,12.8,13.216866
78,14.4,13.748986
79,18.6,20.311083
80,18.0,17.501516
81,0.0,7.829117
82,30.0,26.370825
83,13.3,12.506267
84,20.0,18.741068
85,8.0,4.7013845
86,15.6,13.293211
87,0.0,0.39348546
88,12.0,11.04119
89,19.7,14.117639
90,14.0,13.079396
91,0.0,1.4712127
92,8.0,10.911673
93,21.4,17.800814
94,11.0,13.510279
95,10.0,13.443814
96,14.6,17.0748
97,0.0,2.0529778
98,16.4,21.342192
99,16.9,14.5575485
100,0.0,0.100710385
101,13.0,12.879002
102,15.0,11.610644
103,8.0,8.283081
104,25.0,23.16518
105,16.9,15.512198
106,8.0,5.6819487
107,12.0,22.688595
108,19.0,17.961496
109,9.0,9.5655985
110,0.0,2.8472905
111,17.4,17.414932
112,0.0,6.5854206
113,17.9,17.24517
114,10.0,7.7715287
115,20.2,23.114534
116,16.1,15.241095
117,26.5,24.578426
118,13.5,15.707815
119,31.7,29.565752
120,13.7,11.482489
121,12.0,9.067268
122,21.1,20.535318
123,20.8,20.6553
124,13.6,12.457556
125,17.7,20.175407
126,0.0,2.0860958
127,14.8,15.446404
128,18.0,16.152008
129,19.3,17.182407
130,20.0,20.8072
131,0.0,2.675866
132,8.0,11.060568
133,0.0,0.6280369
134,15.0,12.381412
135,30.0,27.949263
136,19.0,20.857992
137,17.9,17.375927
138,12.0,10.962914
139,9.0,10.61182
140,0.0,1.2941059
141,17.0,17.394505
142,13.8,13.993941
143,18.0,18.208418
144,15.0,18.102304
145,23.8,27.407595
146,0.0,2.4535372
147,12.0,12.084441
148,8.0,13.504923
149,14.9,25.160316
150,23.6,21.895714
151,8.0,9.912328
152,22.4,21.031057
153,14.9,12.50785
154,8.0,5.7657847
155,14.8,17.933424
156,18.0,15.860512
157,14.0,12.697754
158,30.0,28.407812
159,12.0,13.37301
160,18.1,24.420391
161,14.2,12.427644
162,20.0,22.167303
163,14.9,14.893931
164,0.0,0.9561416
165,12.0,12.973712
166,14.8,13.205838
167,25.0,20.742523
168,25.0,21.120354
169,20.0,29.990536
170,0.0,5.5454717
171,0.0,0.0607331
172,13.0,12.123937
173,11.1,13.971175
174,15.0,11.393102
175,0.0,4.942693
176,13.3,17.601093
177,9.0,10.508099
178,23.0,24.035374
179,19.4,21.488567
180,30.0,25.403452
181,0.0,5.7830467
182,25.9,23.951473
183,0.0,1.6905239
184,18.0,21.454046
185,14.3,17.711927
186,18.6,17.098707
187,9.0,10.587411
188,16.1,15.207176
189,22.0,21.026001
190,18.2,17.645266
191,11.6,10.585611
192,10.0,9.833479
193,19.8,17.87283
194,14.6,12.753238
195,8.0,12.916869
196,21.0,24.161243
197,0.0,0.2561181
198,18.4,17.561966
199,0.0,2.2586296
200,30.0,26.03364
201,13.4,12.835901
202,35.0,26.57244
203,11.0,15.038647
204,12.0,11.73478
205,12.0,10.325635
206,15.0,13.773824
207,12.2,13.903711
208,0.0,4.0079575
209,18.8,17.61256
210,0.0,3.4026277
211,11.8,10.771081
212,0.0,4.4023805
213,30.0,24.812113
214,10.0,11.875623
215,15.0,13.504213
216,35.0,37.64203
217,16.7,15.491032
218,30.0,27.157558
219,14.2,14.146914
220,14.3,16.592836
221,12.0,13.468501
222,18.0,16.499285
223,8.0,8.645591
224,13.7,15.000859
225,0.0,0.98960155
226,16.0,15.37492
227,40.0,34.57216
228,30.0,29.058493
229,0.0,0.95411164
230,15.0,13.008518
231,8.0,9.523024
232,8.0,7.610981
233,15.0,14.357048
234,0.0,0.5462305
235,15.0,14.744091
236,16.0,13.835976
237,0.0,1.2549155
238,18.0,17.910385
239,15.9,13.091318
240,12.7,18.082525
241,20.4,18.361181
242,18.2,20.038082
243,30.0,26.808853
244,0.0,1.5351858
245,13.4,17.468884
246,16.5,15.010733
247,10.3,18.626858
248,23.0,21.199598
249,11.0,11.829723
250,9.0,11.112678
251,14.4,13.312215
252,30.0,26.96219
253,19.0,19.147987
254,12.0,11.995833
255,17.6,21.320312
256,0.0,1.2104712
257,15.0,21.738417
258,0.0,0.6961642
259,0.0,5.286437
260,20.2,18.947666
