,Origin,Predict
0,179.3,106.30887
1,59.7,56.301567
2,123.2,117.7186
3,117.7,105.20083
4,319.6,334.6098
5,92.3,82.23284
6,55.5,61.107468
7,78.7,86.89389
8,101.5,105.62981
9,61.6,42.907776
10,143.9,163.32245
11,82.4,91.1091
12,238.4,209.14076
13,54.2,67.399956
14,150.7,156.12329
15,63.9,42.326366
16,112.9,119.04708
17,76.0,69.352066
18,72.5,37.241062
19,0.0,35.341335
20,109.7,83.246185
21,91.8,81.01444
22,220.8,238.8589
23,77.3,80.1415
24,158.8,164.04562
25,0.0,3.1536472
26,285.7,261.8414
27,98.7,100.56447
28,46.6,49.843624
29,0.0,13.109722
30,0.0,3.405124
31,64.3,56.1035
32,72.4,60.063896
33,46.9,65.41665
34,81.5,85.28082
35,81.5,73.44511
36,116.0,120.92014
37,0.0,23.290936
38,73.6,76.188034
39,61.3,61.473335
40,0.0,23.404816
41,197.3,209.7501
42,72.0,99.97519
43,0.0,3.2195528
44,0.0,14.5515
45,84.9,78.362114
46,118.6,140.7704
47,0.0,3.2060716
48,72.5,75.70377
49,60.6,61.549736
50,0.0,4.189911
51,76.1,84.99318
52,96.9,103.49078
53,0.0,2.5153906
54,70.4,85.6761
55,353.4,291.17038
56,142.2,170.95676
57,184.9,166.18117
58,113.1,108.203514
59,0.0,28.662539
60,151.5,112.44386
61,91.6,106.95387
62,71.6,32.665154
63,79.1,86.79415
64,0.0,227.46698
65,51.0,63.523617
66,0.0,0.79547805
67,82.0,79.04323
68,198.4,203.63463
69,159.9,151.21901
70,118.6,136.80109
71,0.0,9.953409
72,74.3,75.79369
73,59.2,69.21593
74,73.4,70.54233
75,73.9,83.97693
76,64.2,65.57114
77,127.1,129.6308
78,133.7,137.32036
79,81.4,79.54368
80,0.0,2.6063268
81,0.0,15.383715
82,0.0,10.637953
83,51.4,37.14257
84,101.9,40.263035
85,76.2,83.23386
86,211.8,188.43625
87,82.7,63.80601
88,219.7,239.11337
89,0.0,8.77004
90,82.0,71.84575
91,72.6,69.812325
92,54.1,52.358047
93,122.1,143.7983
94,51.4,66.47384
95,191.5,195.80882
96,222.4,218.18668
97,48.0,53.137188
98,243.2,219.46712
99,129.8,136.54358
100,182.2,218.88635
101,132.0,121.09278
102,263.1,87.847466
103,61.8,72.10882
104,381.9,399.248
105,79.8,52.421944
106,84.1,83.41738
107,200.3,199.22357
108,52.5,54.904324
109,101.1,99.58081
110,45.5,38.32855
111,116.0,124.737854
112,0.0,0.09762749
113,305.0,294.2685
114,156.2,171.32005
115,73.1,71.65798
116,68.3,46.151493
117,95.0,103.144775
118,0.0,120.90321
119,121.7,129.3495
120,47.6,59.147667
121,186.7,102.27866
122,52.3,49.827976
123,70.8,79.76905
124,101.3,69.0721
125,149.5,141.24109
126,213.9,218.14314
127,50.6,39.98406
128,60.7,61.96908
129,0.0,5.764856
130,82.3,87.62493
131,77.6,75.35899
132,49.3,30.284367
133,102.7,115.021576
134,85.4,60.547054
135,0.0,4.03093
136,149.9,117.90113
137,176.4,183.74022
138,53.7,58.158943
139,103.1,96.87302
140,232.6,195.74474
141,0.0,3.6571474
142,199.7,210.67824
143,198.4,208.37842
144,47.3,45.296196
145,83.0,91.73153
146,90.3,74.33894
147,114.5,72.663124
148,197.6,206.05745
149,65.4,25.393585
150,144.9,99.94157
151,232.5,245.80011
152,83.9,78.27271
153,126.0,126.8676
154,163.9,103.835304
155,0.0,3.9694967
156,72.6,89.03031
157,50.1,60.89139
158,71.8,60.3573
159,428.8,341.071
160,0.0,23.951769
161,0.0,82.84111
162,96.9,105.65884
