,Origin,Predict
0,30.0,0.2325956
1,30.0,28.884144
2,25.0,24.506224
3,0.0,0.062899955
4,30.0,28.449926
5,25.0,25.641933
6,25.0,24.902058
7,25.0,26.066053
8,0.0,15.659527
9,25.0,25.097864
10,30.0,27.666246
11,30.0,28.102222
12,25.0,25.85238
13,25.0,23.518908
14,25.0,23.929815
15,0.0,10.624813
16,25.0,25.335896
17,25.0,23.935207
18,30.0,31.527842
19,30.0,26.46568
20,30.0,31.720888
21,25.0,25.037106
22,30.0,30.601189
23,30.0,26.284458
24,25.0,25.014452
25,25.0,25.7393
26,30.0,29.39715
27,25.0,25.1412
28,0.0,0.2872231
29,25.0,17.714926
30,25.0,26.26299
31,25.0,11.954464
32,25.0,26.398006
33,30.1,28.762138
34,30.0,30.750137
35,30.0,27.481522
36,30.0,28.66617
37,25.0,24.388569
38,25.0,5.620993
39,30.0,27.78591
40,0.0,12.130555
41,25.0,22.202673
42,30.0,30.311768
43,25.0,9.16178
44,30.0,30.85839
45,30.0,32.098957
46,30.0,29.820158
47,25.0,23.998707
48,25.0,25.670715
49,25.0,24.41295
50,25.0,25.285234
51,25.0,26.029001
52,30.0,25.978348
53,0.0,23.307575
54,30.0,29.383291
55,25.0,25.42437
56,25.0,24.475075
57,25.0,26.0908
58,25.0,25.40233
59,30.0,30.554028
60,25.0,25.030127
61,30.0,29.248547
62,25.0,11.273098
63,25.0,24.570711
64,25.0,24.660727
65,30.0,25.900509
66,25.0,23.273058
67,30.0,30.85265
68,0.0,21.016296
69,25.0,20.69373
70,30.0,29.396585
71,30.0,28.45301
72,30.0,30.71284
73,0.0,0.6910681
74,25.0,23.337978
75,25.0,25.158688
76,30.0,31.176945
77,30.0,29.564917
78,0.0,0.04841209
79,30.0,28.127357
80,0.0,4.7518587
81,25.0,24.515274
82,25.0,23.322254
83,33.9,31.514153
84,0.0,0.70473194
85,25.0,21.94328
86,30.0,28.375017
87,25.0,7.1513834
88,30.0,33.15331
89,25.0,24.227755
90,0.0,0.27923796
91,25.0,29.785645
92,25.0,26.621456
93,30.0,31.765343
94,0.0,4.9521427
95,30.0,31.240038
96,25.0,24.350025
97,25.0,27.120522
98,0.0,0.3518401
99,30.0,29.78582
100,25.0,23.885958
101,30.0,28.38529
102,25.0,24.195677
103,30.0,30.135778
104,25.0,27.152035
105,25.0,24.412031
106,30.0,30.43317
107,25.0,25.421494
108,25.0,22.980778
109,25.0,25.092813
110,25.0,22.208628
111,25.0,25.929018
112,0.0,0.37874615
113,25.0,24.76239
114,30.0,29.277544
115,30.0,30.276655
116,30.0,30.524696
117,30.0,29.270412
118,25.0,24.284067
119,25.0,26.398228
120,25.0,25.047604
121,30.0,30.265074
122,27.3,30.736977
123,25.0,27.419813
124,30.0,30.238142
125,25.0,23.923212
126,0.0,21.680376
127,25.0,25.075893
128,30.0,30.712559
129,30.0,30.666883
130,30.0,31.33145
131,25.0,27.209278
132,30.0,29.962696
133,30.0,28.71684
134,25.0,24.350729
135,25.0,25.132515
136,30.0,30.321405
137,25.0,25.14681
138,25.0,25.133997
139,25.0,22.748014
140,0.0,0.34881148
141,0.0,16.710289
142,0.0,4.074679
143,30.0,27.641167
144,0.0,0.60236275
145,30.0,31.882711
146,0.0,19.862864
147,25.0,25.392345
148,25.0,25.326378
149,30.0,28.761845
150,30.0,24.062407
151,0.0,28.898159
152,25.0,18.639317
153,25.0,24.136644
154,25.0,24.207909
155,30.0,29.400461
156,30.0,29.847712
157,0.0,0.68561876
158,30.0,32.421787
159,30.0,0.54331154
160,30.0,29.876816
161,0.0,0.98881793
162,30.0,26.78256
163,25.9,27.11923
164,25.3,27.043154
165,30.0,31.346182
166,25.0,25.125889
167,30.0,30.020084
168,25.0,25.502556
169,25.0,24.521921
170,25.0,25.364046
171,25.0,25.146933
172,25.0,23.684553
173,0.0,0.50283515
174,25.0,24.254354
175,30.0,32.19137
176,0.0,5.560056
177,30.0,30.398119
178,30.0,29.151752
179,0.0,13.359684
180,30.0,28.56404
181,30.0,29.833406
182,0.0,16.240114
183,25.0,24.36936
184,25.0,26.303205
185,25.0,23.792442
186,30.0,27.669527
187,0.0,1.6740695
188,25.9,24.06437
189,25.0,24.573666
190,0.0,0.54299825
191,30.0,30.076271
192,30.0,28.213888
193,30.0,28.778957
194,25.0,24.013012
195,25.0,26.802078
196,0.0,0.76443326
197,30.0,31.226229
198,0.0,0.053382836
199,25.0,24.004978
200,30.0,29.82708
201,0.0,0.11593399
202,25.0,23.77197
203,30.0,30.435183
204,30.0,27.847837
205,25.0,24.020163
206,0.0,0.19934578
207,30.0,0.8937785
208,0.0,3.7977185
209,25.0,26.618763
210,30.0,32.129402
211,30.0,30.964066
212,30.0,28.770851
213,25.0,26.20862
214,0.0,0.2279708
215,0.0,0.5522343
216,0.0,8.863871
217,30.0,30.43515
218,30.0,27.158396
219,25.0,25.476477
220,0.0,20.960314
221,30.0,31.162382
222,0.0,0.03722524
223,25.0,16.121109
224,30.0,31.022291
225,0.0,0.032927588
226,0.0,1.7559667
227,25.0,24.951908
228,30.0,29.935612
229,25.0,25.253649
230,25.0,24.661919
231,30.0,29.654354
232,0.0,25.77767
233,0.0,0.2501251
234,25.0,24.237734
235,30.0,32.327988
236,26.2,27.02876
237,30.0,28.810844
238,25.0,22.836855
239,25.0,25.128677
240,25.0,24.90634
241,25.0,13.017143
242,30.0,29.192682
243,30.0,29.925617
244,37.6,30.444567
245,0.0,0.46603146
246,25.0,25.581825
247,25.0,24.031752
248,25.0,26.274546
249,30.0,29.65663
250,30.0,30.05403
251,25.0,24.359238
252,0.0,0.36540884
253,30.0,29.031118
254,0.0,1.5331306
255,30.0,28.541515
256,0.0,0.3328078
257,0.0,23.312723
258,0.0,1.7240013
259,25.0,25.541592
260,0.0,5.5479813
261,0.0,15.456501
262,25.0,25.075695
263,25.0,21.05395
264,35.0,32.770134
265,25.0,24.055649
266,25.0,24.960827
