,Origin,Predict
0,82.0,72.060394
1,75.0,76.33887
2,77.7,57.59946
3,0.0,38.22829
4,89.7,70.8914
5,65.0,76.04638
6,70.0,65.17873
7,44.7,55.30311
8,60.0,40.89632
9,0.0,16.951805
10,0.0,13.4714775
11,0.0,16.987606
12,22.0,17.692327
13,0.0,14.222746
14,0.0,5.4859147
15,0.0,0.5004866
16,0.0,0.5144602
17,0.0,7.4902296
18,0.0,14.987547
19,0.0,3.4393291
20,0.0,7.836899
21,0.0,3.764895
22,0.0,4.8553
23,0.0,7.7642517
24,0.0,6.0564837
25,0.0,6.110767
26,0.0,1.6480813
27,0.0,2.2505326
28,0.0,8.263754
29,0.0,4.990592
