,Origin,Predict
0,14341.0,9795.295
1,34882.0,22868.637
2,4575.0,2221.4805
3,18234.0,18915.982
4,18187.0,14578.822
5,1656.0,4679.691
6,2704.0,15760.865
7,0.0,1810.7428
8,0.0,3617.9543
9,7994.0,18995.826
10,18982.0,11993.404
11,0.0,4184.285
12,30645.0,29412.482
13,10503.0,9636.496
14,0.0,3826.2195
15,11233.0,6199.083
16,18040.0,17849.1
17,25091.0,23055.191
18,45060.0,28717.389
19,8709.0,14750.859
20,22443.0,25326.75
21,56851.0,15340.313
22,0.0,107.6166
23,0.0,418.89087
24,0.0,482.8787
25,7254.0,1243.3788
26,15304.0,17582.605
27,27568.0,30068.277
28,39599.0,22468.953
29,15190.0,17489.201
30,7817.0,10268.585
31,24404.0,22541.943
32,35665.0,42133.164
33,10601.0,12309.155
34,8502.0,7877.0713
35,25907.0,20057.664
36,18057.0,12295.684
37,7840.0,11930.289
38,18275.0,11990.1045
39,0.0,10441.915
40,15257.0,18719.893
41,0.0,24.874596
42,16910.0,18910.574
43,20272.0,8808.761
44,3515.0,6698.883
45,0.0,27574.754
46,11469.0,17698.434
47,0.0,7325.2827
48,11716.0,9613.262
49,5057.0,879.2336
50,17956.0,22371.19
51,4593.0,3756.7683
52,3154.0,14133.61
53,20533.0,18065.154
54,23385.0,28568.059
55,12442.0,19092.143
56,40350.0,37671.12
57,21479.0,16530.896
58,0.0,1888.9382
59,19797.0,20536.879
60,0.0,1309.2783
61,0.0,2399.3484
62,13223.0,10043.93
63,6565.0,4959.123
64,0.0,8949.478
65,10664.0,26410.637
66,9157.0,8277.706
67,26993.0,25156.383
68,23532.0,25826.605
69,12304.0,9044.051
70,9883.0,1321.427
71,17058.0,15142.26
72,22812.0,17048.72
73,0.0,13486.676
74,30706.0,28416.654
75,20664.0,30433.496
76,13466.0,9290.472
77,30284.0,19286.947
78,27280.0,12875.682
79,17519.0,8435.354
80,18079.0,21669.885
81,19643.0,19753.838
82,13351.0,14192.155
83,23291.0,29328.111
84,15134.0,20364.342
85,15975.0,14147.955
86,0.0,544.7439
87,17162.0,17028.977
88,14635.0,23522.648
89,10030.0,7364.3994
90,25920.0,15889.901
91,17329.0,14682.355
92,11583.0,10095.209
93,22271.0,17979.604
94,8569.0,9961.435
95,38665.0,34522.43
96,25130.0,22614.404
97,24015.0,25993.867
98,25658.0,24269.928
99,15309.0,23451.758
100,6582.0,7506.019
101,5180.0,7783.626
102,5697.0,5707.8765
103,17856.0,1134.3751
104,19270.0,7779.247
105,2920.0,5262.023
106,0.0,317.81656
107,5555.0,2329.896
108,3962.0,3668.7917
109,0.0,1962.8817
110,16918.0,21140.908
111,6053.0,14292.272
112,34449.0,8507.715
113,0.0,620.2982
114,22680.0,14383.34
115,9346.0,21379.918
116,9840.0,15613.738
117,12924.0,14445.307
118,44095.0,51883.39
119,7038.0,11472.893
120,2542.0,14212.759
121,9042.0,17861.861
122,0.0,7286.14
123,8733.0,7044.057
124,14307.0,12449.977
125,12952.0,6895.151
126,0.0,570.38837
127,27649.0,19967.314
128,0.0,539.5456
129,0.0,4201.5166
130,12899.0,17596.127
131,9083.0,14428.87
132,41314.0,3838.9004
133,30732.0,33511.44
134,13218.0,11598.248
135,19584.0,23.644331
136,0.0,673.2426
137,32017.0,22002.682
138,6435.0,8069.703
139,19410.0,23005.934
140,0.0,9487.79
141,42069.0,8721.106
142,15581.0,18923.652
143,13535.0,24461.22
144,37509.0,21040.66
145,20996.0,15979.457
146,8224.0,12183.094
147,17828.0,24898.992
148,13001.0,14409.511
149,18593.0,12304.271
150,20234.0,25680.88
151,9270.0,6627.3525
152,15576.0,10163.641
153,10642.0,6826.486
154,15806.0,19637.584
155,95460.0,81382.3
156,0.0,326.1469
157,12186.0,12296.555
158,11168.0,12240.88
159,18155.0,9122.154
160,11818.0,14011.575
161,10425.0,12230.504
162,25292.0,17540.932
163,30246.0,27928.35
164,65476.0,28653.957
165,12659.0,8689.735
166,0.0,1525.0822
167,26284.0,35027.85
168,10660.0,11191.548
169,0.0,4387.9204
170,14557.0,14550.399
171,17165.0,6908.9976
172,18273.0,25220.143
173,29194.0,24326.803
174,23430.0,10378.633
175,22529.0,26399.527
176,10506.0,5602.414
177,18737.0,8094.726
178,11691.0,18585.37
179,5504.0,5851.9814
180,21663.0,20823.305
181,19133.0,11955.516
182,0.0,4027.6675
183,25549.0,15319.201
184,29477.0,25974.959
185,20725.0,15074.249
186,16053.0,5897.296
187,11579.0,10763.927
188,0.0,1126.8899
189,39034.0,27792.611
190,0.0,4531.9126
191,15075.0,14329.864
192,12825.0,25297.002
193,16744.0,20669.709
194,16635.0,27786.39
195,5335.0,6208.172
196,12365.0,18922.19
197,13450.0,13839.927
198,28057.0,34159.668
199,27400.0,12442.715
200,24142.0,21922.979
201,23635.0,8254.004
202,7358.0,11957.977
203,0.0,248.72337
204,28743.0,22818.285
205,0.0,185.48701
206,10398.0,16994.969
207,6462.0,7327.6416
208,44816.0,32431.668
209,8949.0,6321.4175
210,19796.0,22675.043
211,29658.0,14936.267
212,11441.0,19036.473
213,40365.0,22468.674
214,57017.0,50976.027
215,28227.0,19181.838
216,16723.0,15217.836
217,22815.0,16956.21
218,0.0,4451.8604
219,7098.0,13867.909
220,0.0,465.8166
221,17878.0,19547.404
222,0.0,590.42786
223,7043.0,8899.762
224,6000.0,1613.913
225,29864.0,33825.402
226,0.0,2841.352
227,16334.0,13551.926
228,22565.0,17878.893
229,8186.0,5334.34
230,18721.0,25754.492
231,0.0,1084.155
232,0.0,8490.8545
233,2737.0,3867.1404
234,24196.0,20909.293
235,13832.0,85918.98
236,0.0,542.90845
237,2580.0,7327.044
238,27446.0,31813.277
239,0.0,1026.0991
240,22758.0,21446.73
241,22809.0,21830.645
242,6361.0,14481.179
243,0.0,774.8477
244,21075.0,17216.6
245,12140.0,3347.0083
246,0.0,686.21533
247,6282.0,6745.1816
248,22434.0,24987.49
249,0.0,8529.0205
250,21176.0,18995.395
251,10888.0,15247.614
252,8846.0,20027.656
253,3883.0,2019.6683
254,28627.0,23868.06
255,15280.0,7289.5503
256,15806.0,19693.125
257,4160.0,3921.4563
258,36276.0,24482.754
259,0.0,197.64714
260,29884.0,22481.08
261,17999.0,16679.46
262,30381.0,40375.117
263,0.0,62.99573
264,8128.0,8732.038
265,29275.0,38395.15
266,58225.0,56289.93
