,Origin,Predict
0,300.0,211.3432
1,90.0,97.07083
2,68.7,50.61899
3,89.2,110.99131
4,0.0,14.552956
5,137.5,133.66853
6,44.0,26.074377
7,48.6,35.963
8,115.8,122.60006
9,126.4,127.47395
10,95.1,100.37846
11,187.8,131.7606
12,84.1,87.56452
13,73.1,86.33789
14,0.0,35.52814
15,214.6,220.50679
16,69.2,72.156456
17,0.0,4.178848
18,146.8,155.2267
19,64.4,91.399666
20,102.8,75.391136
21,185.0,155.65886
22,0.0,43.62583
23,0.0,45.870453
24,200.0,207.33316
25,112.6,108.28433
26,52.3,58.496925
27,88.3,91.77914
28,180.3,224.6011
29,90.7,93.71344
30,79.9,42.694336
31,88.9,91.47124
32,153.9,156.08926
33,0.0,33.61048
34,25.9,43.115192
35,67.5,81.887054
36,143.3,156.06873
37,148.6,161.01093
38,61.9,50.261456
39,118.0,126.53819
40,160.0,202.46066
41,0.0,0.5274952
42,310.7,101.616844
43,124.1,110.84368
44,0.0,23.25816
45,179.6,206.14232
46,95.4,88.316864
47,183.0,205.2333
48,76.8,102.29489
49,102.6,93.64662
50,0.0,8.543353
51,0.0,41.238472
52,176.2,178.58994
53,0.0,11.64742
54,157.9,156.14906
55,0.0,24.175285
56,21.5,35.39606
57,0.0,1.5936835
58,115.8,93.97742
59,0.0,74.6629
60,75.0,94.87924
61,43.1,40.14746
62,94.4,92.059944
63,171.9,155.50108
64,154.0,164.74622
65,131.7,130.02501
66,0.0,4.189886
67,53.2,53.997936
68,50.4,55.454456
69,100.0,109.39205
70,0.0,10.860335
71,42.6,44.996346
72,42.9,34.0996
73,136.4,135.55951
74,112.1,119.87198
75,108.3,99.42022
76,91.1,99.238235
77,0.0,129.86075
78,110.0,106.5225
79,124.7,107.313416
80,125.4,145.51642
81,105.4,96.37187
82,112.5,95.05116
83,0.0,13.377664
84,120.0,104.418884
85,75.2,77.3292
86,116.3,116.87401
87,126.9,91.93077
88,150.0,139.6044
89,66.7,84.57344
90,0.0,13.742887
91,43.1,44.565212
92,0.0,31.888842
93,136.8,145.37117
94,0.0,35.8625
95,104.3,105.03565
96,0.0,45.406204
97,0.0,9.519237
98,95.4,99.422646
99,75.6,57.241688
100,110.0,100.72621
101,52.9,47.664104
102,0.0,34.473293
103,111.4,137.59024
104,0.0,1.3736074
105,122.0,143.54826
106,88.2,116.129684
107,38.5,54.71762
108,0.0,7.68888
109,88.8,94.76533
110,109.3,90.51127
111,0.0,16.668804
112,193.9,217.73148
113,42.0,40.5109
114,72.1,58.403282
115,0.0,9.835646
116,158.0,222.79651
117,46.7,35.084385
118,218.5,200.5185
119,140.5,136.06496
120,116.5,102.68792
121,290.0,232.69498
122,0.0,10.291933
123,176.7,161.64923
124,73.9,50.80676
125,0.0,28.694605
126,0.0,5.287534
127,145.3,133.55211
128,73.8,76.386665
129,91.3,94.48025
130,80.5,96.056274
131,0.0,24.322908
132,114.4,112.51085
133,0.0,12.136331
134,127.1,134.53821
135,106.6,73.676056
136,54.8,70.17096
137,164.5,182.84084
138,79.1,73.441284
139,76.5,63.681763
140,0.0,0.8083347
141,90.0,126.661224
142,91.6,92.06023
143,96.4,96.073784
144,103.2,111.56894
145,78.7,101.01872
146,0.0,12.589769
147,100.0,92.03075
148,160.0,127.70411
149,135.0,78.42922
150,0.0,64.04448
151,79.5,74.474625
152,112.0,97.30142
153,0.0,29.719957
154,79.7,96.82065
155,0.0,0.26313934
156,160.0,199.72134
157,57.3,52.83548
158,96.5,96.86217
159,78.2,77.782684
160,65.6,70.06889
161,200.0,217.3369
162,85.2,70.13614
163,0.0,32.860336
164,87.7,77.127235
165,40.1,55.58931
166,57.7,61.51858
167,108.4,107.87632
168,104.4,121.06388
169,0.0,1.788858
170,85.0,79.60961
171,109.8,93.59794
172,70.4,71.50732
173,0.0,14.402642
174,0.0,26.932852
175,68.0,66.56037
176,0.0,21.886284
177,102.6,97.52906
178,120.0,135.10468
179,135.0,95.22075
180,76.1,87.80574
181,45.0,44.110065
182,29.0,20.016348
183,148.2,146.7749
184,109.4,106.55023
185,310.0,224.98637
186,172.8,156.64929
187,0.0,54.61287
188,177.4,193.94382
189,0.0,30.235184
190,145.0,134.00984
191,92.3,64.91539
192,98.3,103.34749
193,120.7,87.21075
194,67.6,63.570198
195,121.7,125.21202
196,72.6,68.00036
197,79.4,119.6749
198,95.4,123.726906
199,0.0,8.768698
200,101.1,109.4141
201,69.3,77.02966
202,136.9,116.32631
203,250.0,235.82968
204,0.0,3.3205225
205,100.0,107.38372
206,153.8,160.65865
207,170.5,171.7315
208,84.4,109.464424
209,68.0,43.609703
210,87.1,76.7347
211,45.7,46.306255
212,93.1,90.93777
213,136.0,102.14831
214,108.2,135.34425
215,132.7,140.58763
216,100.1,87.18616
217,126.6,104.93593
218,74.4,74.917984
219,141.4,133.67859
220,50.5,55.17922
221,194.5,183.98064
222,117.5,100.36769
223,76.7,71.21241
224,0.0,14.638832
225,71.9,70.29298
226,63.2,77.1132
227,103.4,107.94098
228,148.3,147.33891
229,99.8,143.25705
230,93.5,113.642715
231,151.4,178.08134
232,80.4,75.621284
233,0.0,4.115517
234,128.9,181.77177
235,69.1,65.67209
236,150.9,150.5322
237,140.0,158.85538
238,168.0,114.00819
239,100.0,105.36851
240,119.3,131.24266
241,80.7,73.824326
242,68.1,71.14504
243,66.2,59.926487
244,0.0,6.2627563
245,47.4,37.113
246,201.0,176.26341
247,142.8,131.38628
248,57.5,48.217976
249,80.7,86.743576
250,69.6,83.82874
251,66.5,40.29626
252,0.0,49.480724
253,53.9,67.08396
254,0.0,13.007671
255,86.3,78.95446
256,128.1,126.32844
257,162.2,169.66098
258,120.0,113.56733
259,100.6,80.88367
260,95.5,63.369175
