,Origin,Predict
0,70.0,82.78044
1,75.0,73.86686
2,60.0,61.14772
3,100.0,76.530174
4,50.0,66.34237
5,70.0,84.859184
6,50.0,41.060402
7,12.0,12.204775
8,59.1,44.919846
9,70.0,68.77765
10,0.0,20.26002
11,80.0,76.33918
12,0.0,29.916145
13,0.0,76.64918
14,50.0,44.88801
15,50.0,44.63684
16,68.8,68.33149
17,39.1,27.032087
18,0.0,25.48209
19,0.0,40.021935
20,46.7,45.96128
21,0.0,60.186985
22,70.0,67.41496
23,0.0,8.332496
24,60.0,29.124374
25,9.8,5.3714743
26,0.0,20.0896
27,60.0,40.53974
28,30.0,17.79675
29,0.0,6.9618144
30,40.0,37.102737
31,40.0,42.77484
32,88.4,49.39247
33,60.0,71.11114
34,50.0,41.355244
35,80.0,97.87119
36,45.0,40.457706
37,100.0,158.38716
38,8.0,14.7489
39,0.0,43.045063
40,68.6,69.32851
41,58.4,29.662102
42,140.0,147.3621
43,50.0,50.39597
44,500.0,391.29047
45,110.0,104.99967
46,0.0,30.619286
47,150.0,134.71535
48,0.0,20.506338
49,156.9,122.965675
50,0.0,17.366007
51,82.0,85.93557
52,260.0,244.682
53,162.0,137.28726
54,120.0,125.7612
55,150.0,106.26823
56,0.0,24.51477
57,9.6,23.212515
58,70.0,83.624054
59,68.3,88.82251
60,60.0,62.916508
61,38.0,43.66475
62,0.0,33.130043
63,0.0,10.2882805
64,0.0,22.284962
65,42.0,44.17478
66,105.0,64.14286
67,0.0,77.92284
68,50.0,28.93145
69,0.0,33.414444
70,0.0,13.246071
71,90.0,59.86782
72,0.0,24.286226
73,250.0,138.55215
74,75.0,63.833576
75,170.0,163.88753
76,50.0,62.85953
77,200.0,172.9142
78,160.0,79.7793
79,15.0,27.274565
80,20.0,39.670414
81,0.0,16.09303
82,70.0,69.27349
83,66.0,67.80645
84,88.0,55.978878
85,80.0,72.65107
86,220.0,88.4796
87,70.0,63.333397
88,200.0,108.97837
89,35.0,14.682883
90,0.0,14.62887
91,60.0,58.092827
92,40.0,53.776073
93,55.0,32.099617
94,150.0,129.98193
95,100.0,90.685875
96,60.0,60.478535
97,0.0,13.829495
98,0.0,7.771758
99,15.0,5.0261602
100,60.0,72.60336
101,150.0,141.86421
102,57.5,55.62785
103,0.0,13.118286
104,0.0,2.703764
105,0.0,15.960201
106,70.0,62.32808
107,50.0,88.039604
108,50.5,41.073086
109,45.0,62.86018
110,0.0,7.841877
111,15.0,41.560925
112,15.0,27.017
113,70.0,57.390903
114,0.0,78.058754
115,0.0,23.910011
116,87.8,28.0505
117,70.0,65.64514
118,0.0,89.45474
119,75.0,38.9899
120,100.0,78.91069
121,150.0,75.61793
122,0.0,2.5401912
123,50.0,29.882483
124,65.0,38.557102
125,60.0,67.30925
126,7.0,6.821203
127,0.0,4.548627
128,40.2,46.34568
129,100.0,95.93892
130,50.0,59.513683
131,0.0,6.376265
132,0.0,28.217352
133,90.0,33.47558
134,80.0,47.730587
135,170.0,196.54332
136,200.0,159.42479
137,0.0,3.7862103
138,80.0,85.57373
139,70.0,66.63562
140,10.0,9.588174
141,25.0,26.511614
142,45.0,25.701284
143,150.0,173.88498
144,0.0,40.645927
145,60.0,50.78279
146,0.0,10.257321
147,0.0,8.892536
148,135.0,100.49179
149,0.0,309.0663
150,80.0,63.45421
151,0.0,22.128416
152,280.0,102.73189
153,0.0,28.52332
154,0.0,34.09919
155,0.0,30.031921
156,280.0,87.17868
157,0.0,14.20322
158,0.0,0.49415082
159,0.0,48.86937
160,160.0,204.03508
161,0.0,6.49792
162,60.0,66.8963
163,0.0,5.183196
164,0.0,4.746728
165,160.0,85.48597
166,90.0,83.74007
167,90.0,29.732286
168,0.0,5.559901
169,10.0,25.65043
170,0.0,11.457372
171,60.0,71.87665
