,Origin,Predict
0,122.3,106.09489
1,129.0,78.80784
2,49.7,63.997833
3,46.7,23.73123
4,0.0,15.860236
5,45.6,57.892117
6,37.7,28.28752
7,40.5,43.19857
8,37.8,49.308872
9,28.6,55.95699
10,31.3,11.725219
11,0.0,3.1191208
12,39.3,41.289837
13,25.6,7.041417
14,25.0,32.482708
15,30.5,45.83552
16,69.0,41.950497
17,20.0,10.623502
18,0.0,0.35271946
19,47.8,41.703415
20,34.5,36.65671
21,32.9,49.573753
22,54.3,40.13872
23,25.0,45.304977
24,29.5,7.8699636
25,0.0,10.922768
26,63.5,48.642143
27,24.5,31.889229
28,29.1,30.273615
29,22.0,11.042644
