,Origin,Predict
0,58.0,47.94404
1,76.0,6.7459016
2,0.0,4.9794126
3,16.0,14.183204
4,77.0,158.32661
5,28.0,88.09939
6,22.0,218.16063
7,130.0,105.57144
8,185.0,109.68987
9,68.0,3.6631382
10,137.0,97.27109
11,43.0,112.402954
12,46.0,55.697445
13,398.0,31.184772
14,81.0,72.19473
15,273.0,217.81166
16,54.0,49.695595
17,65.0,86.0124
18,132.0,100.3896
19,44.0,39.894176
20,62.0,63.654987
21,88.0,121.07339
22,84.0,162.1972
23,0.0,17.365135
24,65.0,54.390842
25,39.0,24.170048
26,73.0,69.955086
27,30.0,36.153683
28,0.0,3.8589287
29,28.0,36.55716
30,73.0,74.99154
31,78.0,67.13208
32,78.0,103.08805
33,76.0,73.56007
34,0.0,10.982593
35,29.0,74.3953
36,0.0,22.628962
37,48.0,57.377975
38,55.0,56.64179
39,99.0,104.488335
40,83.0,83.44944
41,87.0,85.67868
42,13.0,93.09417
43,46.0,45.104847
44,88.0,89.83116
45,53.0,62.748024
46,56.0,43.849525
47,48.0,59.367855
48,72.0,57.233315
49,77.0,58.92152
50,134.0,76.71089
51,179.0,59.86272
52,53.0,52.80494
53,38.0,55.069813
54,114.0,107.43058
55,60.0,77.98361
56,108.0,120.703316
57,117.0,54.617584
58,61.0,26.995302
59,18.0,46.32395
60,31.0,48.403294
61,85.0,81.98757
62,41.0,123.675575
63,84.0,72.019295
64,0.0,5.0029044
65,59.0,577.51337
66,70.0,55.356346
67,50.0,23.61118
68,32.0,85.93586
69,50.0,56.334415
70,130.0,78.96166
71,55.0,69.21309
72,185.0,75.42948
73,137.0,107.51991
74,89.0,118.702385
75,73.0,61.930866
76,169.0,109.29191
77,0.0,11.816727
78,26.0,85.572105
79,44.0,43.62605
80,80.0,106.67762
81,0.0,46.620705
82,60.0,45.11372
83,57.0,26.79513
84,32.0,27.160246
85,63.0,60.967773
86,61.0,78.03021
87,0.0,4.3640695
88,71.0,35.101585
89,28.0,35.734596
90,141.0,63.593323
91,69.0,37.78071
92,69.0,81.1694
93,103.0,74.449615
94,32.0,37.511257
95,81.0,73.08328
96,0.0,39.188873
97,58.0,72.16056
98,0.0,13.610852
99,32.0,54.579826
100,64.0,51.045094
101,32.0,41.719627
102,90.0,68.72866
103,88.0,119.7521
104,56.0,61.764534
105,16.0,36.96099
106,51.0,64.46083
107,77.0,115.66504
108,56.0,76.27257
109,33.0,29.874498
110,135.0,81.13599
111,40.0,290.02853
112,76.0,136.64572
113,274.0,687.4281
114,82.0,32.160194
115,0.0,11.4670315
116,63.0,109.10838
117,0.0,5.0246696
118,73.0,78.54419
119,160.0,147.75085
120,0.0,5.4535165
121,0.0,8.908779
122,82.0,47.609325
123,34.0,47.656452
124,65.0,52.384518
125,38.0,53.015636
126,22.0,67.86673
127,61.0,63.28792
128,28.0,80.06808
129,57.0,47.656754
130,32.0,100.95761
131,67.0,69.42499
132,0.0,9.509645
133,115.0,67.15655
134,65.0,62.569965
135,271.0,136.88348
136,48.0,36.90841
137,8.0,38.913826
138,52.0,21.83781
139,34.0,18.346832
140,49.0,105.23039
141,93.0,64.88898
142,24.0,63.70747
143,0.0,20.742666
144,18.0,63.779552
145,268.0,102.23879
146,32.0,41.462852
147,52.0,108.18006
148,42.0,32.25362
149,76.0,55.343754
150,84.0,16.700062
151,46.0,86.00454
152,28.0,21.329477
153,60.0,39.409008
154,0.0,4.8591743
155,13.0,57.364304
156,57.0,70.85408
157,61.0,42.489037
158,0.0,1.2571886
159,95.0,23.99642
160,78.0,93.27791
161,179.0,200.80266
162,110.0,24.194168
163,0.0,18.057127
164,117.0,68.86862
165,59.0,79.117195
166,81.0,62.235935
167,68.0,101.48857
168,64.0,75.35306
169,0.0,6.163224
170,0.0,11.434338
171,90.0,80.06951
172,0.0,10.716483
173,0.0,45.2106
174,74.0,43.369045
175,33.0,90.999146
176,111.0,116.64811
177,38.0,29.24909
178,0.0,89.71938
179,32.0,60.737934
180,97.0,60.490807
181,50.0,136.5294
182,61.0,67.22563
183,38.0,48.2206
184,52.0,55.45374
185,31.0,69.70352
186,74.0,71.61591
187,0.0,68.581856
188,0.0,8.755946
189,85.0,98.00013
190,44.0,69.66311
191,356.0,77.61634
192,16.0,57.74468
193,34.0,69.30824
194,111.0,29.906693
195,194.0,170.91264
196,104.0,87.16478
197,560.0,70.744
198,44.0,75.54039
199,112.0,20.281563
200,0.0,0.3265013
201,60.0,102.3777
202,0.0,10.121905
203,29.0,127.694954
204,65.0,77.99058
205,28.0,58.581448
206,38.0,99.53306
207,78.0,55.96674
208,32.0,105.77849
209,39.0,61.802994
210,92.0,95.66572
211,67.0,80.09349
212,39.0,68.04166
213,55.0,52.633175
