,Origin,Predict
0,0.0,0.47637624
1,95.9,97.044495
2,0.0,1.6966313
3,121.3,102.391556
4,0.0,2.1411936
5,0.0,1.3817235
6,0.0,4.4698644
7,0.0,0.966997
8,103.5,86.62264
9,0.0,4.1767974
10,0.0,0.9887858
11,94.6,85.92902
12,0.0,2.1687973
13,0.0,1.2508919
14,125.5,116.97009
15,150.9,53.844254
16,0.0,1.3306658
17,0.0,3.3588207
18,128.5,105.29577
19,130.9,110.874245
20,96.2,86.04219
21,0.0,0.28817606
22,0.0,0.4124506
23,0.0,0.8319555
24,0.0,1.6721492
25,0.0,1.619434
26,259.6,293.03894
27,0.0,2.341746
28,0.0,2.2126827
29,0.0,2.2104137
30,111.5,136.02155
31,0.0,0.080261536
32,0.0,1.9070749
33,0.0,0.54587275
34,0.0,0.12581445
35,0.0,1.3676574
36,111.0,34.723747
37,100.9,100.70795
38,109.4,85.220406
39,82.6,73.760185
40,0.0,134.11113
41,0.0,1.3719914
42,0.0,0.9835855
43,0.0,1.6546702
44,0.0,1.3026559
45,0.0,107.757835
46,0.0,4.1318417
47,140.1,138.70966
48,0.0,8.141375
49,0.0,2.3333733
50,0.0,1.2868483
51,0.0,0.20739663
52,0.0,0.6325732
53,0.0,0.781977
54,0.0,0.05281088
55,0.0,2.0677571
56,0.0,1.5729501
57,0.0,0.9615294
58,0.0,2.3807478
59,0.0,1.2487942
60,108.9,1.4873911
61,107.5,116.84783
62,0.0,0.3773421
63,121.4,113.52832
64,70.0,22.111198
65,0.0,3.0889754
66,130.2,126.73302
67,0.0,0.80626637
68,88.0,87.70731
69,0.0,0.4141295
70,55.0,8.335683
71,75.6,125.9721
72,170.4,159.35965
73,0.0,0.9603464
74,0.0,2.2851396
75,0.0,4.7542143
76,65.0,21.298162
77,118.1,117.28641
78,0.0,2.2736228
79,0.0,0.10859432
80,0.0,0.5771155
81,0.0,1.2699084
82,115.5,114.94764
83,0.0,33.281857
84,0.0,0.025099628
85,165.4,156.57068
86,0.0,9.681473
87,104.4,95.11152
88,0.0,5.159517
89,0.0,50.893566
90,0.0,3.191033
91,0.0,104.29918
92,139.1,113.52028
93,0.0,2.694966
94,0.0,0.5986532
95,0.0,1.5503987
96,129.4,113.44572
97,0.0,2.28913
98,141.8,161.85013
99,0.0,0.1505792
100,40.0,15.237675
101,0.0,0.033286452
102,0.0,3.2851267
103,0.0,1.2909025
104,0.0,0.6674227
105,0.0,8.813972
106,0.0,2.2581177
107,0.0,0.9948651
108,0.0,1.2735499
109,0.0,1.6071322
110,0.0,0.97428226
111,121.3,108.27324
112,0.0,1.0722791
113,0.0,2.6864853
114,0.0,0.17211199
115,118.4,118.62341
116,125.1,138.86569
117,0.0,2.601636
118,0.0,29.005423
119,0.0,1.4831846
120,0.0,4.2642817
121,92.0,101.15486
122,0.0,3.9352202
123,162.3,171.16974
124,0.0,0.3553696
125,0.0,0.8773215
126,0.0,1.9909289
127,0.0,0.20767339
128,0.0,0.17495635
129,0.0,0.82723635
130,55.0,47.112766
131,68.4,64.53182
132,0.0,3.6976774
133,139.0,125.159195
134,0.0,1.3535069
135,0.0,1.466943
136,0.0,2.3267405
137,75.1,77.26293
138,0.0,3.5628343
139,0.0,4.46001
140,0.0,6.3087816
141,106.6,104.08056
142,0.0,1.4141506
143,0.0,0.06517289
144,125.8,109.46517
145,98.5,86.959564
146,0.0,1.3408085
147,95.8,104.11475
148,0.0,1.0429777
149,82.8,72.14639
150,0.0,0.72209626
151,0.0,2.0806034
152,0.0,0.85833263
153,0.0,4.674393
154,0.0,1.2942755
155,0.0,5.4486957
156,82.3,92.806816
157,0.0,0.6040424
158,0.0,6.1698723
159,62.1,19.636656
160,126.7,109.81655
161,47.0,77.37139
162,0.0,0.62975127
163,0.0,1.7388446
164,0.0,2.5348916
165,156.9,189.29855
166,99.8,99.445
167,108.3,91.20352
168,0.0,0.659127
169,0.0,0.2884576
170,0.0,2.1212025
171,171.3,154.77351
172,98.5,107.596985
173,130.4,122.18975
174,0.0,10.405881
175,65.0,2.9462702
176,0.0,1.4802873
177,0.0,1.2790923
178,0.0,1.9214158
179,144.3,105.14639
180,92.0,90.6904
181,0.0,3.6168332
182,0.0,0.44361186
183,0.0,4.471134
184,96.6,102.76774
185,100.0,108.113464
186,168.1,149.67668
187,174.2,140.89705
188,175.0,151.26741
189,116.5,106.909134
190,0.0,81.22773
191,102.4,89.554726
192,0.0,2.2512312
193,0.0,63.309982
194,81.4,74.58145
195,134.8,128.05986
196,0.0,3.797837
197,0.0,2.9731426
198,101.6,78.32844
199,157.9,148.38078
200,0.0,3.9499621
201,0.0,0.38631728
202,0.0,1.0755929
203,0.0,1.8070393
204,0.0,2.0025094
205,0.0,3.2034883
206,88.7,16.429543
207,0.0,12.031865
208,160.0,164.48253
209,0.0,0.79603827
210,0.0,0.49951842
211,0.0,9.041264
212,0.0,1.44669
213,105.4,112.80494
214,102.0,124.88395
215,0.0,5.3604083
216,0.0,73.76814
217,161.6,108.116264
218,0.0,1.6834879
219,0.0,0.26106596
220,0.0,0.32771075
221,0.0,8.451366
222,0.0,0.7701931
223,59.1,98.444786
224,0.0,1.6464761
225,110.9,94.13586
226,0.0,27.491407
227,103.5,100.03789
228,0.0,2.7009172
229,0.0,2.4423692
230,0.0,2.2452796
231,0.0,0.798511
232,0.0,1.2088759
233,106.3,94.73535
234,0.0,1.1272802
235,0.0,2.1129236
236,141.5,128.99632
237,0.0,0.6435052
238,0.0,1.8011634
239,0.0,4.8173256
240,0.0,59.503914
241,89.8,81.52332
242,0.0,1.4773453
243,130.7,122.92349
244,133.8,69.86001
245,0.0,0.08714569
246,0.0,103.4362
247,88.9,78.378365
248,0.0,0.16317303
249,0.0,3.103327
250,0.0,8.160265
251,0.0,0.676608
252,0.0,3.110123
253,0.0,2.1965587
254,0.0,2.7423804
255,0.0,2.0022767
256,0.0,0.8846217
257,0.0,0.1500649
258,125.5,106.934166
259,0.0,1.0364937
260,0.0,0.3914941
261,0.0,3.5290225
262,149.7,145.04527
263,93.4,84.107346
264,0.0,5.1808105
265,0.0,0.31647348
266,0.0,0.121009044
