,Origin,Predict
0,0.0,46.27177
1,0.0,52.960712
2,337.0,431.86453
3,0.0,126.877426
4,0.0,70.49179
5,1438.0,1114.8922
6,0.0,91.428764
7,12647.0,13463.841
8,0.0,36.525063
9,0.0,287.40906
10,0.0,100.14664
11,0.0,8.483901
12,9172.0,7882.6006
13,285.0,264.17126
14,0.0,20.07467
15,9333.0,5694.0527
16,42.0,428.3841
17,9797.0,11301.649
18,0.0,133.63142
19,4695.0,6218.0537
20,4966.0,4736.3086
21,0.0,260.91348
22,91.0,209.54823
23,0.0,37.72615
24,0.0,27.845276
25,0.0,563.4356
26,0.0,13.815034
27,0.0,69.345726
28,0.0,14.259148
29,0.0,11.691689
30,0.0,20.508879
31,8580.0,8455.549
32,0.0,123.56022
33,601.0,993.25696
34,0.0,76.62877
35,262.0,466.25424
36,0.0,4.0602837
37,0.0,50.01737
38,10609.0,10832.687
39,0.0,261.0544
40,0.0,50.683228
41,17978.0,18281.924
42,0.0,30.823832
43,0.0,35.560078
44,0.0,41.512905
45,0.0,27.346796
46,0.0,74.530136
47,0.0,20.91919
48,0.0,67.05559
49,0.0,65.09524
50,755.0,603.56036
51,126.0,316.7256
52,0.0,42.563282
53,4258.0,3643.8267
54,0.0,91.126175
55,0.0,20.784468
56,0.0,28.03384
57,0.0,1.7231361
58,62.0,46.13329
59,0.0,62.255333
60,3316.0,2005.2877
61,0.0,77.213295
62,0.0,717.5451
63,10050.0,10360.666
64,0.0,2.1351798
65,0.0,25.948908
66,6581.0,5546.929
67,0.0,27.22695
68,0.0,26.655241
69,0.0,744.7846
70,6163.0,7004.3433
71,3551.0,3867.0845
72,0.0,84.67843
73,0.0,58.275238
74,0.0,36.556873
75,0.0,35.1072
76,2265.0,2431.5815
77,0.0,59.889286
78,0.0,149.68422
79,0.0,8.814739
80,15578.0,14490.861
81,110.0,628.0654
82,0.0,50.46184
83,0.0,28.846191
84,0.0,81.94666
85,0.0,15.858351
86,13.0,11.571253
87,0.0,20.479555
88,0.0,27.798462
89,0.0,57.58849
90,0.0,32.966953
91,0.0,33.524605
92,0.0,69.87562
93,0.0,77.37972
94,8116.0,7119.985
95,0.0,130.44139
96,0.0,2.9125507
97,1090.0,2059.2893
98,1712.0,1886.1957
99,0.0,95.826096
100,384.0,666.9353
101,0.0,69.12695
102,0.0,21.669624
103,2397.0,2614.8528
104,0.0,8.794241
105,0.0,6.291184
106,9648.0,13518.04
107,14180.0,13017.102
108,0.0,52.61706
109,29.0,99.354294
110,3934.0,2844.8975
111,0.0,56.38551
112,0.0,8.188173
113,17540.0,16521.941
114,12511.0,11179.354
115,0.0,9.024226
116,0.0,57.56946
117,0.0,103.4991
118,3805.0,2553.34
119,0.0,64.9275
120,76.0,441.03238
121,0.0,106.7261
122,7438.0,7146.317
123,21304.0,18244.768
124,0.0,45.147873
125,0.0,120.19468
126,0.0,221.83215
127,0.0,56.037834
128,20764.0,13725.111
129,0.0,36.550106
130,0.0,20.394491
131,0.0,30.442387
132,0.0,22.771654
133,0.0,28.936192
134,0.0,17.171633
135,0.0,57.310417
136,26049.0,18781.838
137,9503.0,11482.435
138,0.0,123.32769
139,680.0,345.21155
140,0.0,82.17223
141,5133.0,5762.0186
142,0.0,9.929813
143,2027.0,2103.9797
144,0.0,20.361996
145,0.0,161.30069
146,0.0,810.2266
147,0.0,26.790453
148,0.0,69.836716
149,11577.0,8825.582
150,37.0,456.36865
151,0.0,99.89926
152,0.0,0.3394685
153,0.0,1.1704537
154,118.0,133.3372
155,4345.0,3661.8303
156,0.0,302.69626
157,0.0,37.765903
158,0.0,67.18593
159,0.0,126.09025
160,0.0,114.339554
161,0.0,146.9626
162,0.0,561.9194
163,0.0,7.5520954
164,0.0,35.817455
165,0.0,42.333626
166,0.0,9.830529
167,0.0,79.26972
168,0.0,38.61431
169,13357.0,9740.565
170,14045.0,6986.129
171,8866.0,4603.6704
172,0.0,141.4617
173,9928.0,9187.023
174,0.0,338.77594
175,0.0,161.7887
176,0.0,818.2597
177,17919.0,14505.763
178,0.0,46.17837
179,14789.0,9391.125
180,5021.0,3328.7063
181,0.0,161.82933
182,0.0,159.46594
183,0.0,63.237873
184,54.0,40.640923
185,0.0,59.484825
186,0.0,45.995987
187,0.0,55.33758
188,0.0,6.604434
189,0.0,50.373867
190,0.0,72.73047
191,713.0,982.9305
192,0.0,16.348232
193,0.0,23.87509
194,0.0,85.02388
195,12848.0,10233.532
196,0.0,11.778484
197,422.0,730.93805
198,0.0,49.379917
199,0.0,53.589535
200,0.0,30.09298
201,2209.0,3435.1562
202,0.0,84.89027
203,8318.0,868.8459
204,0.0,74.47139
205,10701.0,10208.064
206,0.0,38.512707
207,1937.0,735.6871
208,13765.0,13865.435
209,0.0,31.335943
210,0.0,144.1767
211,0.0,26.78473
212,0.0,8.325445
213,2544.0,6381.4077
214,18637.0,20567.295
215,1880.0,1304.0845
216,0.0,153.93678
217,0.0,34.105076
218,468.0,64.55586
219,0.0,51.817265
220,0.0,23.65537
221,1320.0,769.3123
222,0.0,38.153984
223,1014.0,534.854
224,0.0,779.9188
225,0.0,302.56897
226,0.0,6.7359195
227,0.0,30.074705
228,0.0,53.003506
229,10617.0,12412.837
230,0.0,59.825928
231,6389.0,2999.9062
232,2408.0,1928.4395
233,21233.0,21206.97
234,0.0,432.93588
235,12036.0,8046.2056
236,0.0,35.81566
237,185.0,266.99887
238,0.0,8.803133
239,0.0,488.33368
240,0.0,632.09033
241,0.0,39.6404
242,15502.0,10258.777
243,1135.0,1472.0521
244,0.0,124.84336
245,0.0,1490.9282
246,0.0,54.87961
247,0.0,141.26794
248,0.0,2781.6848
249,0.0,6.780903
250,0.0,226.2907
251,0.0,3.212299
252,0.0,6.0825143
253,0.0,87.755974
254,0.0,27.59669
255,0.0,20.188242
256,0.0,0.21958877
257,0.0,1394.6792
258,0.0,60.484955
259,8025.0,9949.29
260,0.0,97.25998
261,776.0,143.75967
262,0.0,100.03451
263,0.0,59.148003
264,0.0,126.106155
265,0.0,95.03455
266,5848.0,6091.196
