,Origin,Predict
0,67.3,59.993713
1,80.1,74.088936
2,75.2,75.22545
3,65.0,72.30103
4,68.3,71.27264
5,68.8,74.95027
6,0.0,0.4112736
7,68.0,53.277294
8,73.8,60.48979
9,83.4,75.420815
10,77.9,66.78207
11,73.5,72.36428
12,75.9,92.56832
13,63.5,26.71145
14,69.8,70.243576
15,70.6,59.799816
16,72.6,62.962505
17,0.0,31.878153
18,0.0,15.1930685
19,61.8,49.89291
20,0.0,8.307296
21,68.9,59.699123
22,66.9,45.032257
23,64.8,72.05463
24,68.7,62.817554
25,67.2,57.682972
26,68.1,80.03299
27,0.0,18.758354
28,66.1,56.464527
29,72.8,43.781933
