,Origin,Predict
0,0.0,16.535006
1,46.0,2.4741156
2,33.0,28.029362
3,0.0,7.5240445
4,0.0,1.3056365
5,20.0,0.20807625
6,15.0,12.883422
7,0.0,28.383984
8,0.0,0.19906732
9,0.0,0.35467488
10,0.0,1.38362
11,0.0,7.9667
12,0.0,7.930275
13,0.0,0.42370456
14,0.0,0.6475732
15,38.0,0.5126134
16,45.0,9.57002
17,0.0,11.338996
18,0.0,0.8420434
19,25.0,11.164608
20,0.0,0.07297243
21,0.0,3.5334175
22,15.0,40.85114
23,0.0,0.78627276
24,0.0,7.852455
25,40.0,13.806151
26,0.0,0.082936496
27,12.0,1.196682
28,0.0,2.4268475
29,0.0,0.5419146
30,15.0,32.6977
31,0.0,10.243993
32,0.0,8.222326
33,0.0,0.13825154
34,15.0,3.423197
35,0.0,0.08060222
36,32.0,13.776622
37,0.0,3.2862463
38,0.0,0.32017905
39,0.0,0.2719449
40,0.0,0.92952025
41,0.0,0.094535485
42,0.0,0.14212295
43,0.0,0.22609152
44,0.0,6.338922
45,0.0,10.104422
46,0.0,1.440019
47,0.0,0.37810266
48,24.0,38.87319
49,0.0,0.17359383
50,0.0,1.6993667
51,0.0,0.05240972
52,0.0,0.56565696
53,0.0,8.678958
54,0.0,0.28087762
55,0.0,6.900972
56,0.0,12.619027
57,30.0,37.780167
58,0.0,0.5022007
59,0.0,4.005539
60,0.0,11.38269
61,12.0,12.958749
62,0.0,0.33808395
63,0.0,0.9404927
64,0.0,0.11793057
65,0.0,0.12806983
66,0.0,0.16929273
67,0.0,0.62982553
68,0.0,25.025719
69,0.0,18.053095
70,0.0,0.1952851
71,35.0,25.839895
72,0.0,2.7940245
73,0.0,0.3953819
74,0.0,0.41498056
75,0.0,0.048700035
76,0.0,0.48287398
77,0.0,0.10908078
78,0.0,0.3053925
79,0.0,5.9187045
80,0.0,0.5560343
81,0.0,1.1943376
82,0.0,11.980076
83,0.0,0.6257954
84,0.0,0.4886315
85,0.0,0.17756847
86,10.0,1.7915275
87,0.0,0.015504323
88,0.0,3.6290946
89,0.0,1.4879829
90,0.0,0.59772944
91,15.0,6.0677695
92,15.0,27.828896
93,0.0,0.2770575
94,0.0,2.9715323
95,35.0,0.9426828
96,0.0,8.206659
97,0.0,0.65311164
98,23.0,0.16488881
99,0.0,0.0394208
100,20.0,1.0615784
101,10.0,6.032732
102,0.0,3.2118
103,0.0,1.0724274
104,0.0,0.2800171
105,0.0,1.2210442
106,0.0,0.04478764
107,15.0,23.190445
108,0.0,32.20623
109,0.0,0.15238184
110,0.0,0.5970337
111,34.0,30.798746
112,0.0,0.1297657
113,22.0,4.9871063
114,0.0,0.026496472
115,0.0,14.217214
116,0.0,0.024386575
117,0.0,0.4520285
118,40.0,31.062855
119,0.0,0.12545794
120,18.0,7.501808
121,0.0,2.518269
122,0.0,2.619681
123,0.0,0.547629
124,0.0,1.6096926
125,0.0,0.50612235
126,0.0,0.3031509
127,20.0,13.030409
128,0.0,0.24580719
129,0.0,1.8375566
130,0.0,0.62021464
131,18.0,40.65688
132,0.0,0.27453008
133,0.0,0.6633662
134,0.0,1.6321899
135,0.0,5.213802
136,0.0,0.09735966
137,0.0,2.0150578
138,0.0,2.3223445
139,0.0,0.12918435
140,0.0,0.49141312
141,0.0,0.19318575
142,0.0,0.77545494
143,0.0,3.3814936
144,0.0,0.29210413
145,0.0,0.18143177
146,0.0,2.0547194
147,0.0,0.35878608
148,0.0,0.20509887
149,0.0,1.283629
150,0.0,0.709755
151,0.0,0.04218752
152,18.0,8.301263
153,0.0,0.17213483
154,0.0,9.543377
155,0.0,1.605469
156,0.0,11.146607
157,10.0,4.809549
158,0.0,0.7933277
159,0.0,0.6684831
160,25.0,15.968532
161,0.0,4.9022536
162,0.0,0.547804
163,0.0,3.3201199
164,0.0,17.946922
165,0.0,3.912982
166,28.6,10.13236
167,0.0,9.37177
168,0.0,0.658796
169,8.0,0.93643016
170,0.0,0.5890579
171,0.0,0.056529127
172,0.0,11.563688
173,0.0,0.038942665
174,0.0,6.321436
175,0.0,0.3890621
176,0.0,0.40503335
177,9.0,4.921129
