,Origin,Predict
0,0.0,11.653228
1,0.0,4.2534375
2,0.0,1.3872164
3,25.0,27.077003
4,0.0,0.19725813
5,0.0,3.4741704
6,0.0,0.13598697
7,0.0,1.2756017
8,0.0,2.3897884
9,0.0,5.403555
10,17.0,1.6109678
11,0.0,7.6864886
12,18.7,24.737612
13,0.0,0.9010507
14,0.0,45.593803
15,32.8,34.625896
16,18.0,1.6474217
17,0.0,2.416382
18,0.0,7.381379
19,45.0,27.222097
20,0.0,8.396271
21,0.0,0.93962824
22,0.0,10.784748
23,10.0,42.774406
24,0.0,0.062235948
25,29.0,22.332436
26,0.0,0.41199896
27,0.0,0.22133934
28,11.0,23.187592
29,0.0,44.973763
30,35.5,16.152401
31,0.0,35.110428
32,13.5,11.844796
33,0.0,0.14465989
34,8.0,26.893303
35,20.4,15.361214
36,0.0,0.30350202
37,11.0,13.7958555
38,0.0,0.20663023
39,0.0,5.3529058
40,0.0,3.6690717
41,29.5,12.615871
42,21.7,15.0965605
43,0.0,0.42019987
44,15.0,1.9228835
45,0.0,0.3426369
46,35.0,2.0177655
47,20.0,7.5674515
48,0.0,0.89730966
49,0.0,1.038242
50,0.0,6.1331353
51,0.0,1.3440017
52,45.3,23.367361
53,0.0,0.82197136
54,0.0,5.016254
55,0.0,22.585693
56,20.0,9.043683
57,0.0,0.5735916
58,0.0,11.984395
59,0.0,0.8741936
60,16.8,4.9117646
61,0.0,1.1401974
62,33.0,38.90097
63,0.0,1.9237657
64,20.0,2.342509
65,15.0,13.257136
66,0.0,3.5940044
67,0.0,0.03543236
68,0.0,13.215032
69,0.0,3.5554569
70,0.0,0.015395571
71,15.0,45.21014
72,10.9,1.1338468
73,10.0,33.12319
74,50.0,22.18502
75,0.0,1.0436176
76,31.0,34.726517
77,10.0,11.834931
78,15.1,2.1848044
79,10.0,12.811243
80,0.0,5.7520313
81,0.0,6.977965
82,13.0,0.16986646
83,31.3,10.534776
84,20.0,11.338186
85,43.6,7.4401245
86,27.0,9.456602
87,23.9,5.180691
88,0.0,18.914646
89,8.0,0.039167013
90,0.0,26.15727
91,35.0,2.7860703
92,0.0,1.4471759
93,8.0,11.142703
94,0.0,43.78587
95,18.7,7.3106527
96,15.0,23.604595
97,0.0,0.42784044
98,0.0,10.138692
99,0.0,2.8291876
100,12.0,0.56039315
101,20.0,23.261288
102,11.5,14.859724
103,0.0,24.089464
104,0.0,36.09772
105,0.0,0.07219413
106,0.0,1.4699192
107,17.8,31.520449
108,0.0,44.479088
109,6.0,1.8982874
110,0.0,0.34402388
111,18.0,8.839177
112,0.0,0.5228978
113,21.3,19.790483
114,0.0,10.251915
115,24.0,20.867311
116,30.0,5.9392443
117,0.0,0.710232
118,35.0,13.933536
119,0.0,1.9804531
120,24.4,21.523695
121,19.7,46.116707
122,35.0,34.818604
123,0.0,2.7154853
124,0.0,1.5430794
