,Origin,Predict
0,406.0,1024.4763
1,1511.0,1721.706
2,1080.0,780.9589
3,1086.0,733.4658
4,1956.0,1905.3698
5,802.0,1061.391
6,957.0,1247.321
7,1850.0,965.52893
8,1261.0,1311.4413
9,1217.0,1369.3804
10,0.0,135.74577
11,0.0,466.08212
12,2176.0,2038.445
13,1674.0,1154.5867
14,0.0,695.96356
15,706.0,1011.2813
16,1222.0,1215.0405
17,387.0,1999.8302
18,1192.0,1218.859
19,695.0,965.11194
20,2451.0,1659.2823
21,2417.0,1725.1932
22,2303.0,1780.8416
23,1173.0,856.39734
24,617.0,1126.8853
25,1505.0,632.74133
26,0.0,51.38655
27,1395.0,1923.1333
28,984.0,526.33453
29,969.0,795.02625
30,752.0,1273.9581
31,974.0,1318.2445
32,795.0,696.5065
33,1155.0,1235.4146
34,1328.0,1511.4701
35,0.0,27.98549
36,934.0,1319.6104
37,1498.0,1394.5477
38,1797.0,2184.875
39,1248.0,1782.2521
40,1452.0,1052.5516
41,1063.0,909.468
42,857.0,916.4072
43,1207.0,420.5089
44,1618.0,1768.0303
45,0.0,709.9681
46,995.0,555.2404
47,936.0,663.99023
48,1433.0,951.8867
49,2392.0,2839.9272
50,1242.0,1667.645
51,1780.0,1229.3545
52,1492.0,401.83698
53,231.0,1005.4312
54,0.0,214.8003
55,1118.0,1558.689
56,1061.0,1411.4286
57,2162.0,2277.3484
58,1232.0,1556.4532
59,932.0,2403.653
60,633.0,612.86444
61,623.0,1693.0844
62,1681.0,1383.1521
63,0.0,143.46161
64,0.0,1516.3822
65,1368.0,2698.2542
66,772.0,782.1232
67,1563.0,1678.2546
68,1385.0,1685.6038
69,1394.0,992.834
70,1647.0,1846.6771
71,1796.0,1160.1351
72,0.0,367.64944
73,2172.0,2008.7103
74,0.0,129.51868
75,2000.0,2469.002
76,1297.0,1278.8339
77,2321.0,1790.2955
78,1396.0,1026.4918
79,0.0,137.47615
80,2465.0,1310.4316
81,448.0,1084.5812
82,1124.0,1746.8502
83,1795.0,2069.0872
84,1230.0,946.42566
85,1568.0,809.38513
86,0.0,31.308134
87,920.0,589.3806
88,922.0,748.6253
89,1365.0,1663.5149
90,1057.0,632.06714
91,2105.0,1217.436
92,1021.0,876.7284
93,1235.0,1468.2828
94,1299.0,712.5843
95,993.0,943.3393
96,743.0,809.46136
97,0.0,595.19794
98,0.0,6.3285155
99,2247.0,1541.238
100,0.0,47.54744
101,1011.0,1190.5732
102,1315.0,1391.1246
103,0.0,28.150045
104,1482.0,1830.459
105,1331.0,1731.8838
106,1095.0,1638.7667
107,713.0,1060.7827
108,1624.0,1154.9647
109,1191.0,1725.8988
110,1619.0,1095.6019
111,1812.0,2358.8418
112,1315.0,1260.821
113,1143.0,1757.4321
114,1534.0,1158.2911
115,0.0,124.87662
116,1468.0,1136.2089
117,1271.0,1461.566
118,1285.0,1635.5321
119,1092.0,1530.728
120,1357.0,1447.3262
121,995.0,851.17584
122,2112.0,2613.6248
123,2175.0,1955.5608
124,566.0,881.69977
125,1042.0,1469.5898
126,1091.0,2010.2689
127,1750.0,1719.5223
128,1317.0,1083.3871
129,1072.0,1383.0781
130,1521.0,970.338
131,0.0,5.8022876
132,1224.0,406.28848
133,2370.0,1207.2753
134,0.0,96.93083
135,1369.0,2888.0286
136,0.0,449.027
137,0.0,1435.3412
138,1540.0,1663.0801
139,1242.0,1445.5745
140,1819.0,146.47548
141,1595.0,976.9813
142,1084.0,500.49905
143,1333.0,1434.0646
144,0.0,79.52325
145,1082.0,803.4294
146,1430.0,1009.24786
147,1949.0,1453.3113
148,2316.0,2623.9382
149,1458.0,1420.1497
150,1249.0,1349.5181
151,0.0,33.118908
152,1300.0,1445.8994
153,1477.0,1383.4874
154,1422.0,1373.8063
155,2019.0,1793.9221
156,1035.0,998.4206
157,1964.0,1200.9879
158,945.0,1276.8516
159,1284.0,763.5282
160,1546.0,1854.8472
161,1713.0,1699.4618
162,940.0,334.45013
163,0.0,225.36118
164,1195.0,1389.1324
165,1313.0,1760.3367
166,1619.0,1141.4879
167,931.0,828.84204
168,1263.0,1080.2949
169,751.0,1341.1364
170,0.0,67.61814
171,1698.0,1149.2042
172,1594.0,2059.2869
173,1462.0,1012.61835
174,0.0,9.973731
175,1168.0,1494.0532
176,1526.0,1854.9043
177,819.0,1077.1111
178,697.0,813.6178
179,1486.0,1041.8159
180,1718.0,1161.9852
181,2213.0,2306.965
182,0.0,861.72687
183,902.0,1852.2136
184,799.0,1326.558
185,637.0,1113.6484
186,1900.0,1742.5173
187,982.0,2167.7534
188,1172.0,1296.6565
189,824.0,1859.5413
190,1311.0,1318.098
191,777.0,909.9189
192,0.0,29.063557
193,863.0,1287.9635
194,0.0,57.74967
195,1483.0,1499.0527
196,1089.0,2525.133
197,1601.0,1002.4455
198,891.0,1310.9357
199,1935.0,2065.4065
200,1171.0,1516.4521
201,0.0,125.81902
202,1947.0,1766.1011
203,1107.0,1144.6788
204,1317.0,1148.8198
205,744.0,1138.6162
206,1711.0,1844.8828
207,1603.0,1510.6979
208,1299.0,1934.156
209,1827.0,1405.6392
210,882.0,1691.1364
211,0.0,95.99466
212,1943.0,1532.9554
213,1488.0,2541.2644
214,851.0,837.05194
215,1160.0,837.33356
216,1703.0,910.8102
217,2214.0,1816.8823
218,1635.0,2176.8267
219,1241.0,1528.6569
220,0.0,305.00793
221,742.0,774.93744
222,819.0,897.9425
223,1146.0,884.4603
224,1179.0,1611.3267
225,1279.0,1002.7614
226,1237.0,1426.7856
227,3886.0,1216.0028
228,1016.0,1379.0138
229,2272.0,1746.4225
230,1227.0,1335.9261
231,0.0,180.6181
232,1319.0,1008.7161
233,1761.0,2730.1453
234,878.0,579.32367
235,1191.0,1176.3262
236,1417.0,1640.765
237,1586.0,1372.9403
238,1263.0,1017.6228
239,1625.0,1235.5829
240,675.0,3081.5732
241,0.0,22.365213
242,1868.0,1410.2031
243,1211.0,1511.9473
244,570.0,2469.448
245,1568.0,1174.6996
246,1603.0,1326.5839
247,1466.0,1328.1489
248,1181.0,894.91766
249,0.0,399.63553
250,0.0,500.28723
251,0.0,15.620118
252,1081.0,787.0882
253,1147.0,714.97565
254,979.0,1210.095
255,896.0,944.84076
256,1434.0,1483.3708
257,1736.0,2133.286
258,1638.0,2292.387
259,1454.0,1077.804
260,1727.0,1441.4805
261,1775.0,1435.004
262,1468.0,1338.476
263,1213.0,1007.3799
264,0.0,61.338356
265,2169.0,1598.2698
266,0.0,180.88866
