,Origin,Predict
0,30.9,31.879679
1,31.3,30.38191
2,29.8,26.528654
3,35.0,45.804775
4,22.6,25.246601
5,0.0,14.869404
6,55.8,58.58826
7,0.0,3.7134364
8,28.6,23.99562
9,31.5,50.273243
10,61.1,69.07333
11,110.1,99.70714
12,0.0,5.2325044
13,39.7,41.359417
14,44.0,36.16311
15,33.8,30.858599
16,0.0,0.891677
17,49.0,49.101402
18,59.5,55.625317
19,97.1,101.70175
20,30.5,37.487366
21,42.5,47.991104
22,58.8,66.441696
23,31.4,36.39706
24,103.2,84.0478
25,41.0,46.213352
26,58.6,46.106556
27,67.7,53.74936
28,81.8,62.536938
29,55.6,65.63375
30,0.0,0.4027088
31,54.0,49.977055
32,20.9,25.09653
33,66.3,65.989914
34,134.1,215.22545
35,46.9,54.895634
36,120.4,111.62522
37,30.6,40.708187
38,76.4,109.85746
39,75.3,81.15339
40,65.6,84.27885
41,75.0,74.38862
42,26.3,34.527893
43,29.3,17.281895
44,80.0,75.984634
45,50.0,60.087753
46,136.1,159.83846
47,76.4,79.83385
48,16.8,15.3879595
49,26.2,24.261845
50,58.3,67.35773
51,74.6,67.40617
52,27.4,22.43639
53,28.7,48.223934
54,25.5,30.268305
55,43.5,48.939907
56,39.3,48.071964
57,33.7,44.53234
58,63.8,60.150475
59,46.9,35.48169
60,32.8,34.681477
61,36.5,40.639446
62,38.2,44.701256
63,41.8,47.39656
64,35.5,28.795307
65,0.0,4.0836363
66,42.8,49.569553
67,33.5,34.30722
68,0.0,0.9642273
69,0.0,2.9121716
70,0.0,14.296422
71,35.4,34.13094
72,36.6,35.149185
73,67.8,57.708714
74,91.4,118.0863
75,81.6,94.50852
76,0.0,13.138926
77,77.9,70.57083
78,31.4,36.146282
79,28.6,28.30047
80,0.0,16.690825
81,57.2,49.190815
82,46.5,43.748478
83,71.3,93.756226
84,41.2,37.98432
85,0.0,4.199108
86,44.8,54.126396
87,27.7,20.9338
88,81.6,94.02844
89,0.0,22.812033
90,59.0,40.01563
91,51.0,24.748283
92,71.1,67.94839
93,52.0,54.800343
94,21.6,33.382496
95,17.1,15.806784
96,28.4,27.300514
97,36.6,35.439297
98,61.1,59.844414
99,74.6,66.323456
100,0.0,0.7750636
101,46.2,45.03917
102,62.9,57.979263
103,62.0,82.673
104,77.3,69.673904
105,39.9,49.01103
106,57.8,62.199657
107,24.1,14.11388
108,77.4,72.87772
109,45.1,39.42601
110,0.0,2.8891466
111,60.7,53.20114
112,83.1,70.970184
113,0.0,3.0519156
114,77.1,60.103374
115,147.0,117.04283
116,36.4,42.741283
117,15.3,13.366655
118,65.8,61.09176
119,0.0,7.7956104
120,47.5,48.150455
121,14.5,18.906199
122,22.4,29.574177
123,26.2,33.54931
124,39.0,52.692455
125,0.0,4.876495
126,146.2,138.48236
127,47.6,55.79208
128,24.0,33.193058
129,27.1,28.636517
130,9.5,7.7687488
131,43.1,38.200558
132,0.0,7.064381
133,44.9,48.57127
134,24.0,19.984507
135,0.0,14.386511
136,31.6,31.527288
137,70.4,66.05937
138,0.0,7.2674665
139,46.2,39.483856
140,27.0,35.80132
141,92.7,94.25834
142,43.8,58.15037
143,73.2,70.57919
144,44.2,46.652164
145,40.9,47.178665
146,24.0,24.836975
147,39.6,51.400684
148,50.8,49.650635
149,57.0,51.181843
150,17.7,25.277172
151,74.8,71.464066
152,21.4,23.071001
153,33.9,30.462637
154,43.4,46.95584
155,77.5,60.658558
156,33.5,28.096754
157,78.9,56.559967
158,0.0,3.5843582
159,30.5,20.95596
160,38.6,29.772375
161,67.5,59.174183
162,62.3,71.23519
163,0.0,1.170668
164,27.5,31.78176
165,134.0,141.88406
166,0.0,6.1133647
167,47.1,50.247986
168,58.5,56.987335
169,37.5,50.160133
170,44.2,48.604893
171,47.1,41.75378
172,0.0,8.736019
173,85.0,91.39452
174,25.3,21.549812
175,0.0,18.619488
176,33.3,39.76147
177,116.5,92.890724
178,52.4,59.110626
179,69.4,95.223495
180,0.0,31.89788
181,37.7,35.168205
182,36.4,40.809242
183,26.0,27.542479
184,43.2,43.268993
185,30.5,32.428234
186,46.6,48.606853
187,63.7,70.52934
188,32.2,42.94103
189,16.2,15.670182
190,0.0,17.726677
191,21.9,21.450811
192,0.0,3.3636637
193,15.1,19.781284
194,34.9,45.804485
195,165.6,149.46202
196,15.6,16.929104
197,58.5,63.780415
198,50.7,48.03704
199,32.2,41.47404
200,50.4,48.57062
201,24.0,28.711973
202,0.0,8.375733
203,100.6,107.31373
204,46.4,32.907787
205,171.6,177.75827
206,72.1,89.68697
207,42.4,46.90576
208,0.0,2.0755515
209,28.0,38.19283
210,0.0,5.474737
211,38.7,50.279087
212,30.8,37.38151
213,24.4,20.953346
214,29.2,33.348125
215,25.9,23.577785
216,36.5,38.334873
217,64.7,69.54601
218,0.0,14.776486
219,32.9,36.19571
220,124.9,165.49796
221,59.2,60.37662
222,32.7,28.799906
223,16.4,9.748516
224,26.6,36.22654
225,0.0,0.28658026
226,33.5,30.37777
227,30.7,30.64625
228,40.5,38.73676
229,0.0,4.419966
230,75.1,83.0931
231,42.9,38.132877
232,90.4,101.38991
233,26.7,18.063284
234,0.0,30.228287
235,80.0,76.17612
236,0.0,23.093073
237,71.4,66.23288
238,29.0,36.20636
239,0.0,11.0470705
240,11.4,20.402208
241,0.0,1.5103065
242,59.5,41.81323
243,48.1,44.662575
244,49.4,51.513268
245,23.2,21.73731
246,38.3,42.100998
247,47.2,56.19005
248,0.0,10.433798
249,92.9,80.88731
250,39.0,39.673534
251,0.0,4.312989
252,45.0,46.32401
253,37.5,40.39388
254,58.6,69.24701
255,38.3,33.602978
256,71.3,72.73733
257,63.6,77.490486
258,41.0,47.919212
259,71.8,78.312065
260,29.5,30.253834
