,Origin,Predict
0,171.9,130.32175
1,94.9,94.58937
2,120.8,137.70125
3,120.0,106.07827
4,90.4,87.461555
5,105.2,96.10149
6,109.5,114.00178
7,129.9,140.98518
8,90.1,80.092674
9,102.6,109.78716
10,139.9,131.53758
11,122.9,97.9018
12,115.8,68.246086
13,0.0,28.1969
14,96.0,97.02413
15,0.0,9.182069
16,130.6,46.567688
17,127.5,120.487785
18,110.3,113.5258
19,76.3,69.2496
20,104.3,106.40216
21,111.3,99.49053
22,0.0,2.6292648
23,89.0,75.60952
24,0.0,100.29525
25,84.4,86.81914
26,89.8,77.92097
27,96.4,104.56858
28,101.7,122.13625
29,91.0,105.628105
30,118.3,141.57288
31,113.0,141.5094
32,99.8,99.37328
33,0.0,78.82552
34,106.0,94.93873
35,107.2,102.1214
36,0.0,36.24395
37,120.7,122.424484
38,96.0,96.56325
39,100.2,87.17902
40,110.3,100.44205
41,100.6,128.69157
42,96.3,102.246315
43,117.4,106.19326
44,0.0,0.23179384
45,96.8,86.94382
46,98.8,116.34171
47,89.0,89.063805
48,115.4,119.57072
49,126.2,73.43516
50,85.0,82.53737
51,96.0,118.52096
52,141.5,86.66258
53,96.0,117.65072
54,116.5,115.45966
55,0.0,75.724625
56,111.6,87.84494
57,108.5,128.88962
58,0.0,6.1097174
59,101.3,96.2343
60,137.6,112.29584
61,100.7,97.65153
62,86.0,87.462105
63,91.2,29.427519
64,86.2,117.55864
65,102.0,96.11426
66,113.2,98.64487
67,93.2,74.0288
68,119.3,124.03134
69,139.8,70.1507
70,86.1,80.40643
71,92.5,97.431274
72,121.7,45.21468
73,129.8,89.68764
74,143.0,132.67198
75,103.9,95.384445
76,113.3,131.90512
77,116.3,122.173996
78,126.4,124.19404
79,128.3,127.57761
80,104.0,117.12674
81,124.7,71.79788
82,0.0,1.2569606
83,0.0,78.73122
84,0.0,67.80885
85,0.0,10.856101
86,0.0,9.124646
87,98.6,106.92846
88,119.8,121.7113
89,97.9,117.93876
90,117.5,119.72093
91,92.8,103.91977
92,106.1,110.833206
93,136.0,124.64179
94,114.6,91.0396
95,94.7,112.41085
96,117.8,103.100006
97,98.9,99.21069
98,139.8,89.26394
99,114.2,128.24913
100,88.9,99.211334
101,86.0,96.920815
102,111.6,92.3929
103,76.5,69.458824
104,113.3,88.45947
105,76.1,81.15593
106,98.6,142.6012
107,110.5,120.094734
108,89.0,83.344246
109,96.0,102.111565
110,115.0,118.74351
111,101.5,121.726654
112,0.0,9.352036
113,86.0,48.487354
114,116.9,114.22834
115,90.1,103.13384
116,100.8,89.63391
117,0.0,27.710316
118,109.2,126.05774
119,0.0,65.02574
120,86.0,129.12917
121,128.9,129.5632
122,125.0,92.103546
123,0.0,2.6919644
124,138.1,123.278076
125,125.4,125.653
126,105.7,150.96771
127,104.3,112.36302
128,79.4,84.8377
129,163.8,132.98824
130,0.0,28.973637
131,132.9,148.2354
132,0.0,2.939382
133,99.4,98.7458
134,121.8,71.96139
135,100.7,119.90841
136,85.7,116.405136
137,124.1,140.21529
138,130.0,112.17514
139,76.0,98.45189
140,76.0,89.73447
141,113.1,85.276634
142,98.7,94.69752
143,79.1,82.33009
144,96.0,116.52293
145,0.0,0.809241
146,0.0,2.3425171
147,96.0,112.40067
148,123.3,138.36514
149,131.5,124.51532
150,0.0,4.7084885
151,96.0,93.4525
152,122.6,98.68023
153,100.0,113.47024
154,0.0,3.0796895
155,127.4,90.96015
156,83.6,86.35841
157,113.2,98.55549
158,106.0,98.24961
159,97.0,102.126175
160,102.9,105.1566
161,86.0,108.493126
162,121.7,128.654
163,86.0,116.69551
164,119.6,114.63416
165,120.9,135.10149
166,86.0,96.20303
167,97.4,75.23062
168,76.0,54.35778
169,98.0,128.43832
170,112.7,92.11054
171,116.1,123.76985
172,80.4,99.92818
173,0.0,2.8022296
174,127.5,123.94149
175,109.9,130.11086
