,Origin,Predict
0,0.0,2.7850616
1,0.0,32.731438
2,0.0,39.007206
3,55.9,51.873714
4,67.9,68.584045
5,52.5,54.31633
6,69.4,73.83506
7,60.0,58.360516
8,48.7,46.07743
9,47.9,41.910137
10,0.0,1.0046766
11,0.0,29.886763
12,0.0,1.921252
13,55.4,50.26589
14,34.9,29.735655
15,47.6,52.847717
16,65.1,61.14683
17,50.7,49.999687
18,51.7,56.710186
19,52.7,55.496826
20,78.7,80.216125
21,0.0,4.177916
22,0.0,0.56369025
23,56.3,55.298004
24,0.0,8.498287
25,60.6,61.106598
26,0.0,120.27128
27,0.0,1.0641186
28,74.0,71.33043
29,47.7,49.226875
30,52.4,50.76679
31,54.9,47.343708
32,56.5,56.10273
33,51.2,50.28924
34,60.8,54.826527
35,45.4,41.056915
36,50.0,50.78194
37,53.6,62.055958
38,0.0,20.782099
39,45.9,44.341774
40,55.4,56.52888
41,50.9,57.6024
42,57.8,49.50592
43,52.7,61.119957
44,39.4,40.0133
45,0.0,2.6938677
46,72.8,64.29983
47,57.6,60.750824
48,0.0,7.7691383
49,68.7,63.798244
50,61.6,60.068375
51,65.7,76.73195
52,0.0,7.4277472
53,47.7,43.571682
54,50.2,59.01365
55,44.5,46.664097
56,0.0,0.1460427
57,49.9,51.82861
58,57.9,52.653812
59,48.4,43.408077
60,53.9,45.558853
61,42.9,45.12997
62,68.1,57.851097
63,55.2,53.522938
64,0.0,0.40777206
65,58.3,54.200325
66,61.9,58.37676
67,61.2,56.175358
68,50.4,52.49807
69,56.8,60.69139
70,61.0,45.613754
71,62.5,60.17453
72,71.2,72.260185
73,40.5,42.827793
74,0.0,0.7485458
75,63.2,59.002495
76,73.1,63.87828
77,0.0,1.1671015
78,52.8,48.066772
79,0.0,5.269208
80,41.5,39.018826
81,51.4,60.063705
82,56.4,59.591244
83,0.0,75.004715
84,67.6,52.781776
85,53.9,50.497353
86,66.0,70.037094
87,37.6,27.10113
88,50.0,49.065598
89,62.8,66.06199
90,51.8,52.587837
91,37.3,43.21696
92,0.0,41.43909
93,43.1,46.32094
94,53.3,43.571434
95,44.9,45.85234
96,48.7,45.362858
97,49.1,48.62437
98,44.1,44.44064
99,51.2,40.579567
100,43.8,44.420082
101,55.3,49.83897
102,66.1,64.76128
103,54.2,53.888622
104,58.0,52.964767
105,46.6,47.175724
106,65.4,69.948875
107,59.0,61.04135
108,61.1,55.49138
109,55.0,56.67463
110,49.7,51.644203
111,63.3,58.042713
112,56.3,60.26115
113,55.6,58.8663
114,0.0,21.439991
115,0.0,1.468047
116,55.3,56.805935
117,70.6,72.09948
118,54.9,62.583973
119,66.4,68.46754
120,54.2,54.8664
121,39.1,40.32629
122,48.3,48.04822
123,80.0,77.5878
124,73.2,56.425552
125,57.2,66.343895
126,64.0,43.284206
127,49.8,0.5782426
128,59.6,54.428677
129,63.5,59.789776
130,64.4,67.75217
131,46.3,51.20209
132,51.1,55.32233
133,69.3,64.32031
134,55.5,49.614483
135,58.1,57.997173
136,61.1,57.936398
137,61.9,65.38643
138,57.4,62.551514
139,46.7,46.3609
140,50.4,52.528152
141,43.8,43.097805
142,39.4,33.319973
143,68.8,72.725525
144,54.9,41.932774
145,62.7,58.9736
146,103.7,111.93978
147,50.3,50.81501
148,0.0,1.3646736
149,54.6,51.325527
150,0.0,0.24252273
151,60.7,60.946182
152,105.8,112.34228
153,0.0,4.7739434
154,34.9,41.264614
155,62.6,63.708805
156,0.0,22.649612
157,0.0,2.1358984
158,0.0,26.021658
159,54.7,57.426495
160,45.3,40.338955
161,57.7,58.26623
162,56.7,57.438828
163,57.8,58.562935
164,0.0,0.459845
165,47.2,46.989456
166,38.7,43.50034
167,57.2,52.364746
168,56.2,51.707794
169,63.9,68.33782
170,46.7,48.6149
171,49.5,47.163643
172,0.0,53.05315
173,48.7,51.291065
174,38.2,43.70864
175,45.6,44.097256
176,0.0,23.290264
177,40.7,42.547676
178,57.2,66.300804
179,0.0,33.23059
180,0.0,32.045925
181,0.0,23.352705
182,41.1,50.40534
183,50.7,46.056705
184,44.4,45.03111
185,57.5,49.893288
186,57.7,26.445818
187,49.1,57.08044
188,0.0,1.2613364
189,83.0,67.70202
190,0.0,1.4162772
191,56.7,55.02725
192,52.9,49.479176
193,56.4,49.657116
194,56.3,56.63383
