,Origin,Predict
0,0.0,6.597912
1,70.0,80.80487
2,0.0,12.426486
3,0.0,5.1337194
4,0.0,8.293702
5,78.0,65.470245
6,27.3,28.431831
7,0.0,8.124042
8,98.1,105.62001
9,73.2,44.401787
10,0.0,1.4562124
11,77.0,82.762856
12,0.0,5.5097227
13,65.7,70.48052
14,0.0,4.3980675
15,15.6,19.92042
16,65.1,61.81792
17,0.0,8.13239
18,45.1,45.32102
19,31.7,31.696072
20,60.0,41.073338
21,0.0,4.035181
22,38.1,29.730204
23,0.0,7.484581
24,28.5,30.793053
25,0.0,5.4213123
26,14.7,19.657753
27,66.0,57.973103
28,0.0,7.429092
29,0.0,6.583902
30,25.1,5.682927
31,2.0,9.60922
32,0.0,2.5760627
33,0.0,7.525048
34,0.0,1.7997615
35,0.0,5.128308
36,0.0,6.833744
37,0.0,7.220412
38,0.0,5.0405087
39,23.0,56.46348
40,28.0,12.928129
41,0.0,6.6884375
42,0.0,6.274793
43,15.4,15.315655
44,0.0,8.616074
45,0.0,8.291919
46,0.0,6.590856
47,29.7,31.131243
48,0.0,16.36712
49,40.0,46.75553
50,23.6,25.21012
51,0.0,0.5874648
52,35.1,35.73559
53,41.7,39.169285
54,22.4,23.381098
55,0.0,5.965201
56,0.0,9.596041
57,0.0,0.627962
58,59.6,62.724133
59,73.9,61.78966
60,0.0,4.9526615
61,21.4,25.370155
62,20.0,31.02832
63,29.1,30.321955
64,0.0,29.401638
65,38.0,44.348167
66,52.4,45.499382
67,24.7,22.248735
68,37.0,26.383791
69,30.2,25.873272
70,0.0,49.40796
71,76.6,48.253223
72,32.6,50.894012
73,12.6,19.940125
74,43.2,42.55992
75,0.0,7.775238
76,0.0,0.74906784
77,0.0,2.534559
78,24.9,27.414385
79,69.2,60.46507
80,35.0,12.257687
81,0.0,11.680266
82,35.6,28.91764
83,15.0,34.136837
84,0.0,3.1996553
85,0.0,0.100292966
86,21.6,14.706606
87,0.0,1.3288292
88,110.0,51.72392
89,25.0,23.740103
90,0.0,9.667464
91,64.6,61.520527
92,52.0,49.7051
93,0.0,12.850168
94,47.0,18.854837
95,10.0,25.114477
96,39.4,36.473114
97,8.0,13.553132
98,32.8,27.910828
99,0.0,4.809204
100,19.6,17.844414
101,10.2,11.26543
102,52.8,60.346455
103,22.1,2.7363818
104,0.0,11.015061
105,50.0,30.751686
106,0.0,44.101234
107,38.0,32.657623
108,72.0,66.152336
109,0.0,6.44648
110,40.0,29.729828
111,0.0,2.0077043
112,0.0,10.890408
113,34.2,33.5949
114,81.6,74.64613
115,0.0,8.774213
116,0.0,4.065758
117,0.0,7.5013685
118,30.0,23.991644
119,0.0,0.16137972
120,0.0,18.394949
121,19.8,12.486692
122,0.0,2.832348
123,0.0,46.685284
124,0.0,3.2920315
125,0.0,1.762299
126,65.7,55.374306
127,26.7,16.387331
128,0.0,11.237913
129,0.0,8.641749
130,0.0,1.1898999
131,37.8,20.968863
132,41.1,26.121666
133,0.0,3.90547
134,0.0,0.83752054
135,0.0,29.37569
136,0.0,1.1294699
137,68.6,69.174644
138,37.0,36.105244
139,17.6,18.803688
140,0.0,2.0396192
141,14.3,18.944258
142,0.0,6.8931217
143,26.6,40.495026
144,20.9,16.760313
145,32.0,33.376034
146,31.0,30.988134
147,41.7,33.68227
148,12.2,19.026384
149,36.6,35.105366
150,0.0,9.307155
151,62.6,51.49618
152,0.0,8.791919
153,0.0,4.0380473
154,0.0,0.30448613
155,0.0,2.6870043
156,40.0,43.47845
157,19.4,25.69438
158,38.0,22.532804
159,0.0,2.5818272
160,0.0,5.681517
161,0.0,62.439953
162,18.0,19.720192
163,0.0,0.085252404
164,41.0,46.39839
165,18.2,16.651718
166,76.0,44.700222
167,118.0,83.48602
168,55.0,47.495327
169,28.8,30.955505
170,27.3,15.570969
171,55.2,54.301975
172,0.0,5.6712475
173,30.6,33.390976
174,27.6,20.213253
175,60.0,10.962152
176,20.6,23.280298
177,0.0,48.06795
178,72.8,53.87989
179,65.0,24.56368
180,0.0,5.440441
181,10.1,8.261799
182,0.0,1.1408105
183,0.0,34.999485
184,0.0,2.5098763
185,15.0,31.289959
186,0.0,6.880436
187,0.0,10.163712
188,19.1,23.124584
189,25.0,23.256004
190,19.9,23.117556
191,22.4,21.833054
192,47.9,75.489204
193,4.0,9.874748
194,0.0,1.8065419
195,0.0,6.383238
196,0.0,1.5601397
197,0.0,1.2424475
198,0.0,5.2429795
199,0.0,8.717524
200,34.3,30.434204
201,38.4,32.68334
202,32.5,30.871258
203,95.0,74.51831
204,97.5,90.10653
205,0.0,1.3883439
206,0.0,3.3587885
207,0.0,1.9535306
208,13.7,7.6025224
209,62.3,48.781612
210,0.0,6.343167
211,90.0,71.40366
212,81.1,84.76842
213,58.5,43.80924
214,13.1,21.319233
215,23.0,15.822274
216,28.7,37.445637
217,0.0,4.499927
218,52.3,39.137
219,47.5,44.506878
220,0.0,3.2803953
221,0.0,6.231044
222,0.0,2.7598836
223,0.0,2.275636
224,0.0,2.2994006
225,52.0,51.28613
226,0.0,4.602325
227,95.0,75.218216
228,23.1,26.702843
229,0.0,5.7333317
230,0.0,5.1099544
231,16.0,14.836366
232,16.5,19.403128
233,38.0,12.663402
234,60.0,33.280884
235,0.0,1.2591978
236,0.0,11.246031
237,17.2,12.739617
238,0.0,3.0312667
239,0.0,17.867434
240,25.4,23.281088
241,0.0,12.452515
242,0.0,2.3535688
243,30.6,28.68888
244,30.8,35.38551
245,62.0,63.644524
246,100.9,86.82072
247,14.8,16.033876
248,56.6,58.53638
249,18.7,14.923657
250,60.0,49.339687
251,0.0,5.280639
252,0.0,2.6274824
253,11.4,15.315312
254,0.0,1.3095444
255,0.0,3.5111918
256,0.0,2.9221528
257,42.7,45.576984
258,13.9,4.493731
259,0.0,3.4657207
260,0.0,4.385683
