,Origin,Predict
0,100.0,72.4784
1,80.0,94.84017
2,95.0,72.13051
3,80.0,73.50334
4,100.0,60.30016
5,78.3,70.960205
6,0.0,16.38701
7,90.0,86.80808
8,104.6,106.005135
9,90.0,82.38411
10,90.0,83.88893
11,90.0,76.92341
12,90.0,93.562256
13,0.0,4.352116
14,100.0,83.08372
15,100.0,93.9601
16,100.0,82.42917
17,100.0,43.015495
18,0.0,13.0838375
19,0.0,30.680542
20,0.0,22.069586
21,100.0,99.14431
22,130.0,99.148125
23,130.0,175.26195
24,350.0,235.28189
25,200.0,212.29996
26,163.0,94.607285
27,0.0,12.650635
28,179.5,170.13947
29,180.0,156.08493
