,Origin,Predict
0,0.0,12.270128
1,0.0,20.114254
2,0.0,11.273771
3,55.0,44.34944
4,0.0,2.3899584
5,0.0,9.635753
6,65.0,68.11908
7,70.0,68.07983
8,65.0,58.75294
9,55.0,53.051224
10,0.0,57.092075
11,65.0,66.87004
12,0.0,65.137024
13,65.0,70.20306
14,67.4,64.713554
15,65.0,51.42083
16,0.0,10.514438
17,0.0,5.4163036
18,74.3,64.484024
19,40.0,46.672966
20,59.1,12.328266
21,65.0,64.06348
22,65.0,64.095345
23,65.0,28.507315
24,65.0,65.63071
25,60.0,33.411636
26,65.0,67.95276
27,34.3,48.34101
28,65.0,64.65262
29,55.0,15.020004
30,62.8,63.288902
31,0.0,2.5999594
32,65.0,59.128345
33,65.0,52.43918
34,60.3,64.88515
35,57.3,51.085266
36,65.9,71.60418
37,0.0,2.7134678
38,65.0,2.1652732
39,60.0,61.259834
40,0.0,2.648016
41,65.0,56.081142
42,65.0,64.39521
43,60.0,35.507927
44,60.0,47.765553
45,65.0,53.859837
46,65.0,68.15013
47,60.0,57.28636
48,0.0,0.6648706
49,65.0,60.409904
50,60.0,64.761024
51,65.0,68.131676
52,60.0,3.530644
53,0.0,18.48384
54,65.0,57.164986
55,55.0,30.680912
56,48.6,45.303318
57,60.0,73.39537
58,60.0,64.99108
59,63.3,65.143486
60,45.0,64.775345
61,60.0,69.46207
62,0.0,9.468436
63,65.0,60.12069
64,65.0,67.5855
65,65.0,60.57245
66,0.0,70.81353
67,65.0,60.044685
68,85.7,65.912895
69,65.0,70.76157
70,61.5,62.34575
71,69.1,68.5511
72,0.0,13.52189
73,0.0,0.19055857
74,65.0,72.49884
75,0.0,17.045618
76,60.0,57.208954
77,60.0,62.80047
78,60.4,59.06804
79,65.0,62.379395
80,69.8,71.08683
81,76.5,62.331734
82,60.0,65.84512
83,66.9,58.64794
84,30.0,41.459465
85,65.0,61.486652
86,55.0,58.31394
87,55.0,24.503414
88,0.0,3.416397
89,65.0,58.35634
90,46.9,50.739754
91,65.0,62.056248
92,51.0,58.873714
93,65.0,9.3934965
94,65.0,63.58772
95,52.2,55.023098
96,30.0,3.6502805
97,0.0,4.083124
98,65.0,46.582333
99,65.0,41.060444
100,65.0,51.84939
101,70.0,70.67647
102,65.0,51.559006
103,65.0,61.045933
104,0.0,50.221577
105,65.0,9.154009
106,65.0,65.05367
107,65.0,64.73927
108,67.6,66.84946
109,0.0,1.7483078
110,55.0,23.27657
111,46.2,43.78935
112,65.0,62.435757
113,0.0,4.7803245
114,65.0,66.985306
115,0.0,9.179864
116,65.0,64.020874
117,65.0,71.919235
118,70.0,72.95921
119,61.7,33.756893
120,65.0,61.575146
121,126.0,67.37119
122,40.0,12.651333
123,0.0,65.77663
124,65.0,61.762474
125,65.0,66.07969
126,40.0,54.173428
127,0.0,26.630762
128,65.0,68.85039
129,66.8,71.982994
130,0.0,1.7384791
131,0.0,3.7027965
132,65.0,64.50163
133,58.3,46.97188
134,64.3,48.77557
135,60.0,18.812687
136,65.0,67.05358
137,0.0,46.670296
138,66.3,67.797585
139,65.0,65.57731
140,65.0,62.98905
141,60.0,20.52802
142,0.0,5.0015006
143,65.0,70.64695
144,65.0,76.56455
145,65.0,68.076584
146,65.0,60.836117
147,65.0,65.879265
148,0.0,1.6704489
149,47.7,50.75602
150,65.0,62.655895
151,0.0,1.9638841
152,60.0,52.836514
153,65.0,51.50382
154,65.0,63.319786
155,0.0,23.373457
156,0.0,12.409693
157,0.0,0.50238764
158,65.0,71.63784
159,58.9,66.89952
160,65.0,65.20818
161,0.0,24.840378
162,60.0,68.820564
163,60.0,60.067833
164,73.6,71.20326
165,80.9,57.06334
166,65.0,69.06026
167,66.3,64.405556
168,65.0,62.648525
169,0.0,33.53869
170,65.0,60.66802
171,65.0,20.454454
172,65.0,70.0411
173,55.0,50.289257
174,0.0,3.5132432
175,65.0,68.059456
176,60.0,61.04957
177,0.0,36.040333
178,60.0,21.442886
179,61.8,56.581795
180,0.0,4.363067
181,65.0,58.976482
182,0.0,1.3597093
183,65.0,0.44394237
184,65.0,67.90768
185,65.0,67.25993
186,65.0,68.6487
187,65.0,60.413445
188,67.0,0.10945209
189,50.0,53.910416
