,Origin,Predict
0,20.0,22.552176
1,20.0,17.538242
2,20.0,26.46083
3,30.0,25.775953
4,0.0,2.5198913
5,20.0,21.448679
6,25.0,22.72097
7,25.0,21.413202
8,20.0,24.380766
9,25.0,27.248592
10,25.0,24.020418
11,0.0,4.7686734
12,25.0,28.812893
13,25.0,24.830915
14,25.0,27.04575
15,25.0,26.229586
16,25.0,23.58301
17,0.0,8.749231
18,0.0,3.5394948
19,25.0,28.144712
20,25.0,22.023026
21,0.0,5.6486087
22,0.0,0.02004945
23,0.0,7.5910783
24,25.0,19.831026
25,0.0,5.7005215
26,25.0,19.74751
27,25.0,24.947868
28,25.0,27.691734
29,20.0,12.561652
