,Origin,Predict
0,75.0,80.78123
1,60.0,70.4865
2,0.0,4.549789
3,0.0,0.7141044
4,77.0,71.94003
5,75.0,57.20105
6,60.0,65.66892
7,50.0,47.45439
8,65.0,67.799484
9,60.0,12.398582
10,0.0,15.9860935
11,88.0,96.49952
12,0.0,0.1224495
13,80.0,71.23307
14,0.0,4.1143675
15,60.0,80.63448
16,130.0,83.55535
17,75.0,87.815056
18,60.0,53.05437
19,55.0,67.34618
20,83.7,78.586945
21,80.0,72.77846
22,60.0,59.91388
23,58.0,41.951847
24,58.0,71.235245
25,66.0,53.035213
26,65.0,81.778175
27,68.3,65.700325
28,75.0,77.42541
29,81.3,81.28497
30,59.0,55.18497
31,55.0,46.252956
32,0.0,1.2248616
33,66.0,71.46538
34,0.0,11.518237
35,65.0,75.801025
36,83.0,72.31503
37,80.0,86.19709
38,0.0,0.044928797
39,74.8,47.715553
40,65.0,81.11685
41,0.0,2.0603378
42,0.0,3.6312928
43,65.0,58.674202
44,60.0,51.615932
45,0.0,0.12248651
46,67.7,67.00581
47,0.0,97.919525
48,80.0,82.83465
49,0.0,60.30235
50,75.0,84.998955
51,75.0,72.81053
52,75.0,79.304565
53,85.0,80.94374
54,0.0,0.6808528
55,65.0,7.250033
56,50.9,52.68152
57,80.0,58.40896
58,75.6,65.96584
59,75.0,73.079666
60,60.0,66.342125
61,66.0,73.27973
62,60.0,59.85732
63,75.0,77.76586
64,76.1,71.05746
65,71.0,62.937252
66,53.8,47.584763
67,50.0,25.792492
68,0.0,1.0152009
69,80.0,78.79878
70,60.0,75.10976
71,70.0,74.19736
72,58.0,79.39945
73,87.3,57.51361
74,80.0,84.03502
75,80.0,96.983475
76,75.0,77.779236
77,70.1,74.450516
78,0.0,0.3707091
79,62.1,76.16117
80,58.0,66.42331
81,56.5,19.95488
82,78.0,72.87179
83,66.0,63.563366
84,75.0,76.546745
85,58.0,50.132637
86,0.0,2.5292833
87,50.0,62.245575
88,68.6,60.651356
89,75.0,88.14691
90,66.0,60.39251
91,58.0,63.249825
92,0.0,70.388824
93,80.0,80.21672
94,58.0,51.62142
95,65.0,84.951004
96,65.0,68.69482
97,60.0,74.58887
98,85.6,65.87055
99,53.0,47.979015
100,95.0,69.36921
101,66.0,72.40506
102,75.0,82.781494
103,0.0,33.57423
104,60.0,50.362694
105,98.7,5.0262523
106,75.0,76.61651
107,75.0,76.410095
108,80.0,87.744286
109,60.0,38.82836
110,83.0,88.93836
111,66.0,63.436264
112,90.0,86.90738
113,66.0,70.29811
114,53.5,54.981968
115,51.8,44.91631
116,78.6,71.09487
117,65.0,48.063457
118,60.0,69.3648
119,66.0,79.85258
120,128.0,80.64786
121,75.0,76.979416
122,79.2,69.52755
123,0.0,0.70869416
124,60.0,62.133575
125,0.0,63.560314
126,58.0,45.152718
127,58.0,72.90105
128,75.0,61.416523
129,58.0,56.42609
130,58.0,73.13576
131,45.9,55.78901
132,69.3,56.070095
133,70.0,53.614388
134,50.0,51.681393
135,60.0,67.01978
136,80.0,78.84053
137,60.0,61.842686
138,65.0,59.78442
139,57.6,37.472515
140,60.0,75.25912
141,80.0,71.87659
142,0.0,0.48927
143,90.0,93.950485
144,75.0,76.47644
145,0.0,1.6978284
146,60.0,71.61455
147,59.7,62.927467
148,60.0,54.414074
149,88.0,92.503525
150,0.0,1.9533241
151,80.0,75.44293
152,0.0,1.412218
153,80.0,83.22722
154,60.0,62.036324
155,75.0,63.931107
156,76.5,74.900986
157,60.0,67.308846
158,75.0,69.90109
159,64.6,63.476627
160,84.3,81.69165
161,90.1,46.30142
162,58.0,56.367706
163,60.0,59.40553
164,66.0,72.668304
165,94.2,97.5029
166,81.0,93.64297
167,75.0,62.185394
168,75.0,88.06698
169,0.0,0.24409644
170,61.5,32.928772
171,66.0,42.27304
172,60.0,86.869896
173,67.0,50.76821
174,65.0,75.40606
175,79.6,61.33822
176,75.0,80.00424
177,0.0,1.8216616
178,0.0,1.1018598
179,90.0,87.01999
180,58.0,44.06145
181,76.8,66.68828
182,66.0,52.537983
183,70.0,81.56163
184,62.6,56.275948
185,60.0,56.447456
186,0.0,0.6855005
187,90.0,98.6292
188,90.0,87.77258
189,120.0,60.908833
190,60.0,75.10488
191,60.0,58.909092
192,71.0,69.57572
193,0.0,0.7875837
194,62.1,53.010395
195,85.0,93.53182
196,96.0,71.84484
197,0.0,18.421686
198,68.0,73.73964
199,58.0,58.264027
200,59.8,50.53375
201,65.0,70.455734
202,71.6,78.37199
203,0.0,0.040841386
204,73.7,61.37592
205,60.0,77.30746
206,80.0,73.37206
207,60.0,46.255196
208,85.0,78.97333
209,0.0,1.9876685
210,0.0,1.8925924
211,53.0,56.58493
212,60.0,66.78165
213,85.0,80.98037
214,58.0,53.10599
215,65.0,65.42897
216,62.7,91.62709
217,0.0,28.210178
218,130.0,57.738987
219,63.0,50.194675
220,58.0,56.353165
221,0.0,62.69443
222,75.0,76.49435
223,70.0,60.307484
224,85.0,73.31319
225,58.0,70.57066
226,90.0,68.79687
227,0.0,1.428816
228,66.0,48.548138
229,75.0,68.05554
230,80.0,87.17315
231,75.0,89.813225
232,0.0,0.33920655
233,81.2,89.11489
234,75.0,72.22697
235,59.3,44.36001
236,55.8,23.012877
237,80.0,79.7168
238,70.0,70.042404
239,80.0,86.83683
240,75.0,66.546234
241,92.3,60.087257
242,85.0,94.58799
243,65.0,79.8348
244,67.1,76.57032
245,100.0,74.67866
246,67.3,63.695118
247,59.8,42.856377
248,75.0,65.53774
249,0.0,0.13548286
250,0.0,16.081976
251,65.0,67.48838
252,0.0,0.24784368
253,0.0,36.593067
254,60.0,99.268936
255,81.0,75.53809
256,70.0,0.17220801
257,60.0,60.751934
258,95.0,17.327953
