,Origin,Predict
0,84.0,106.379005
1,48.0,91.59707
2,66.0,36.63861
3,99.0,112.99228
4,0.0,1.6193581
5,0.0,15.86326
6,72.0,88.83885
7,193.0,229.44736
8,78.0,87.18247
9,39.0,28.90333
10,81.0,112.56778
11,220.0,471.23196
12,81.0,74.18692
13,42.0,57.1222
14,186.0,239.50278
15,72.0,84.60857
16,0.0,6.0876584
17,0.0,14.344658
18,96.0,144.93013
19,0.0,9.716982
20,87.0,47.991325
21,102.0,190.01642
22,143.0,46.872185
23,105.0,53.867546
24,63.0,82.99887
25,166.0,245.4605
26,147.0,155.27791
27,78.0,70.56492
28,83.0,63.829617
29,108.0,293.93607
30,36.0,89.13238
31,48.0,75.69553
32,48.0,63.841496
33,794.0,374.16193
34,137.0,143.58551
35,54.0,104.68522
36,230.0,201.30043
37,41.0,70.27289
38,18.0,38.98481
39,165.0,57.132927
40,18.0,63.621506
41,0.0,0.7850076
42,84.0,60.12394
43,222.0,102.76303
44,71.0,33.528316
45,36.0,48.081455
46,60.0,10.03802
47,228.0,397.34985
48,93.0,197.17604
49,102.0,107.58207
50,37.0,103.32497
51,45.0,1.549653
52,66.0,101.629456
53,150.0,163.28227
54,210.0,193.21162
55,70.0,77.42219
56,273.0,42.08294
57,0.0,27.248186
58,54.0,56.96527
59,354.0,339.5187
60,111.0,40.77386
61,120.0,78.759155
62,0.0,9.52312
63,54.0,95.527214
64,138.0,63.36298
65,90.0,118.08109
66,67.0,100.489876
67,0.0,5.9526114
68,0.0,17.40993
69,30.0,74.40196
70,0.0,64.075836
71,69.0,61.36854
72,205.0,104.365524
73,48.0,167.37347
74,123.0,71.85217
75,162.0,165.01715
76,129.0,105.30496
77,189.0,311.25903
78,67.0,54.120308
79,84.0,82.10737
80,62.0,71.19074
81,137.0,253.03908
82,156.0,130.29187
83,117.0,190.06763
84,36.0,19.865604
85,36.0,247.36552
86,72.0,93.700935
87,0.0,15.892561
88,0.0,7.057261
89,156.0,180.63005
90,48.0,164.18507
91,79.0,121.13535
92,154.0,70.73634
93,0.0,17.706087
94,96.0,96.43015
95,34.0,61.30587
96,195.0,97.84273
97,216.0,271.96518
98,297.0,53.99811
99,206.0,73.372856
100,72.0,75.28754
101,96.0,71.74412
102,69.0,86.41086
103,150.0,125.93152
104,0.0,51.45712
105,60.0,64.297714
106,61.0,65.99725
107,30.0,98.07971
108,60.0,24.866714
109,60.0,32.16893
110,156.0,173.58627
111,282.0,302.66937
112,126.0,127.48536
113,48.0,61.30288
114,103.0,71.02135
115,122.0,123.187
116,60.0,28.617271
117,48.0,10.902809
118,25.0,34.8295
119,149.0,148.4902
120,117.0,134.97914
121,42.0,23.964664
122,96.0,81.883835
123,0.0,13.754115
124,168.0,184.02264
125,54.0,87.59767
126,63.0,106.038734
127,183.0,162.20978
128,59.0,73.12406
129,180.0,80.36029
130,36.0,27.299974
131,132.0,105.47355
132,18.0,30.959906
