,Origin,Predict
0,152.3,171.10072
1,146.5,156.79881
2,158.2,159.93309
3,153.4,155.89629
4,155.5,155.61469
5,170.0,150.78683
6,0.0,21.589474
7,164.2,153.4801
8,155.0,157.60695
9,160.0,176.81523
10,165.0,156.44157
11,179.3,190.64119
12,179.6,184.5213
13,0.0,17.430681
14,194.1,199.27551
15,216.3,203.89618
16,185.0,200.40146
17,174.0,175.87111
18,184.3,206.8244
19,170.0,159.46858
20,0.0,1.1525683
21,175.0,191.25723
22,184.9,180.38728
23,161.7,194.11813
24,165.5,185.78528
25,190.0,148.70633
26,130.0,137.14188
27,0.0,3.1022222
28,185.0,181.6338
29,205.0,218.55046
