,Origin,Predict
0,0.0,2.257995
1,0.0,20.814016
2,47.4,47.45565
3,0.0,128.00157
4,64.5,60.75358
5,55.7,49.38512
6,0.0,5.7686386
7,0.0,58.780403
8,0.0,21.96065
9,0.0,134.1688
10,132.5,115.10991
11,106.6,108.60843
12,119.3,132.03639
13,162.0,189.18045
14,0.0,2.4621537
15,90.0,101.248535
16,0.0,0.33972758
17,121.4,111.76939
18,128.3,55.53697
19,116.4,116.2836
20,0.0,4.514289
21,176.9,91.56655
22,0.0,0.032966755
23,120.3,112.246704
24,0.0,168.30307
25,100.0,112.7713
26,144.0,131.22649
27,193.5,181.03816
28,0.0,94.450356
29,100.0,167.40173
30,0.0,222.72052
31,50.8,59.915466
32,0.0,90.94432
33,118.5,152.88666
34,130.0,119.33406
35,124.1,141.62747
36,0.0,3.3141623
37,0.0,13.165922
38,81.8,72.45668
39,172.6,156.84763
40,107.8,73.0654
41,146.9,192.13834
42,0.0,36.84597
43,168.7,153.95268
44,165.5,228.80461
45,0.0,25.78291
46,139.8,127.612465
47,230.0,242.82245
48,0.0,22.39077
49,110.8,151.391
50,72.4,80.39993
51,0.0,1.7266648
52,108.5,118.85361
53,119.4,97.90633
54,95.8,61.580097
55,115.0,98.028076
56,92.0,99.971306
57,124.6,75.83414
58,129.3,144.0899
59,95.4,97.1451
60,126.6,117.120316
61,0.0,41.208626
62,182.8,267.9893
63,129.0,112.04386
64,165.0,195.584
65,76.3,69.30645
66,75.3,69.57046
67,80.0,114.922195
68,129.6,126.95599
69,57.6,43.567245
70,79.6,87.94315
71,93.0,72.21407
72,0.0,105.737404
73,100.0,157.97539
74,111.9,118.890205
75,228.1,269.2389
76,185.0,164.68976
77,135.0,132.3698
78,110.0,98.52363
79,250.0,239.3183
80,81.1,70.808
81,93.0,80.61865
82,84.5,26.87082
83,195.0,137.24683
84,89.1,93.00862
85,48.1,41.974796
86,0.0,26.641802
87,110.8,161.48047
88,0.0,2.1787443
89,160.0,119.48898
90,73.5,57.27987
91,206.9,25.631739
92,0.0,7.419312
93,0.0,37.159046
94,0.0,0.331113
95,330.0,14.777656
96,100.0,49.4482
97,96.9,1.5496643
98,110.0,25.148888
99,0.0,8.626862
100,94.0,119.23905
101,114.7,100.24795
102,0.0,10.635718
103,0.0,35.2918
104,0.0,6.383448
105,0.0,3.7272687
106,280.0,334.84836
107,46.9,50.974213
108,89.3,95.04841
109,90.0,56.280014
110,121.2,132.06686
111,104.9,116.22558
112,120.0,101.35045
113,126.9,118.057175
114,73.8,82.648834
115,0.0,11.499174
116,98.0,104.82772
117,0.0,1.6395711
118,0.0,28.831848
119,0.0,2.2154121
120,122.8,65.96784
121,230.0,180.86118
122,72.8,73.192116
123,125.0,106.5475
124,70.0,112.17579
125,132.9,123.05653
126,0.0,9.1366205
127,155.9,144.88255
128,87.8,75.25655
129,100.8,8.668312
130,330.0,172.03119
131,139.6,147.62341
132,0.0,3.3842332
133,67.9,53.86303
134,202.2,265.4246
135,0.0,1.3801622
136,320.0,26.94959
137,49.8,43.280605
138,216.2,230.97775
139,75.8,86.874756
140,145.0,223.75487
141,215.6,155.53786
142,0.0,0.7977868
143,101.9,106.275276
144,123.0,145.86884
145,74.5,76.330055
146,112.6,129.28894
147,81.3,77.36637
148,118.0,96.46579
149,0.0,19.549849
150,280.0,107.85332
151,216.3,226.57916
152,115.0,63.722076
153,125.0,100.80031
154,120.0,127.33448
155,0.0,70.920334
156,250.0,63.36283
157,100.2,75.67805
158,0.0,283.1559
159,73.9,95.01596
160,94.0,86.654434
161,73.1,71.52895
162,150.0,112.10948
163,0.0,249.67198
164,0.0,4.8867574
165,123.5,86.627625
166,100.3,76.769104
167,165.0,121.94796
168,61.9,60.325073
169,87.7,112.18329
170,171.4,173.45172
171,0.0,140.72974
172,0.0,68.942894
173,143.4,103.19633
174,69.3,76.00032
175,176.3,12.801429
176,0.0,302.24777
177,101.4,67.79345
178,134.6,132.1005
179,0.0,7.345388
180,78.0,88.49934
181,170.0,221.38751
182,107.7,96.03546
183,300.0,209.83862
184,155.0,112.355125
185,0.0,13.859273
186,98.7,99.45634
187,170.0,217.33586
188,84.0,95.38999
189,115.0,28.890022
190,95.0,55.793156
191,0.0,17.390303
192,50.1,62.421093
193,0.0,279.6364
194,123.6,128.63531
195,102.9,87.96477
196,62.7,78.72081
197,139.6,136.43683
198,0.0,79.619865
