,Origin,Predict
0,38.5,37.562187
1,0.0,5.1887064
2,36.8,40.657032
3,35.8,42.638084
4,55.0,55.691147
5,78.9,72.57934
6,46.9,53.126408
7,50.0,42.11771
8,63.2,59.282726
9,0.0,13.916503
10,0.0,6.515681
11,60.3,61.916565
12,50.3,56.831947
13,58.3,57.28468
14,38.7,43.90965
15,68.4,68.230934
16,42.7,46.040154
17,55.0,50.216835
18,49.5,49.369743
19,0.0,18.257723
20,60.1,66.02672
21,0.0,0.9476409
22,44.8,40.564007
23,60.1,54.838753
24,65.1,57.754147
25,35.0,16.355087
26,50.0,51.111267
27,0.0,1.7663668
28,58.3,58.802197
29,31.2,28.751574
30,45.0,38.74969
31,44.2,40.566532
32,0.0,1.6462287
33,56.9,76.23103
34,69.4,69.07069
35,0.0,6.6503367
36,86.1,90.58107
37,45.6,36.185684
38,48.1,39.859333
39,68.5,65.85631
40,39.9,31.521082
41,40.0,25.76532
42,57.8,71.38385
43,50.5,49.079033
44,31.0,38.162758
45,0.0,10.329312
46,45.1,43.41338
47,56.7,66.70439
48,43.4,54.82279
49,85.0,77.47646
50,63.4,69.412704
51,60.0,52.558342
52,43.3,46.56112
53,39.7,29.2466
54,59.7,61.420456
55,0.0,35.61827
56,50.0,50.264107
57,45.9,20.754883
58,45.3,29.521105
59,60.2,49.499012
60,70.1,65.725975
61,55.0,62.16653
62,0.0,2.7914815
63,45.0,39.97454
64,0.0,7.03317
65,40.0,46.10246
66,58.3,7.9076357
67,48.4,10.352047
68,0.0,6.7914834
69,61.8,63.290905
70,54.7,51.01331
71,39.3,48.598946
72,69.2,68.24854
73,40.0,40.34545
74,78.2,76.60008
75,45.0,31.231367
76,82.6,80.43535
77,37.7,34.03734
78,63.4,66.96476
79,0.0,8.693906
80,31.1,30.502705
81,0.0,10.930157
82,46.9,44.73505
83,198.6,72.735275
84,60.1,73.357376
85,59.4,64.12818
86,0.0,3.6294205
87,0.0,6.019455
88,45.2,50.996063
89,85.0,62.83811
90,49.4,47.03035
91,0.0,25.856556
92,70.2,76.94068
93,55.7,62.720375
94,36.8,47.303417
95,74.7,74.21834
96,40.0,32.041237
97,60.0,42.74927
98,44.1,51.28558
99,48.3,47.70768
100,60.0,42.204292
101,50.0,40.22989
102,70.0,65.67455
103,0.0,23.299217
104,36.1,41.89836
105,44.4,50.578815
106,34.3,25.941843
107,25.5,44.057476
108,0.0,4.781377
109,40.0,40.759384
110,50.0,40.615482
111,0.0,8.575494
112,0.0,7.3445044
113,43.3,48.648212
114,40.0,44.367794
115,38.1,31.607021
116,0.0,2.1031487
117,0.0,28.19047
118,55.0,66.65633
119,35.0,100.03624
120,0.0,21.377296
121,25.0,35.638283
122,43.4,107.990204
123,0.0,20.774742
124,55.0,55.89826
125,0.0,7.1923914
126,28.3,35.004887
127,35.0,25.663113
128,58.3,56.184273
129,80.0,93.407074
130,50.0,54.696735
131,30.3,37.235523
132,70.0,98.469765
133,58.1,56.0851
134,40.0,35.26161
135,44.1,32.022682
136,58.5,47.25874
137,36.2,39.204952
138,33.0,40.233227
139,61.8,54.40534
140,38.5,16.30285
141,0.0,0.097593136
142,60.1,73.03184
143,42.8,48.466007
144,0.0,15.851504
145,43.1,36.383644
146,56.5,75.616196
147,42.5,38.889797
148,0.0,0.28879312
149,0.0,8.257767
150,60.2,57.673527
151,38.3,35.364635
152,0.0,40.44991
153,37.9,47.009594
154,38.0,39.660435
155,38.6,41.898956
156,39.3,44.85106
157,60.1,60.399475
158,0.0,4.735933
159,45.4,49.295593
160,45.0,64.00744
161,0.0,0.55218905
162,38.4,43.95958
163,44.2,45.93016
164,69.0,47.838947
165,33.5,28.789474
166,45.0,45.263897
167,84.2,74.09339
168,90.0,42.92248
169,60.5,31.28838
170,49.3,58.706715
171,59.2,47.7827
172,55.0,34.082092
173,60.0,50.611202
174,0.0,5.9532223
175,50.0,56.61096
176,40.0,37.63081
177,44.5,35.454872
178,0.0,18.034912
179,40.0,8.544588
180,45.0,41.334896
181,40.0,41.606613
182,69.2,52.262
183,85.2,87.26856
184,50.0,50.86187
185,59.3,57.89107
186,80.7,71.3405
187,0.0,13.153279
188,0.0,26.878468
189,0.0,7.297752
190,0.0,41.498447
191,53.0,55.82297
192,50.0,36.815
193,65.0,84.90767
194,49.1,36.82159
195,40.2,46.999794
196,0.0,5.111261
197,0.0,4.0750346
198,55.0,50.422462
199,49.9,50.63521
200,42.1,42.962536
201,0.0,3.7756348
202,0.0,9.158253
203,45.3,46.574734
204,43.3,55.076717
205,60.0,59.988274
206,48.0,60.289204
207,60.2,37.55518
208,45.0,46.406975
209,63.9,76.49388
210,0.0,3.3111508
211,41.9,30.835073
212,85.1,101.98513
213,0.0,4.315047
214,56.5,65.594666
215,69.7,72.711075
216,36.3,43.80929
217,53.3,45.693638
218,0.0,3.1002414
219,58.0,59.989113
220,58.2,67.57683
221,33.0,17.031963
222,44.4,45.495865
223,50.1,53.036522
224,49.1,44.544277
225,45.0,67.4342
226,30.7,19.289135
227,75.0,75.99729
228,65.0,38.098595
229,48.5,45.91858
230,56.6,58.510708
231,49.7,45.493324
232,50.0,69.71719
233,48.2,44.352894
234,58.5,0.3904914
235,37.0,28.665556
236,40.0,44.055542
237,73.8,67.164604
238,0.0,8.45148
239,57.9,72.12566
240,82.7,137.7164
241,39.0,39.264244
242,60.0,78.4807
243,60.6,94.28266
244,60.0,51.273388
245,50.3,51.152367
246,45.0,47.685898
247,70.0,62.9679
248,60.0,93.02119
249,59.4,64.97928
250,45.3,49.570442
251,60.1,65.418945
252,0.0,1.1685803
253,85.0,86.70382
254,0.0,25.162195
255,49.5,65.44739
256,60.2,90.53465
257,0.0,7.7158794
258,60.0,71.61856
259,73.7,70.03789
260,67.1,60.04117
261,55.0,55.562393
262,72.1,67.324524
263,60.3,62.59213
264,65.0,65.60474
265,50.6,53.56147
266,52.1,53.529015
