,Origin,Predict
0,71.0,73.557365
1,85.0,70.181854
2,75.0,80.28126
3,56.3,56.825462
4,63.5,58.043106
5,84.4,76.66432
6,0.0,12.101858
7,71.5,77.4474
8,62.3,54.320747
9,59.1,61.537582
10,58.6,53.939358
11,50.1,56.19327
12,56.2,61.11542
13,0.0,1.9994612
14,62.1,65.63814
15,38.0,45.48704
16,50.3,44.141544
17,40.3,43.647453
18,46.2,46.868958
19,65.6,59.57036
20,0.0,0.4054273
21,56.1,58.712402
22,52.2,48.862705
23,53.9,57.086655
24,60.0,56.57784
25,43.9,43.735954
26,53.9,50.98579
27,0.0,7.976463
28,60.4,61.60704
29,48.4,46.1974
