,Origin,Predict
0,0.0,1.3617572
1,0.0,5.5636396
2,25.0,18.537458
3,0.0,16.055347
4,0.0,2.850484
5,0.0,5.0933056
6,0.0,1.0779186
7,0.0,13.716697
8,50.0,15.699408
9,0.0,3.0955615
10,0.0,10.875421
11,0.0,4.7819877
12,0.0,19.194605
13,52.0,28.958757
14,0.0,16.067156
15,0.0,4.5782824
16,0.0,8.138944
17,0.0,3.3634627
18,0.0,6.186273
19,0.0,6.2670946
20,0.0,7.1983967
21,0.0,8.895987
22,50.0,26.0897
23,0.0,22.939178
24,0.0,0.6350942
25,0.0,9.031156
26,0.0,7.332084
27,40.0,24.831264
28,0.0,23.127499
29,0.0,12.899135
