,Origin,Predict
0,0.0,0.018755442
1,0.0,0.74787927
2,0.0,1.0351367
3,0.0,0.8211458
4,0.0,1.1068819
5,0.0,1.8407452
6,0.0,0.4921186
7,0.0,0.3733468
8,0.0,1.4656358
9,0.0,0.0039447895
10,0.0,6.778701
11,0.0,0.14467649
12,0.0,0.45304638
13,15.0,13.715373
14,21.0,0.308422
15,0.0,1.0969929
16,0.0,1.5898182
17,0.0,6.6484923
18,0.0,3.4868853
19,0.0,0.6116082
20,0.0,0.091418326
21,10.0,0.07748949
22,0.0,0.31360674
23,24.0,0.31694788
24,0.0,1.6824193
25,0.0,1.549571
26,0.0,0.7386488
27,0.0,0.11836152
28,0.0,0.037518173
29,15.0,1.1703318
30,8.0,3.3723166
31,0.0,0.26254186
32,9.0,0.79217106
33,20.0,0.90568006
34,0.0,0.63190985
35,9.0,1.6586131
36,0.0,0.6183951
37,0.0,1.0084659
38,0.0,2.9581618
39,0.0,0.5642124
40,0.0,2.8887277
41,0.0,0.09799316
42,0.0,0.55111974
43,0.0,0.60906136
44,0.0,0.4221276
45,0.0,0.2806629
46,0.0,0.49721932
47,21.0,58.167854
48,0.0,0.97861516
49,0.0,0.4329562
50,0.0,0.99304694
51,0.0,0.1319649
52,12.0,22.700237
53,0.0,2.1937282
54,0.0,0.21095441
55,0.0,0.30418146
56,0.0,2.5563598
57,13.0,1.8935813
58,0.0,0.513681
59,0.0,0.04836324
60,0.0,5.837052
61,12.0,15.665445
62,0.0,0.35483822
63,0.0,0.45207787
64,0.0,6.048877
65,4.0,5.61611
66,0.0,3.0911636
67,0.0,0.22682513
68,0.0,0.14574926
69,0.0,1.5584021
70,0.0,0.8647729
71,0.0,0.9565013
72,0.0,5.533623
73,28.0,18.063166
74,0.0,0.26884878
75,0.0,85.660965
76,13.0,3.8182778
77,0.0,0.4794648
78,0.0,0.8053553
79,0.0,37.884815
80,0.0,0.47553027
81,0.0,0.030029394
82,0.0,0.076547176
83,0.0,1.1971602
84,13.0,0.706274
85,28.0,14.899309
86,16.0,40.99863
87,0.0,0.61081827
88,0.0,0.5484862
89,0.0,0.677373
90,0.0,0.67480993
91,0.0,8.251605
92,0.0,0.44647262
93,45.0,9.016312
94,0.0,10.06399
95,0.0,1.3676442
96,0.0,0.22847128
97,0.0,17.221073
98,10.0,0.16224332
99,0.0,1.1210673
100,0.0,0.29006654
101,28.0,34.02141
102,0.0,1.3749019
103,0.0,4.1472483
104,0.0,0.0183117
105,0.0,4.779744
106,0.0,0.72738373
107,0.0,1.2836602
108,0.0,0.81663805
109,0.0,0.6910134
110,0.0,10.633354
111,0.0,3.607177
112,0.0,0.03510825
113,0.0,0.87467
114,0.0,0.10685718
115,0.0,0.32369044
116,0.0,0.53013855
117,28.0,2.0256522
118,0.0,1.9113408
119,16.0,1.588146
120,0.0,1.1713704
121,0.0,18.256308
122,0.0,0.79126793
123,0.0,8.188147
124,0.0,3.2017145
125,0.0,0.025678674
126,0.0,0.096331626
127,0.0,53.86306
128,0.0,3.026271
