,Origin,Predict
0,160.0,143.03056
1,0.0,23.250248
2,0.0,47.910923
3,0.0,49.605957
4,0.0,6.165392
5,0.0,4.30487
6,0.0,55.848198
7,0.0,66.19874
8,0.0,157.77164
9,40.0,11.533964
10,208.6,273.687
11,0.0,64.38971
12,0.0,0.9393763
13,186.0,108.63606
14,45.0,54.355293
15,0.0,97.90338
16,0.0,30.432148
17,150.0,151.27214
18,0.0,3.76399
19,0.0,8.224418
20,0.0,11.120646
21,0.0,10.837017
22,0.0,125.90665
23,150.0,139.63861
24,0.0,11.436673
25,138.5,129.973
26,109.8,81.70586
27,170.0,140.131
28,0.0,1.879903
29,0.0,3.7288852
30,90.0,109.735085
31,92.8,129.63951
32,0.0,3.963107
33,48.2,49.80422
34,192.0,135.25504
35,0.0,5.1964254
36,0.0,55.17311
37,60.0,48.23826
38,90.0,175.3569
39,0.0,3.765646
40,0.0,10.717071
41,85.7,73.344345
42,0.0,2.2371604
43,0.0,73.95159
44,0.0,4.346013
45,60.0,133.2436
46,150.0,156.31602
47,108.0,95.14692
48,0.0,12.570855
49,0.0,5.2149086
50,0.0,3.464651
51,117.6,98.80677
52,0.0,16.832306
53,0.0,2.7841709
54,0.0,2.8904614
55,0.0,6.482478
56,183.1,266.83286
57,0.0,9.596678
58,0.0,12.789336
59,45.0,56.179333
60,0.0,3.329156
61,0.0,1.6782691
62,175.4,158.4
63,0.0,9.2946615
64,0.0,0.20173365
65,0.0,14.437861
66,75.5,68.8323
67,0.0,8.827955
68,0.0,19.296583
69,0.0,3.6722417
70,0.0,10.198173
71,0.0,12.266809
72,82.0,50.157856
73,270.0,223.48062
74,227.0,246.92354
75,0.0,7.61588
76,130.0,47.433144
77,65.0,71.865715
78,150.0,257.6882
79,105.0,98.916885
80,0.0,44.61068
81,95.0,73.27602
82,0.0,14.289929
83,0.0,27.639956
84,0.0,33.07554
85,0.0,9.497073
86,0.0,0.4561088
87,0.0,0.039661143
88,0.0,73.68403
89,0.0,6.3468575
90,63.8,23.18482
91,0.0,115.99184
92,0.0,4.246144
93,144.6,81.55417
94,0.0,3.1760292
95,131.0,181.47455
96,66.0,79.58421
97,0.0,6.0977507
98,0.0,90.29538
99,60.0,19.939766
100,70.0,74.61394
101,0.0,17.207577
102,80.0,85.79672
103,0.0,9.671787
104,174.3,226.97357
105,230.0,302.82254
106,25.0,46.988213
107,230.0,159.81595
108,0.0,18.901543
109,138.1,124.23634
110,221.5,140.91936
111,0.0,12.403785
112,0.0,4.0543776
113,0.0,1.9217072
114,78.7,86.76603
115,0.0,4.626659
116,0.0,4.5109196
117,0.0,31.036531
118,0.0,11.901898
119,0.0,26.296305
120,0.0,93.2633
121,150.0,161.11327
122,144.2,166.54329
123,0.0,74.269714
124,0.0,2.9978209
125,69.5,147.61705
126,220.0,182.02919
127,200.0,177.84447
128,150.0,176.34454
129,0.0,47.09146
130,0.0,27.815405
131,50.0,21.576797
132,0.0,0.6190656
133,115.0,111.14737
134,0.0,13.498576
135,0.0,25.98933
136,0.0,27.971388
137,0.0,20.523264
138,0.0,5.950086
139,28.0,128.25554
140,0.0,3.9477699
141,0.0,4.099574
142,146.3,81.18306
143,89.0,100.41861
144,0.0,0.39664048
145,80.0,88.91476
146,28.6,28.984474
147,61.5,33.559097
148,0.0,18.016901
149,0.0,0.18564604
150,0.0,6.1491737
151,0.0,23.07895
152,0.0,4.6529455
153,0.0,0.37599927
154,0.0,7.7959642
155,0.0,11.404865
156,80.0,54.135372
157,0.0,10.399004
158,0.0,13.428811
159,74.2,57.55813
160,0.0,0.554667
161,0.0,3.151611
162,80.6,59.287106
163,0.0,13.9002905
164,0.0,111.67106
165,87.0,47.79577
166,0.0,32.354385
167,0.0,7.471934
168,0.0,64.59303
169,0.0,6.408413
170,0.0,5.425931
171,120.5,127.1651
172,0.0,21.801125
173,0.0,41.757675
174,174.6,136.85422
175,0.0,27.629608
176,70.0,77.834175
177,170.0,130.62663
178,0.0,19.416182
179,101.3,134.79004
180,170.0,136.98181
181,0.0,4.6630383
182,110.9,61.752968
183,165.0,132.98157
184,0.0,9.700953
185,113.5,89.08967
186,115.7,82.82999
187,0.0,68.468704
188,165.0,113.04156
189,99.6,87.35615
190,0.0,7.042006
191,89.5,93.90129
192,0.0,4.272981
193,0.0,8.231267
194,0.0,0.064388655
195,0.0,6.5197754
