,Origin,Predict
0,0.0,2.3408723
1,250.0,227.95616
2,200.0,117.84122
3,60.0,44.814175
4,100.0,83.19729
5,0.0,1.4164611
6,0.0,12.720364
7,150.0,160.16853
8,0.0,2.051801
9,60.0,29.529991
10,0.0,6.030777
11,90.0,87.2794
12,90.0,66.741806
13,70.0,44.732937
14,0.0,0.4893075
15,0.0,1.525049
16,235.0,212.74666
17,120.0,128.35849
18,130.0,115.515724
19,0.0,100.62328
20,0.0,19.336874
21,0.0,2.9700243
22,0.0,0.7202435
23,0.0,2.658284
24,90.0,104.00298
25,120.0,132.64023
26,0.0,6.756054
27,0.0,9.830336
28,0.0,1.2388029
29,0.0,3.2971087
30,70.0,41.072388
31,0.0,91.749245
32,300.0,188.58173
33,70.0,48.69957
34,80.0,68.930855
35,0.0,0.19356905
36,120.0,141.2297
37,120.0,100.38687
38,140.0,23.920885
39,0.0,4.543321
40,160.0,105.9082
41,200.0,243.83392
42,250.0,219.38994
43,0.0,2.8873749
44,0.0,4.5936327
45,90.0,60.354942
46,0.0,1.6945249
47,0.0,1.5774742
48,60.0,71.18276
49,150.0,114.42902
50,80.0,68.4065
51,70.0,73.515274
52,70.0,62.514557
53,0.0,1.287212
54,250.0,332.91815
55,0.0,8.054482
56,160.0,148.89532
57,0.0,5.6910734
58,60.0,7.6595817
59,0.0,57.951267
60,120.0,90.31308
61,0.0,159.5879
62,120.0,66.76676
63,140.0,129.24017
64,0.0,51.22259
65,160.0,145.53227
66,0.0,9.01138
67,0.0,0.67084014
68,0.0,3.4165027
69,0.0,0.90711725
70,80.0,62.317436
71,140.0,106.03063
72,0.0,39.22699
73,0.0,5.6236515
74,180.0,187.94318
75,120.0,115.06759
76,50.0,52.46141
77,60.0,53.372597
78,280.0,319.0164
79,80.0,96.96531
80,0.0,1.4402959
81,130.0,131.20206
82,70.0,71.73633
83,0.0,88.31747
84,200.0,232.94211
85,0.0,0.81727356
86,0.0,11.538642
87,0.0,171.32571
88,0.0,98.94569
89,0.0,87.51775
90,120.0,124.187836
91,0.0,60.75048
92,250.0,269.39285
93,0.0,116.65882
94,160.0,164.6009
95,0.0,14.16393
96,120.0,102.50122
97,80.0,85.20024
98,0.0,16.01056
99,0.0,18.67775
100,0.0,11.28864
101,150.0,120.72284
102,0.0,26.084742
103,0.0,23.816792
104,0.0,4.8060026
105,130.0,83.13824
106,100.0,101.63476
107,0.0,19.986624
108,350.0,375.02612
109,70.0,95.51731
110,0.0,1.4430647
111,0.0,25.196556
112,70.0,56.558235
113,90.0,90.017944
114,0.0,2.6859105
115,100.0,115.62552
116,250.0,196.1069
117,0.0,4.0907807
118,100.0,90.39674
119,0.0,105.309395
120,70.0,95.13887
121,70.0,78.36135
122,0.0,26.356165
123,0.0,20.047615
124,150.0,153.5905
125,60.0,63.45574
126,130.0,97.69265
127,50.0,65.86787
128,225.0,212.39268
129,0.0,119.67099
130,100.0,106.51995
131,0.0,31.551933
132,200.0,142.1933
133,0.0,1.1771628
134,130.0,121.18809
135,0.0,77.68781
136,140.0,106.73584
137,200.0,216.21844
138,40.0,36.9652
139,230.0,236.08502
140,70.0,49.32792
141,0.0,4.4932094
142,150.0,131.93681
143,150.0,118.104576
144,0.0,20.028185
145,0.0,28.012785
146,140.0,115.30609
147,85.0,102.64043
148,45.0,41.05982
149,120.0,115.64265
150,0.0,5.309933
151,0.0,1.9480755
152,0.0,18.070118
153,0.0,3.9126053
154,90.0,81.009285
155,0.0,92.250916
156,0.0,0.22545928
157,160.0,150.82642
158,40.0,43.288277
159,0.0,91.51932
160,100.0,108.08735
161,140.0,122.8966
162,0.0,3.483222
163,0.0,0.07997958
164,150.0,132.29675
165,70.0,73.15649
166,0.0,1.165677
167,0.0,7.6266494
168,120.0,86.51757
169,70.0,52.77234
170,130.0,163.4338
171,50.0,31.723248
172,90.0,117.05402
173,0.0,57.390293
174,80.0,88.4934
175,250.0,292.5006
176,0.0,1.5035366
177,130.0,154.02905
178,0.0,4.238421
179,0.0,66.01125
180,0.0,3.2534292
181,60.0,34.796257
182,250.0,137.43034
183,0.0,53.18966
184,100.0,120.75926
185,0.0,40.890743
186,250.0,321.49164
187,120.0,107.08268
188,90.0,87.25213
189,90.0,98.46747
190,0.0,4.0631547
