,Origin,Predict
0,33.0,34.95488
1,0.0,0.4389031
2,0.0,0.29324985
3,0.0,38.73051
4,40.0,33.73594
5,85.0,81.96545
6,33.0,40.968746
7,33.0,2.2151177
8,0.0,0.45659223
9,0.0,0.047193732
10,0.0,4.6797867
11,0.0,0.3780108
12,0.0,0.10436273
13,0.0,0.16705008
14,80.0,70.01573
15,0.0,12.666495
16,34.0,36.6982
17,0.0,0.24968804
18,0.0,0.027421357
19,0.0,0.10397232
20,0.0,0.15330207
21,33.0,32.755867
22,50.0,52.75649
23,0.0,0.11696632
24,80.0,82.02883
25,0.0,0.35102576
26,0.0,11.670341
27,41.0,32.89262
28,0.0,0.09570135
29,35.0,42.731773
30,0.0,0.17493257
31,34.0,27.689005
32,51.0,51.453316
33,0.0,0.14869514
34,0.0,0.119207405
35,0.0,0.13097373
36,32.0,28.620546
37,80.0,37.598633
38,0.0,0.2290189
39,0.0,0.12975681
40,100.0,99.35403
41,0.0,0.06755631
42,0.0,0.06318604
43,0.0,38.70602
44,0.0,0.14044234
45,0.0,0.075393654
46,0.0,0.04241275
47,0.0,0.13816595
48,0.0,0.27448598
49,0.0,0.3208718
50,42.0,43.59903
51,0.0,0.3157839
52,0.0,0.27508682
53,0.0,0.30958053
54,45.0,39.734314
55,0.0,0.09840482
56,0.0,2.2049131
57,0.0,10.239825
58,0.0,0.082844555
59,50.0,44.319492
60,56.0,53.595947
61,0.0,0.09724492
62,0.0,0.20901133
63,0.0,0.1606826
64,30.0,21.935196
65,0.0,1.8921043
66,0.0,0.019390363
67,37.0,33.93844
68,30.0,29.62508
69,0.0,0.23521596
70,54.0,52.390152
71,0.0,0.08032277
72,47.0,14.58176
73,0.0,54.596996
74,100.0,102.572975
75,0.0,12.910374
76,0.0,15.865679
77,0.0,0.007935394
78,0.0,0.7697506
79,0.0,0.122330375
80,52.0,40.674175
81,0.0,17.536808
82,0.0,0.024947034
83,0.0,0.09045253
84,0.0,0.057177056
85,0.0,0.20163625
86,0.0,0.05748705
87,0.0,0.36041462
88,40.0,24.907867
89,0.0,0.036699742
90,0.0,0.2725869
91,100.0,87.906136
92,0.0,22.316158
93,0.0,0.09499324
94,85.0,74.89537
95,0.0,0.35863036
96,0.0,0.036313824
97,46.0,38.447613
98,0.0,0.264932
99,56.0,40.7477
100,0.0,0.10742291
101,0.0,0.20404264
102,0.0,0.03934671
103,0.0,6.661218
104,40.0,19.096804
105,80.0,83.44511
106,46.0,45.39231
107,0.0,0.08419443
108,32.0,33.824787
109,0.0,0.3013498
110,85.0,2.660445
111,37.0,44.334675
112,0.0,0.14569786
113,0.0,0.22901484
114,80.0,0.7032106
115,0.0,0.12693915
116,0.0,0.15969673
117,0.0,0.30074847
118,0.0,0.6093983
119,0.0,0.43829677
120,0.0,0.9808183
121,34.0,4.6156316
122,80.0,52.197643
123,41.0,39.226635
124,0.0,0.24848616
125,0.0,0.0154099725
126,0.0,0.07674651
127,0.0,0.7506575
128,0.0,0.23746374
129,80.0,70.26758
130,0.0,0.020286994
131,0.0,0.4903238
132,0.0,0.16419657
133,0.0,0.002812879
134,0.0,0.013248278
135,65.0,69.80362
136,0.0,0.13238801
137,0.0,0.016521385
138,66.0,71.27549
139,52.0,57.05432
140,0.0,1.6041158
141,48.0,48.81125
142,0.0,0.11272515
143,0.0,0.15205462
144,0.0,0.09089982
145,0.0,0.3055469
146,40.0,41.09022
147,0.0,0.41082838
148,0.0,5.8940654
149,0.0,0.24992353
150,0.0,0.20688972
151,0.0,0.095664196
152,0.0,0.7100349
153,0.0,0.256378
154,0.0,0.004114222
155,0.0,0.10491031
156,28.0,23.011974
157,85.0,84.26589
158,48.0,41.188984
159,0.0,0.16877551
160,33.0,3.3711333
161,0.0,0.047118638
162,0.0,43.80709
163,0.0,0.19877227
164,30.0,34.094936
165,0.0,0.11866339
166,0.0,0.1884614
167,0.0,0.18820642
168,0.0,85.51475
169,0.0,0.81215787
170,35.0,37.096924
171,0.0,0.287217
172,0.0,0.02133884
173,0.0,0.09217855
174,0.0,0.74494183
175,0.0,0.1498178
176,0.0,0.16825846
177,32.0,24.290054
178,41.0,40.92218
179,0.0,0.023618935
180,0.0,2.0213823
181,0.0,0.3595306
182,0.0,0.4174102
183,0.0,0.14837573
184,56.0,70.43543
185,0.0,0.15076417
186,0.0,1.1133944
187,0.0,0.23354416
188,0.0,0.20400956
189,0.0,0.12796853
190,42.0,39.8938
191,0.0,0.16404125
192,0.0,0.071390904
193,0.0,0.10908434
194,0.0,0.12969719
195,0.0,3.521451
196,0.0,0.18640293
197,31.0,18.528084
198,0.0,73.7941
199,0.0,0.13733558
200,45.0,46.532703
201,0.0,0.17427604
202,0.0,0.16516869
203,0.0,0.08637756
204,41.0,39.675526
205,0.0,0.04974227
206,85.0,51.544613
207,56.0,52.152523
208,0.0,11.351519
209,0.0,0.56103146
210,36.0,19.102339
211,0.0,4.9224005
212,0.0,0.08172172
213,46.0,38.306072
214,0.0,13.405062
215,0.0,6.0136895
216,0.0,0.28706574
217,0.0,0.15350382
218,0.0,11.314593
219,0.0,0.16548546
220,33.0,1.0113921
221,42.0,47.358833
222,0.0,0.13324988
223,0.0,0.42381674
224,0.0,0.32783863
225,0.0,0.23991294
226,0.0,0.39964348
227,17.0,28.930529
228,0.0,0.11332834
229,0.0,0.6183297
230,42.0,39.264698
231,42.0,37.45825
232,0.0,0.21761735
233,0.0,0.17479432
234,0.0,46.192165
235,0.0,0.46936005
236,0.0,0.08690771
237,0.0,0.1488779
238,0.0,0.27859658
239,0.0,1.8067874
240,80.0,83.06729
241,85.0,83.08533
242,0.0,0.03969264
243,0.0,0.20014405
244,0.0,0.72368217
245,0.0,0.0051470734
