,Origin,Predict
0,15.0,15.69647
1,15.0,16.4609
2,12.0,12.504794
3,0.0,10.87296
4,15.0,12.225044
5,0.0,2.9203758
6,15.0,8.036975
7,0.0,11.605722
8,15.0,18.41542
9,10.0,17.821577
10,15.0,16.372322
11,12.0,13.186524
12,0.0,7.7584214
13,12.0,14.342329
14,12.0,14.25452
15,10.0,13.3521805
16,10.0,14.8615265
17,15.0,13.913414
18,15.0,11.533056
19,0.0,6.5803423
20,10.0,11.62888
21,16.0,17.01965
22,16.0,16.356518
23,17.0,22.365921
24,17.0,25.610271
25,20.0,19.55628
26,23.0,11.020749
27,0.0,9.166059
28,0.0,1.2111641
29,0.0,2.0469801
