,Origin,Predict
0,0.0,0.6764649
1,0.0,0.59718394
2,0.0,0.2178991
3,0.0,0.15254563
4,0.0,4.387887
5,0.0,0.34122667
6,0.0,24.504368
7,50.0,56.728825
8,0.0,0.7585085
9,0.0,20.902401
10,50.0,51.807545
11,0.0,12.25708
12,0.0,0.17104533
13,0.0,48.208405
14,38.0,44.72088
15,0.0,3.9465544
16,0.0,2.4993122
17,0.0,9.124116
18,0.0,0.07953576
19,45.0,41.873894
20,0.0,0.23672101
21,0.0,0.5272085
22,0.0,0.25539696
23,0.0,0.3963646
24,0.0,0.4416883
25,0.0,21.878052
26,68.0,53.880806
27,0.0,0.3784382
28,0.0,0.16779846
29,0.0,0.09479694
30,0.0,22.33553
31,0.0,15.89158
32,0.0,0.02071591
33,60.0,56.061146
34,45.7,43.443893
35,0.0,0.4586397
36,0.0,0.6672902
37,0.0,2.4952471
38,37.0,47.67707
39,0.0,0.4042294
40,0.0,0.0135013815
41,65.0,51.426754
42,65.0,15.898253
43,0.0,11.160322
44,0.0,0.10539872
45,0.0,0.41992167
46,47.0,52.331886
47,0.0,0.39456427
48,0.0,0.3457933
49,0.0,0.046958286
50,0.0,0.12443584
51,0.0,0.6055547
52,0.0,0.16165139
53,0.0,0.07902739
54,0.0,4.1230154
55,0.0,0.12347601
56,65.0,69.17591
57,0.0,0.097875275
58,48.0,36.935883
59,0.0,0.08179032
60,0.0,0.47349954
61,32.0,12.679636
62,0.0,0.656202
63,38.0,44.52319
64,0.0,0.13549373
65,0.0,0.32700294
66,0.0,1.246813
67,0.0,0.09683133
68,0.0,0.04850101
69,0.0,0.26861385
70,0.0,0.3559396
71,0.0,0.46600145
72,0.0,1.5581145
73,48.0,21.797918
74,35.0,34.12032
75,0.0,18.376593
76,0.0,0.48499897
77,47.0,46.67163
78,42.0,22.639217
79,0.0,11.776264
80,0.0,0.5168739
81,0.0,1.9684756
82,0.0,0.5211715
83,0.0,0.2685585
84,40.0,54.529922
85,48.0,12.229902
86,0.0,0.066756725
87,0.0,0.9708069
88,48.0,55.032993
89,46.0,41.58164
90,0.0,0.026103845
91,0.0,0.25488025
92,0.0,0.085008115
93,0.0,0.40241736
94,0.0,2.8423355
95,0.0,0.43672988
96,0.0,0.25195158
97,0.0,0.37890884
98,40.0,46.4829
99,0.0,27.03556
100,0.0,0.59026164
101,0.0,15.025892
102,0.0,0.4683367
103,0.0,0.15761167
104,52.0,55.9162
105,0.0,2.5688367
106,0.0,0.92694336
107,0.0,4.6748815
108,40.0,37.841938
109,0.0,0.049212847
110,0.0,0.18808609
111,0.0,6.280962
112,0.0,0.12614956
113,50.0,67.87361
114,0.0,0.040523317
115,48.0,6.5130816
116,45.0,37.785046
117,0.0,0.10973776
118,0.0,13.117042
119,0.0,0.5583793
120,0.0,0.11883764
121,45.0,44.41561
122,0.0,0.1957861
123,0.0,0.5037476
124,0.0,1.309561
125,0.0,0.21273288
126,0.0,0.44620144
127,0.0,0.17216349
128,0.0,0.17274112
129,63.0,65.351166
130,0.0,0.06592924
131,0.0,0.36085194
132,0.0,6.311985
133,0.0,0.027052857
134,48.0,25.088951
135,0.0,0.33518443
136,48.0,44.25013
137,0.0,0.070628226
138,0.0,0.0082086865
139,0.0,0.49104494
140,45.0,32.68444
141,62.0,64.19366
142,0.0,0.5359574
143,0.0,12.247576
144,0.0,5.7779994
145,0.0,0.18994701
146,0.0,17.699974
147,0.0,5.8766527
148,0.0,4.5880685
149,0.0,0.2210532
150,50.0,35.960823
151,0.0,15.934368
152,0.0,0.6589724
153,0.0,1.9465231
154,0.0,3.0093484
155,0.0,0.1125344
156,0.0,0.15706775
157,0.0,0.12230776
158,0.0,0.30834246
159,0.0,0.2607883
160,0.0,0.23118217
161,0.0,0.30817887
162,46.0,42.494884
163,0.0,29.132576
164,0.0,0.4214319
165,0.0,0.11920283
166,0.0,9.877235
167,0.0,0.07676294
168,0.0,6.0075035
169,0.0,0.0050617037
170,0.0,0.93633664
171,0.0,4.6353674
172,0.0,11.921684
173,60.0,65.47456
174,0.0,1.2958272
175,52.0,56.0652
176,40.0,53.340153
177,0.0,9.970616
178,53.0,64.020294
179,0.0,0.7100047
180,0.0,0.0058375495
181,35.0,27.792187
182,36.0,32.113865
183,0.0,0.9181567
184,0.0,0.56136733
185,62.0,45.43179
186,45.0,35.10768
187,0.0,0.4534339
188,0.0,0.35360804
189,30.0,23.922018
190,0.0,0.3737024
191,0.0,0.21638513
192,40.0,40.694637
193,0.0,0.14403546
194,0.0,9.074866
195,0.0,0.00902504
196,0.0,0.3626631
197,0.0,0.37784293
198,53.0,39.69774
199,0.0,2.6877527
200,0.0,0.08910256
201,0.0,0.08592126
202,0.0,0.4376591
203,0.0,0.22371933
204,0.0,0.7093126
205,0.0,0.058390953
206,50.0,56.209934
207,0.0,11.023012
208,0.0,0.011412257
209,0.0,0.017756935
210,30.0,13.630487
211,0.0,0.039302185
212,0.0,0.56356937
213,45.0,21.876553
214,0.0,0.2561264
215,0.0,1.0660297
216,0.0,0.49938288
217,0.0,5.551949
218,40.0,49.7506
219,0.0,0.10219143
