,Origin,Predict
0,0.0,13.617611
1,0.0,14.056441
2,25.0,22.2516
3,30.0,13.635177
4,0.0,16.076786
5,30.0,30.883709
6,30.0,30.205854
7,0.0,1.2344531
8,50.0,43.15994
9,50.0,54.628605
10,50.0,46.335587
11,50.0,44.6808
12,50.0,50.29969
13,50.0,41.145855
14,0.0,5.7691493
15,50.0,51.52699
16,50.0,57.382835
17,50.0,38.23992
18,40.0,30.857515
19,40.0,46.243916
20,40.0,37.179752
21,0.0,5.922974
22,40.0,46.32796
23,40.0,38.31993
24,0.0,3.4714992
25,0.0,4.7878904
26,40.0,34.543247
27,40.0,55.856163
28,0.0,2.2875867
29,40.0,37.215897
