,Origin,Predict
0,0.0,0.31905952
1,0.0,0.0055423263
2,240.0,207.08824
3,80.0,294.61023
4,0.0,56.810013
5,270.0,264.76593
6,360.0,279.98587
7,0.0,6.2351513
8,200.0,179.99152
9,90.0,229.70216
10,280.0,361.4652
11,0.0,38.408
12,0.0,55.88005
13,240.0,236.78088
14,0.0,1.9857446
15,120.0,146.47646
16,80.0,265.23395
17,0.0,3.3110402
18,150.0,108.55529
19,0.0,168.52956
20,200.0,220.38193
21,180.0,9.230952
22,240.0,184.7027
23,280.0,246.78867
24,210.0,16.88177
25,0.0,5.316004
26,0.0,0.21716575
27,0.0,156.8522
28,0.0,2.4268544
29,0.0,9.179647
30,254.0,80.49234
31,196.0,203.20436
32,180.0,186.62851
33,0.0,1.9031644
34,0.0,8.819765
35,160.0,272.16846
36,400.0,299.76608
37,0.0,6.785692
38,0.0,16.021044
39,210.0,199.07922
40,240.0,316.46722
41,0.0,0.45463973
42,0.0,8.425396
43,0.0,2.3654747
44,240.0,307.86096
45,120.0,93.34376
46,320.0,318.03384
47,0.0,52.742325
48,120.0,31.719616
49,0.0,5.580356
50,280.0,235.22334
51,360.0,144.08026
52,150.0,118.52917
53,280.0,291.65802
54,0.0,2.1870742
55,0.0,1.2050865
56,240.0,140.75768
57,285.0,336.03217
58,0.0,3.5733638
59,240.0,218.49074
60,240.0,232.21619
61,120.0,170.5901
62,0.0,2.9261355
63,0.0,81.502525
64,360.0,181.97433
65,0.0,6.509218
66,120.0,99.89033
67,60.0,118.20198
68,280.0,381.35684
69,215.0,308.30133
70,180.0,292.57333
71,360.0,430.03406
72,0.0,3.4265141
73,0.0,14.622745
74,154.0,67.773346
75,180.0,64.51538
76,147.0,168.6695
77,0.0,26.426409
78,0.0,53.29525
79,0.0,4.927543
80,120.0,62.812935
81,0.0,7.0269904
82,36.0,233.18341
83,0.0,1.8282176
84,0.0,5.5332003
85,0.0,2.2020586
86,210.0,163.78769
87,240.0,361.30814
88,320.0,262.27182
89,160.0,145.38371
90,170.0,234.2806
91,0.0,2.970227
92,240.0,291.3365
93,320.0,265.13443
94,0.0,1.9496171
95,0.0,110.895836
96,230.0,40.834026
97,320.0,330.85516
98,200.0,218.11517
99,280.0,199.12885
100,280.0,250.74951
101,270.0,106.347916
102,0.0,12.205681
103,120.0,149.6494
104,0.0,122.80834
105,0.0,206.63715
106,160.0,168.88867
107,0.0,39.330185
108,200.0,254.79964
109,600.0,554.97626
110,120.0,147.2453
111,0.0,22.632725
112,0.0,2.8558912
113,0.0,1.33721
114,90.0,101.66708
115,200.0,78.489265
116,160.0,313.9111
117,356.0,104.275345
118,0.0,195.80458
119,80.0,285.5004
120,240.0,250.15381
121,0.0,144.55128
