,Origin,Predict
0,120.0,100.377945
1,0.0,9.279808
2,30.0,29.133234
3,50.0,43.266098
4,70.0,69.37326
5,30.0,18.372227
6,0.0,0.89749104
7,0.0,10.482883
8,60.0,32.01996
9,0.0,20.740446
10,85.0,72.20477
11,125.0,93.21563
12,53.0,58.72295
13,0.0,0.037685197
14,52.0,44.649506
15,0.0,5.61115
16,53.0,61.531563
17,0.0,0.14526528
18,70.0,70.362564
19,0.0,18.195898
20,30.0,20.268787
21,72.0,83.43032
22,0.0,9.424382
23,0.0,0.0066156634
24,50.0,32.08657
25,41.0,49.201035
26,36.0,34.23577
27,0.0,21.29862
28,0.0,4.974563
29,0.0,0.23167236
30,0.0,20.307638
31,0.0,0.26653683
32,0.0,0.1513807
33,0.0,0.5550195
34,0.0,0.37636858
35,0.0,0.85066617
36,0.0,0.93879575
37,0.0,127.97749
38,0.0,5.565658
39,0.0,0.19512767
40,24.0,8.810346
41,0.0,17.729752
42,30.0,19.938173
43,24.0,10.248549
44,110.0,69.69076
45,30.0,20.893112
46,0.0,25.129984
47,0.0,1.1835997
48,0.0,28.507902
49,0.0,0.8220704
50,0.0,0.25878975
51,0.0,0.21089603
52,0.0,5.594514
53,120.0,113.5912
54,0.0,67.15048
55,0.0,0.22235504
56,76.0,75.46135
57,0.0,1.4553748
58,45.0,44.219128
59,0.0,0.27776358
60,0.0,10.13781
61,41.0,35.627163
62,0.0,7.6890492
63,53.0,61.31922
64,0.0,3.070063
65,0.0,5.334417
66,0.0,3.9305844
67,50.0,62.37034
68,0.0,1.8328111
69,65.0,40.683247
70,120.0,103.43081
71,40.0,21.95919
72,0.0,21.808805
73,50.0,29.330416
74,0.0,1.3170292
75,30.0,47.293068
76,30.0,30.383099
77,0.0,3.8072202
78,60.0,63.553936
79,0.0,0.29713982
80,45.0,54.470963
81,0.0,10.470143
82,50.0,47.243248
83,0.0,7.9026594
84,43.0,34.11378
85,0.0,26.80158
86,0.0,0.6978101
87,0.0,0.024439365
88,0.0,2.1798694
89,0.0,0.52344733
90,0.0,1.7053354
91,71.0,83.056595
92,0.0,0.5773185
93,0.0,43.021687
94,0.0,7.5528216
95,0.0,29.588219
96,0.0,1.0309017
97,0.0,8.450478
98,40.0,39.27559
99,30.0,32.6421
100,0.0,0.30011776
101,0.0,19.516096
102,30.0,20.965706
103,50.0,44.98829
104,65.0,40.29743
105,0.0,0.8624114
106,76.0,43.298473
107,0.0,7.5697784
108,0.0,6.9502177
109,0.0,0.5439039
110,0.0,0.6155753
111,0.0,0.008838651
112,0.0,40.55724
113,0.0,0.20014405
114,121.0,109.298454
115,50.8,62.14449
116,95.0,70.33547
117,0.0,4.6269093
118,70.0,69.0079
119,63.0,67.84744
120,65.0,56.97771
121,0.0,0.32061985
122,0.0,0.4438698
123,0.0,0.21757005
124,50.0,58.972305
125,0.0,6.683527
126,25.0,26.9212
127,0.0,24.642277
128,83.0,62.13078
129,0.0,2.3265705
130,0.0,0.32497475
131,50.0,55.88365
132,72.0,66.12285
133,92.0,123.846924
134,0.0,8.417198
135,0.0,11.624823
136,60.0,61.675243
137,35.0,35.6156
138,75.0,28.16287
139,0.0,0.8581216
140,0.0,8.576561
141,0.0,1.540599
142,40.0,38.49012
143,0.0,0.15289664
144,45.0,34.587223
145,0.0,0.7095613
146,120.0,57.284096
147,30.0,35.585476
148,75.0,53.443394
149,70.0,97.7852
150,41.0,41.150032
151,77.0,55.275314
152,40.0,36.073673
153,110.0,75.892395
154,40.0,33.379528
155,25.0,29.004997
156,32.0,33.396942
157,50.0,38.615257
158,90.0,80.05729
159,30.0,34.85693
160,50.0,42.326553
161,33.0,34.304695
162,0.0,0.78009707
163,0.0,34.00313
164,42.0,39.20269
165,0.0,37.594063
166,0.0,1.7176178
167,89.0,74.342804
168,0.0,1.1161342
169,76.0,53.59409
170,61.0,35.321926
171,0.0,0.48895258
172,0.0,7.8225536
173,40.0,34.35433
174,0.0,0.41547662
175,0.0,1.524848
176,75.0,55.310844
177,0.0,1.2442423
178,0.0,14.307374
179,85.0,86.272194
180,0.0,10.468589
181,90.0,89.09227
182,0.0,0.33369464
183,0.0,0.09379251
184,42.0,43.74004
