,Origin,Predict
0,0.0,1.1655906
1,120.0,81.99535
2,50.0,55.893864
3,65.0,85.65669
4,120.0,97.436966
5,0.0,1.4689755
6,85.0,68.2339
7,0.0,5.188042
8,0.0,2.349547
9,70.0,79.67578
10,70.0,63.088272
11,60.0,51.85015
12,0.0,8.125943
13,130.0,133.5757
14,35.0,26.550083
15,60.0,34.784286
16,25.0,26.424997
17,0.0,1.5497453
18,25.0,26.933853
19,40.0,47.63754
20,120.0,110.352585
21,80.0,49.377945
22,35.0,21.654982
23,50.0,39.888645
24,38.0,39.470154
25,0.0,21.00413
26,0.0,1.3494018
27,0.0,33.008533
28,0.0,47.129196
29,50.0,56.010475
30,120.0,99.71179
31,0.0,1.698611
32,0.0,11.311821
33,0.0,2.5693173
34,20.0,19.078426
35,0.0,2.4974594
36,50.0,66.520515
37,0.0,2.4473329
38,0.0,1.2486639
39,50.0,68.5182
40,100.0,106.59566
41,0.0,57.24122
42,100.0,77.138626
43,45.0,38.54682
44,45.0,78.111664
45,100.0,99.7527
46,0.0,45.2637
47,70.0,57.836895
48,0.0,0.15480657
49,0.0,18.641619
50,0.0,1.2589295
51,85.0,70.73615
52,0.0,89.8969
53,35.0,32.2539
54,120.0,115.92602
55,80.0,54.0216
56,50.0,48.817894
57,0.0,0.51194215
58,45.0,46.934296
59,0.0,3.7904556
60,60.0,39.64673
61,0.0,1.3078176
62,0.0,21.171417
63,35.0,52.275986
64,70.0,48.939266
65,0.0,1.4775285
66,0.0,4.7294493
67,45.0,32.41162
68,100.0,78.22747
69,30.0,30.633648
70,0.0,1.2411429
71,55.0,51.557617
72,90.0,96.58779
73,35.0,29.127039
74,35.0,13.352366
75,80.0,80.68532
76,60.0,57.79997
77,0.0,13.639055
78,30.0,35.54939
79,55.0,57.320698
80,0.0,1.2164894
81,0.0,18.946054
82,0.0,5.5472083
83,100.0,75.70179
84,40.0,42.03026
85,0.0,0.91831154
86,0.0,9.663081
87,0.0,4.6259284
88,0.0,2.3674448
89,0.0,14.416405
90,0.0,2.4302504
91,90.0,197.34718
